num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,32,7,8192,10,0,10045.9,2049.0,9897.8,6664.0,0.6012,41762.2469,70694.3124,87.5264,461942.6018
16384,32,32,2048,10,0,3114.1,512.9,2970.1,484.8,0.256,43098.5094,66179.8638,88.5455,208729.2736
16384,32,23,2048,10,0,3018.5,513.0,2870.8,684.8,0.3343,102187.2516,130386.9051,84.3619,261058.3575
16384,32,21,2048,10,0,3019.1,513.0,2871.4,1017.6,0.4288,11888.8277,44900.814,88.6723,188064.2247
16384,32,28,2048,10,0,3498.0,513.0,3353.1,1044.8,0.4222,55658.6174,79774.1158,87.4547,214849.6437
16384,32,20,2048,10,0,3018.5,513.0,2870.8,683.2,0.3311,27093.8191,57468.8313,88.6125,201505.4477
16384,32,29,2048,10,0,3115.0,513.0,2971.0,1080.0,0.4411,88094.5017,112288.4168,84.4319,252608.4416
16384,32,31,2048,10,0,3113.5,513.0,2969.5,755.2,0.3474,59197.9761,84846.4387,88.587,222077.5909
16384,32,30,2048,10,0,3115.6,513.0,2971.6,1084.8,0.4409,93939.264,119544.8475,84.5163,254886.5087
16384,32,19,2048,10,0,3017.4,513.0,2869.7,1222.4,0.4349,90293.9951,112234.7285,82.6067,244439.2561
16384,32,26,2048,10,0,3019.4,513.0,2871.7,684.8,0.3341,32635.3383,58584.905,88.5969,196482.7643
16384,32,16,8192,10,0,9931.4,2049.0,9783.7,5651.2,0.5444,19358.0718,49979.1889,87.6589,469752.5564
16384,32,10,8192,10,0,10045.1,2049.0,9897.0,6278.4,0.6013,40096.3504,71354.3962,87.6371,482733.453
16384,32,18,2048,10,0,3018.7,513.0,2871.0,1019.2,0.4294,29271.8518,55369.0825,88.6446,200514.8341
16384,32,22,2048,10,0,3019.4,513.0,2871.7,752.0,0.3373,36139.023,67640.9755,88.557,208615.9392
16384,32,2,8192,10,0,10442.6,2049.0,10275.6,5137.6,0.5495,116666.0265,146890.3373,83.5098,502826.6751
16384,32,27,2048,10,0,3632.4,513.0,3485.0,1112.0,0.4361,27500.7387,57466.2104,88.6093,198137.4363
16384,32,13,8192,10,0,10045.8,2049.0,9897.7,3611.2,0.4099,85989.8174,115864.2789,85.4255,491737.2504
16384,32,15,8192,10,0,10045.4,2049.0,9897.4,5163.2,0.5308,13084.0628,41341.1467,87.5871,463897.305
16384,32,14,8192,10,0,10044.7,2049.0,9896.6,4276.8,0.4659,95588.8479,166939.1777,81.45,503419.0791
16384,32,8,8192,10,0,10046.7,2049.0,9898.6,4718.4,0.5033,87964.3613,127085.3081,83.4903,494696.9528
16384,32,5,8192,10,0,10172.0,2049.0,10011.1,3451.2,0.4098,121925.8997,166112.359,80.6823,500058.1595
16384,32,1,8192,10,0,10288.4,2049.0,10117.4,5558.4,0.5394,119013.8689,149887.2091,80.6827,478039.3934
16384,32,12,8192,10,0,10046.2,2049.0,9898.1,4270.4,0.4676,92210.0478,128862.6462,83.5451,494735.2053
16384,32,9,8192,10,0,10043.7,2049.0,9895.6,4950.4,0.5053,82540.1207,113721.997,79.3867,476134.3218
16384,32,4,8192,10,0,10262.5,2049.0,10097.7,5625.6,0.5503,20207.3164,68085.1881,87.5925,464450.9193
16384,32,6,8192,10,0,10372.1,2049.0,10221.9,6963.2,0.6486,36543.5842,82488.533,86.6204,473093.1325
16384,32,3,8192,10,0,10258.3,2048.3,10093.5,4248.0,0.4317,83909.3299,118626.4886,86.5219,485152.9527
16384,32,11,8192,10,0,10045.2,2049.0,9897.1,4721.6,0.5033,52517.0951,92075.2115,86.4587,485511.6301
16384,32,25,2048,10,0,3017.9,513.0,2870.2,684.8,0.3343,25301.512,50994.6936,88.6989,194944.3223
16384,32,24,2048,10,0,3019.3,513.0,2871.6,827.2,0.3643,12470.3469,38250.5727,88.5993,187402.9538
16384,32,17,2048,10,0,3018.5,512.8,2870.8,684.8,0.3343,11315.7154,39460.9183,88.6555,193474.9648
16384,16,6,8192,10,0,10372.3,2049.0,10222.1,8452.8,0.7417,0.1278,24201.3737,52.5911,215884.797
16384,16,12,2048,10,0,3133.8,513.0,2985.7,2520.0,0.7397,664.9364,20969.0696,52.9374,83825.5335
16384,16,9,2048,10,0,3134.2,513.0,2986.1,2523.2,0.7364,132.8435,25421.9093,52.9697,83805.6098
16384,16,5,8192,10,0,10172.7,2049.0,10011.8,8161.6,0.704,0.131,26151.5791,52.5703,215864.5091
16384,16,7,8192,10,0,10046.7,2049.0,9898.6,8052.8,0.7006,5.8839,27702.3064,52.5832,215857.7808
16384,16,11,2048,10,0,3132.4,513.0,2984.3,2520.0,0.7362,78.4952,21041.8807,52.9147,83790.7576
16384,16,8,8192,10,0,10046.2,2049.0,9898.1,8052.8,0.7006,0.1057,27239.4439,52.5898,215818.0967
16384,16,1,8192,10,0,10288.6,2049.0,10117.6,8267.2,0.7317,9.573,23682.1758,52.5892,215827.5046
16384,16,13,2048,10,0,3133.2,513.0,2985.1,2521.6,0.7363,72.73,25550.8496,52.9525,83815.4237
16384,16,4,8192,10,0,10259.1,2048.4,10094.3,8243.2,0.7158,70.8625,28875.4883,52.5795,215814.0599
16384,16,3,8192,10,0,10264.5,2049.0,10099.7,8276.8,0.7162,0.1641,22910.4509,52.5686,215920.2175
16384,16,10,2048,10,0,3134.4,513.0,2986.3,2523.2,0.7364,670.6747,24903.3187,52.9809,83805.178
16384,16,15,2048,10,0,3133.3,513.0,2985.3,2521.6,0.7352,0.1453,22881.4109,52.9928,83855.1218
16384,16,16,2048,10,0,3019.0,513.0,2871.3,2401.6,0.722,69.7003,23703.2836,52.9762,83844.6865
