scope,turn_index,group_label,kv_usage_mib
exp1,1,Group1,0.0000
exp1,1,Group2,0.0000
exp1,2,Group1,1130.1562
exp1,2,Group2,324.9062
exp1,3,Group1,2224.0938
exp1,3,Group2,656.9062
exp1,4,Group1,3356.0312
exp1,4,Group2,989.5938
exp1,5,Group1,4474.3438
exp1,5,Group2,1328.8438
exp1,6,Group1,5538.0312
exp1,6,Group2,1655.4375
exp1,7,Group1,6639.2500
exp1,7,Group2,1984.0312
exp1,8,Group1,7725.2188
exp1,8,Group2,2303.3750
exp1,9,Group1,8860.5000
exp1,9,Group2,2604.7188
exp1,10,Group1,9954.0625
exp1,10,Group2,2974.9688
exp2,1,Group1,0.0000
exp2,1,Group2,0.0000
exp2,2,Group1,1130.1562
exp2,2,Group2,324.9062
exp2,3,Group1,2224.0938
exp2,3,Group2,656.9062
exp2,4,Group1,3356.0312
exp2,4,Group2,989.5938
exp2,5,Group1,4474.3438
exp2,5,Group2,1328.8438
exp2,6,Group1,5538.0312
exp2,6,Group2,1655.4375
exp2,7,Group1,6639.2500
exp2,7,Group2,1984.0312
exp2,8,Group1,7725.2188
exp2,8,Group2,2303.3750
exp2,9,Group1,8860.5000
exp2,9,Group2,2604.7188
exp2,10,Group1,9954.0625
exp2,10,Group2,2974.9688
exp3,1,Group1,0.0000
exp3,1,Group2,0.0000
exp3,2,Group1,1130.1562
exp3,2,Group2,324.9062
exp3,3,Group1,2224.0938
exp3,3,Group2,656.9062
exp3,4,Group1,3356.0312
exp3,4,Group2,989.5938
exp3,5,Group1,4474.3438
exp3,5,Group2,1328.8438
exp3,6,Group1,5538.0312
exp3,6,Group2,1655.4375
exp3,7,Group1,6639.2500
exp3,7,Group2,1984.0312
exp3,8,Group1,7725.2188
exp3,8,Group2,2303.3750
exp3,9,Group1,8860.5000
exp3,9,Group2,2604.7188
exp3,10,Group1,9954.0625
exp3,10,Group2,2974.9688
mean,1,Group1,0.0000
mean,1,Group2,0.0000
mean,2,Group1,1130.1562
mean,2,Group2,324.9062
mean,3,Group1,2224.0938
mean,3,Group2,656.9062
mean,4,Group1,3356.0312
mean,4,Group2,989.5938
mean,5,Group1,4474.3438
mean,5,Group2,1328.8438
mean,6,Group1,5538.0312
mean,6,Group2,1655.4375
mean,7,Group1,6639.2500
mean,7,Group2,1984.0312
mean,8,Group1,7725.2188
mean,8,Group2,2303.3750
mean,9,Group1,8860.5000
mean,9,Group2,2604.7188
mean,10,Group1,9954.0625
mean,10,Group2,2974.9688
