exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,1,11,Group1,0.1032,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,2,0.0625,362.61314299190417
exp1,1,26,Group2,0.2598,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,3,0.09375,362.61314299190417
exp1,1,25,Group2,0.5258,47.0,0.0,0.0,47.0,0.0,361.8876120017376,72874.478940762,4,0.125,362.61314299190417
exp1,1,30,Group2,0.4883,53.0,0.0,0.0,53.0,0.0,361.8876120017376,72874.478940762,5,0.15625,362.61314299190417
exp1,1,17,Group2,0.0346,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,6,0.1875,362.61314299190417
exp1,1,29,Group2,0.2427,53.0,48.0,0.9056603773584906,5.0,0.0,361.8876120017376,72874.478940762,7,0.21875,362.61314299190417
exp1,1,32,Group2,0.0517,53.0,48.0,0.9056603773584906,5.0,0.0,361.8876120017376,72874.478940762,8,0.25,362.61314299190417
exp1,1,24,Group2,0.3455,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,9,0.28125,362.61314299190417
exp1,1,31,Group2,0.4345,53.0,48.0,0.9056603773584906,5.0,0.0,361.8876120017376,72874.478940762,10,0.3125,362.61314299190417
exp1,1,18,Group2,0.0689,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,11,0.34375,362.61314299190417
exp1,1,23,Group2,0.452,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,12,0.375,362.61314299190417
exp1,1,14,Group1,0.3801,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,13,0.40625,362.61314299190417
exp1,1,22,Group2,0.2938,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,14,0.4375,362.61314299190417
exp1,1,10,Group1,0.2769,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,15,0.46875,362.61314299190417
exp1,1,20,Group2,0.086,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,16,0.5,362.61314299190417
exp1,1,28,Group2,0.1892,586.0,0.0,0.0,586.0,0.0,361.8876120017376,72874.478940762,17,0.53125,362.61314299190417
exp1,1,7,Group1,0.4696,50.0,0.0,0.0,50.0,0.0,361.8876120017376,72874.478940762,18,0.5625,362.61314299190417
exp1,1,5,Group1,0.0177,69.0,0.0,0.0,69.0,0.0,361.8876120017376,72874.478940762,19,0.59375,362.61314299190417
exp1,1,6,Group1,0.0476,840.0,0.0,0.0,840.0,0.0,231.47081800561864,72874.116327619,1,0.03125,0.0
exp1,1,1,Group1,0.5488,636.0,0.0,0.0,636.0,0.0,361.8876120017376,72874.478940762,20,0.625,362.61314299190417
exp1,1,9,Group1,0.3989,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,21,0.65625,362.61314299190417
exp1,1,2,Group1,0.3282,840.0,832.0,0.9904761904761905,8.0,0.0,361.8876120017376,72874.478940762,22,0.6875,362.61314299190417
exp1,1,4,Group1,0.5069,243.0,0.0,0.0,243.0,0.0,361.8876120017376,72874.478940762,23,0.71875,362.61314299190417
exp1,1,16,Group1,0.2082,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,24,0.75,362.61314299190417
exp1,1,12,Group1,0.3109,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,25,0.78125,362.61314299190417
exp1,1,13,Group1,0.1373,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,26,0.8125,362.61314299190417
exp1,1,8,Group1,0.4167,50.0,48.0,0.96,2.0,0.0,361.8876120017376,72874.478940762,27,0.84375,362.61314299190417
exp1,1,3,Group1,0.1718,243.0,240.0,0.9876543209876543,3.0,0.0,361.8876120017376,72874.478940762,28,0.875,362.61314299190417
exp1,1,15,Group1,0.1545,49.0,48.0,0.9795918367346939,1.0,0.0,361.8876120017376,72874.478940762,29,0.90625,362.61314299190417
exp1,1,27,Group2,0.1203,905.0,0.0,0.0,905.0,0.0,361.8876120017376,72874.478940762,30,0.9375,362.61314299190417
exp1,1,21,Group2,0.2253,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,31,0.96875,362.61314299190417
exp1,1,19,Group2,0.3625,47.0,32.0,0.6808510638297872,15.0,0.0,361.8876120017376,72874.478940762,32,1.0,362.61314299190417
exp1,2,14,Group1,0.4239,2240.0,48.0,0.02142857142857143,2192.0,2100.0,7102.8744600043865,73054.519977278,8,0.47058823529411764,7103.4670310036745
exp1,2,27,Group2,0.0369,1736.0,896.0,0.5161290322580645,840.0,1418.0,3238.3888869953807,73049.901348699,2,0.11764705882352941,2484.838452000986
exp1,2,25,Group2,0.0148,613.0,48.0,0.07830342577487764,565.0,561.0,3238.3888869953807,73049.901348699,3,0.17647058823529413,2484.838452000986
exp1,2,30,Group2,0.3619,811.0,48.0,0.059186189889025895,763.0,567.0,7102.8744600043865,73054.519977278,9,0.5294117647058824,7103.4670310036745
exp1,2,23,Group2,0.3818,613.0,48.0,0.07830342577487764,565.0,561.0,7102.8744600043865,73054.519977278,10,0.5882352941176471,7103.4670310036745
exp1,2,5,Group1,0.0341,2367.0,64.0,0.02703844528939586,2303.0,2119.0,787.5461780058686,73047.416510247,1,0.058823529411764705,0.0
exp1,2,13,Group1,0.0293,2240.0,48.0,0.02142857142857143,2192.0,2100.0,3238.3888869953807,73049.901348699,4,0.23529411764705882,2484.838452000986
exp1,2,4,Group1,0.3113,2549.0,240.0,0.09415457041977246,2309.0,2293.0,7102.8744600043865,73054.519977278,11,0.6470588235294118,7103.4670310036745
exp1,2,6,Group1,0.0078,2922.0,832.0,0.28473648186173856,2090.0,2890.0,3238.3888869953807,73049.901348699,5,0.29411764705882354,2484.838452000986
exp1,2,15,Group1,0.2948,2239.0,48.0,0.021438142027690933,2191.0,2099.0,7102.8744600043865,73054.519977278,12,0.7058823529411765,7103.4670310036745
exp1,2,16,Group1,0.022,2149.0,48.0,0.022335970218706376,2101.0,2097.0,3238.3888869953807,73049.901348699,6,0.35294117647058826,2484.838452000986
exp1,2,1,Group1,0.2616,2731.0,624.0,0.22848773343097767,2107.0,2685.0,11897.547123997356,73059.314649942,17,1.0,11898.139694996644
exp1,2,10,Group1,0.3282,2240.0,48.0,0.02142857142857143,2192.0,2100.0,7102.8744600043865,73054.519977278,13,0.7647058823529411,7103.4670310036745
