exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_mean_prefill_ms,batch_first_token_spread_ms,fastest_mean_prefill_ms,slowest_mean_prefill_ms,fastest_mean_computation_tokens,slowest_mean_computation_tokens,fastest_mean_kv_history_tokens,slowest_mean_kv_history_tokens,fastest_group1_ratio,slowest_group1_ratio
exp1,1,32,3620.0,357.81208718935886,362.61314299190417,329.28341350270784,361.8876120017376,226.0,234.0,0.0,0.0,0.5,0.25
exp1,2,17,27940.0,5649.488044942058,11898.139694996644,2625.6782097480027,8301.542626002629,1475.0,1764.0,1549.5,1861.5,0.5,0.75
exp1,3,19,27135.0,11506.960614952013,28200.199900005828,2906.9429152477824,21743.28865350617,1102.0,1858.75,1967.5,3621.75,0.25,0.75
exp1,4,21,27810.0,13025.618777911794,40039.98722300457,4705.777442752151,22090.4215970113,636.0,1373.75,2009.25,4752.0,0.0,0.5
exp1,5,31,42583.0,22581.01428364546,54339.82482299325,12537.631015002262,33127.646425498824,600.0,2158.0,2953.5,8860.5,0.0,1.0
exp1,6,25,35026.0,38709.59037992114,67879.39348300279,20424.537878501724,53699.04506725288,1854.5,1446.75,9078.5,7124.25,0.75,0.5
exp1,7,16,35789.0,37084.20236681923,63670.91749300016,23638.906204756495,51699.147828505374,1812.5,2648.75,10924.5,10924.75,0.75,0.75
exp1,8,7,24047.0,15868.896080715265,42308.98453599366,5947.4363530025585,42308.290182991186,2306.0,4559.0,15360.0,4527.0,1.0,0.0
exp1,9,10,40119.0,28562.884919007774,47259.00546099001,19532.612778006296,38729.10361500544,5524.5,3778.0,11387.0,11476.5,0.5,0.5
exp1,10,7,56268.0,21612.140289289528,69936.21293899196,3838.340166010312,69905.96986599849,6056.0,19883.0,5946.0,19845.0,0.0,1.0
exp2,1,32,3620.0,357.81208718935886,362.61314299190417,329.28341350270784,361.8876120017376,226.0,234.0,0.0,0.0,0.5,0.25
exp2,2,17,27940.0,5649.488044942058,11898.139694996644,2625.6782097480027,8301.542626002629,1475.0,1764.0,1549.5,1861.5,0.5,0.75
exp2,3,19,27135.0,11506.960614952013,28200.199900005828,2906.9429152477824,21743.28865350617,1102.0,1858.75,1967.5,3621.75,0.25,0.75
exp2,4,21,27810.0,13025.618777911794,40039.98722300457,4705.777442752151,22090.4215970113,636.0,1373.75,2009.25,4752.0,0.0,0.5
exp2,5,31,42583.0,22581.01428364546,54339.82482299325,12537.631015002262,33127.646425498824,600.0,2158.0,2953.5,8860.5,0.0,1.0
exp2,6,25,35026.0,38709.59037992114,67879.39348300279,20424.537878501724,53699.04506725288,1854.5,1446.75,9078.5,7124.25,0.75,0.5
exp2,7,16,35789.0,37084.20236681923,63670.91749300016,23638.906204756495,51699.147828505374,1812.5,2648.75,10924.5,10924.75,0.75,0.75
exp2,8,7,24047.0,15868.896080715265,42308.98453599366,5947.4363530025585,42308.290182991186,2306.0,4559.0,15360.0,4527.0,1.0,0.0
exp2,9,10,40119.0,28562.884919007774,47259.00546099001,19532.612778006296,38729.10361500544,5524.5,3778.0,11387.0,11476.5,0.5,0.5
exp2,10,7,56268.0,21612.140289289528,69936.21293899196,3838.340166010312,69905.96986599849,6056.0,19883.0,5946.0,19845.0,0.0,1.0
exp3,1,32,3620.0,357.81208718935886,362.61314299190417,329.28341350270784,361.8876120017376,226.0,234.0,0.0,0.0,0.5,0.25
exp3,2,17,27940.0,5649.488044942058,11898.139694996644,2625.6782097480027,8301.542626002629,1475.0,1764.0,1549.5,1861.5,0.5,0.75
exp3,3,19,27135.0,11506.960614952013,28200.199900005828,2906.9429152477824,21743.28865350617,1102.0,1858.75,1967.5,3621.75,0.25,0.75
exp3,4,21,27810.0,13025.618777911794,40039.98722300457,4705.777442752151,22090.4215970113,636.0,1373.75,2009.25,4752.0,0.0,0.5
exp3,5,31,42583.0,22581.01428364546,54339.82482299325,12537.631015002262,33127.646425498824,600.0,2158.0,2953.5,8860.5,0.0,1.0
exp3,6,25,35026.0,38709.59037992114,67879.39348300279,20424.537878501724,53699.04506725288,1854.5,1446.75,9078.5,7124.25,0.75,0.5
exp3,7,16,35789.0,37084.20236681923,63670.91749300016,23638.906204756495,51699.147828505374,1812.5,2648.75,10924.5,10924.75,0.75,0.75
exp3,8,7,24047.0,15868.896080715265,42308.98453599366,5947.4363530025585,42308.290182991186,2306.0,4559.0,15360.0,4527.0,1.0,0.0
exp3,9,10,40119.0,28562.884919007774,47259.00546099001,19532.612778006296,38729.10361500544,5524.5,3778.0,11387.0,11476.5,0.5,0.5
exp3,10,7,56268.0,21612.140289289528,69936.21293899196,3838.340166010312,69905.96986599849,6056.0,19883.0,5946.0,19845.0,0.0,1.0
