scope,count,mean_prefill_ms,mean_computation_tokens,mean_resident_kv_mib,mean_prefill_residual_ms,mean_prefill_cost_per_token,corr_computation_prefill,corr_kv_prefill,corr_kv_residual
all,960,29262.4317,3510.8875,202.2640,28677.2838,21.271447,0.580529,0.551325,0.542799
turn=1,96,357.8121,113.1250,0.0000,338.9579,71.347248,-0.530660,0.000000,0.000000
turn=2,96,7045.3249,1429.0000,45.4707,6807.1582,7.156373,-0.029536,-0.042553,-0.088129
turn=3,96,14521.9835,1470.5938,90.0312,14276.8846,12.987432,0.346203,0.348881,0.331300
turn=4,96,19034.6421,1463.9688,135.8008,18790.6473,16.517691,0.315324,0.277689,0.266694
turn=5,96,22765.4960,1397.6875,181.3496,22532.5481,20.582690,0.526849,0.507571,0.496350
turn=6,96,39425.6473,1545.0312,224.7959,39168.1421,37.410456,-0.155264,-0.199987,-0.208359
turn=7,96,34394.0091,3488.3125,269.4775,33812.6237,15.957586,0.023513,-0.080281,-0.081935
turn=8,96,39942.4681,5788.4688,313.3936,38977.7234,8.949257,0.468771,0.360404,0.357260
turn=9,96,43794.3170,8174.1250,358.2881,42431.9629,12.723642,0.521714,0.299872,0.268577
turn=10,96,71342.6170,10238.5625,404.0322,69636.1899,9.082091,0.473975,0.413283,0.407016
focus_turn=5,96,22765.4960,1397.6875,181.3496,22532.5481,20.582690,0.526849,0.507571,0.496350
focus_turn=6,96,39425.6473,1545.0312,224.7959,39168.1421,37.410456,-0.155264,-0.199987,-0.208359
focus_turn=7,96,34394.0091,3488.3125,269.4775,33812.6237,15.957586,0.023513,-0.080281,-0.081935
kv_bin=Low KV,321,8479.3964,707.2243,36.9769,8361.5257,32.867373,0.200887,0.640694,0.634379
kv_bin=Mid KV,321,31667.6496,3361.4206,144.4077,31107.4128,18.744460,0.148598,-0.007773,-0.019139
kv_bin=High KV,318,47813.6248,6491.8774,427.5124,46731.6453,12.116951,0.494050,0.431005,0.420553

kv_bin_cutoff_mib,q1=84.9375,q2=206.3438
