blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,16,1911.0000,0.233276,262.3929
lt100,exp1,2,16,22785.0000,2.781372,4438.7330
lt100,exp1,3,12,18334.0000,2.238037,9067.2744
lt100,exp1,4,13,21353.0000,2.606567,14226.2983
lt100,exp1,5,15,21253.0000,2.594360,19176.7095
lt100,exp1,6,12,18974.0000,2.316162,23635.3422
lt100,exp1,7,11,19450.0000,2.374268,29288.9135
lt100,exp1,8,16,24195.0000,2.953491,38108.1518
lt100,exp1,9,13,20716.0000,2.528809,36636.9553
lt100,exp1,10,16,21780.0000,2.658691,45631.7403
lt100,exp2,1,16,1911.0000,0.233276,262.3929
lt100,exp2,2,16,22785.0000,2.781372,4438.7330
lt100,exp2,3,12,18334.0000,2.238037,9067.2744
lt100,exp2,4,13,21353.0000,2.606567,14226.2983
lt100,exp2,5,15,21253.0000,2.594360,19176.7095
lt100,exp2,6,12,18974.0000,2.316162,23635.3422
lt100,exp2,7,11,19450.0000,2.374268,29288.9135
lt100,exp2,8,16,24195.0000,2.953491,38108.1518
lt100,exp2,9,13,20716.0000,2.528809,36636.9553
lt100,exp2,10,16,21780.0000,2.658691,45631.7403
lt100,exp3,1,16,1911.0000,0.233276,262.3929
lt100,exp3,2,16,22785.0000,2.781372,4438.7330
lt100,exp3,3,12,18334.0000,2.238037,9067.2744
lt100,exp3,4,13,21353.0000,2.606567,14226.2983
lt100,exp3,5,15,21253.0000,2.594360,19176.7095
lt100,exp3,6,12,18974.0000,2.316162,23635.3422
lt100,exp3,7,11,19450.0000,2.374268,29288.9135
lt100,exp3,8,16,24195.0000,2.953491,38108.1518
lt100,exp3,9,13,20716.0000,2.528809,36636.9553
lt100,exp3,10,16,21780.0000,2.658691,45631.7403
gt100,exp1,3,4,5684.0000,0.693848,14129.8858
gt100,exp1,4,3,2262.0000,0.276123,18667.4490
gt100,exp1,5,1,607.0000,0.074097,23226.1818
gt100,exp1,6,4,4143.0000,0.505737,34602.2266
gt100,exp1,7,5,3042.0000,0.371338,36686.7861
gt100,exp1,9,3,1975.0000,0.241089,48392.3802
gt100,exp2,3,4,5684.0000,0.693848,14129.8858
gt100,exp2,4,3,2262.0000,0.276123,18667.4490
gt100,exp2,5,1,607.0000,0.074097,23226.1818
gt100,exp2,6,4,4143.0000,0.505737,34602.2266
gt100,exp2,7,5,3042.0000,0.371338,36686.7861
gt100,exp2,9,3,1975.0000,0.241089,48392.3802
gt100,exp3,3,4,5684.0000,0.693848,14129.8858
gt100,exp3,4,3,2262.0000,0.276123,18667.4490
gt100,exp3,5,1,607.0000,0.074097,23226.1818
gt100,exp3,6,4,4143.0000,0.505737,34602.2266
gt100,exp3,7,5,3042.0000,0.371338,36686.7861
gt100,exp3,9,3,1975.0000,0.241089,48392.3802
