scope,count,mean_prefill_ms,mean_prefill_cost_per_token,mean_prefill_residual_ms,corr_resident_kv_cost_per_token,corr_batch_kv_cost_per_token,corr_batch_compute_cost_per_token,corr_batch_kv_residual,corr_batch_compute_residual
all,960,29262.4317,21.271447,28677.2838,-0.251928,-0.259788,-0.257113,0.543823,0.498572
focus_turns_5_6_7,288,32195.0508,24.650244,31837.7713,-0.475607,-0.094619,-0.275036,0.358511,0.143190
turn=5,96,22765.4960,20.582690,22532.5481,-0.662957,0.000000,0.000000,0.000000,0.000000
turn=6,96,39425.6473,37.410456,39168.1421,-0.805021,0.000000,0.000000,0.000000,0.000000
turn=7,96,34394.0091,15.957586,33812.6237,-0.137161,0.000000,0.000000,0.000000,0.000000
pressure_bin=Low,96,357.8121,71.347248,338.9579,0.000000,0.000000,0.000000,0.000000,0.000000
pressure_bin=High,0,0.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000
pressure_bin=Extra,864,32474.0561,15.707469,31825.9867,-0.193035,-0.033191,-0.226187,0.486285,0.445765

batch_pressure_cutoff_mib,q1=512.0000,q2=1024.0000
