exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_total_resident_kv_mib,batch_kv_ratio_1024,batch_mean_prefill_ms,batch_p95_prefill_ms,batch_p99_prefill_ms,batch_max_prefill_ms
exp1,1,32,3620.0,0.44189453125,0.0,0.0,357.81208718935886,361.8876120017376,361.8876120017376,361.8876120017376
exp1,2,17,27940.0,3.41064453125,903.5,0.88232421875,5649.488044942058,8061.808992802977,11130.39949775848,11897.547123997356
exp1,3,19,27135.0,3.3123779296875,1656.5,1.61767578125,11506.960614952013,20759.68334240459,26404.004012488003,27815.084180008853
exp1,4,21,27810.0,3.394775390625,2678.0625,2.61529541015625,13025.618777911794,18155.8684160118,30746.438595210217,33894.0811400098
exp1,5,31,42583.0,5.1981201171875,5525.34375,5.395843505859375,22581.01428364546,31581.59274799982,35910.54304499703,37765.807457995834
exp1,6,25,35026.0,4.275634765625,5515.28125,5.386016845703125,38709.59037992114,49038.60314380436,63315.532612248164,67820.35291600914
exp1,7,16,35789.0,4.3687744140625,4904.96875,4.790008544921875,37084.20236681923,51745.15092900401,61211.38417140609,63577.94248200662
exp1,8,7,24047.0,2.9354248046875,1689.6875,1.65008544921875,15868.896080715265,34179.0118353936,40682.43451347166,42308.290182991186
exp1,9,10,40119.0,4.8973388671875,3199.28125,3.124298095703125,28562.884919007774,39582.017472104766,45722.997243220016,47258.242185998824
exp1,10,7,56268.0,6.86865234375,1738.53125,1.697784423828125,21612.140289289528,54795.16865710026,66883.80962421883,69905.96986599849
exp2,1,32,3620.0,0.44189453125,0.0,0.0,357.81208718935886,361.8876120017376,361.8876120017376,361.8876120017376
exp2,2,17,27940.0,3.41064453125,903.5,0.88232421875,5649.488044942058,8061.808992802977,11130.39949775848,11897.547123997356
exp2,3,19,27135.0,3.3123779296875,1656.5,1.61767578125,11506.960614952013,20759.68334240459,26404.004012488003,27815.084180008853
exp2,4,21,27810.0,3.394775390625,2678.0625,2.61529541015625,13025.618777911794,18155.8684160118,30746.438595210217,33894.0811400098
exp2,5,31,42583.0,5.1981201171875,5525.34375,5.395843505859375,22581.01428364546,31581.59274799982,35910.54304499703,37765.807457995834
exp2,6,25,35026.0,4.275634765625,5515.28125,5.386016845703125,38709.59037992114,49038.60314380436,63315.532612248164,67820.35291600914
exp2,7,16,35789.0,4.3687744140625,4904.96875,4.790008544921875,37084.20236681923,51745.15092900401,61211.38417140609,63577.94248200662
exp2,8,7,24047.0,2.9354248046875,1689.6875,1.65008544921875,15868.896080715265,34179.0118353936,40682.43451347166,42308.290182991186
exp2,9,10,40119.0,4.8973388671875,3199.28125,3.124298095703125,28562.884919007774,39582.017472104766,45722.997243220016,47258.242185998824
exp2,10,7,56268.0,6.86865234375,1738.53125,1.697784423828125,21612.140289289528,54795.16865710026,66883.80962421883,69905.96986599849
exp3,1,32,3620.0,0.44189453125,0.0,0.0,357.81208718935886,361.8876120017376,361.8876120017376,361.8876120017376
exp3,2,17,27940.0,3.41064453125,903.5,0.88232421875,5649.488044942058,8061.808992802977,11130.39949775848,11897.547123997356
exp3,3,19,27135.0,3.3123779296875,1656.5,1.61767578125,11506.960614952013,20759.68334240459,26404.004012488003,27815.084180008853
exp3,4,21,27810.0,3.394775390625,2678.0625,2.61529541015625,13025.618777911794,18155.8684160118,30746.438595210217,33894.0811400098
exp3,5,31,42583.0,5.1981201171875,5525.34375,5.395843505859375,22581.01428364546,31581.59274799982,35910.54304499703,37765.807457995834
exp3,6,25,35026.0,4.275634765625,5515.28125,5.386016845703125,38709.59037992114,49038.60314380436,63315.532612248164,67820.35291600914
exp3,7,16,35789.0,4.3687744140625,4904.96875,4.790008544921875,37084.20236681923,51745.15092900401,61211.38417140609,63577.94248200662
exp3,8,7,24047.0,2.9354248046875,1689.6875,1.65008544921875,15868.896080715265,34179.0118353936,40682.43451347166,42308.290182991186
exp3,9,10,40119.0,4.8973388671875,3199.28125,3.124298095703125,28562.884919007774,39582.017472104766,45722.997243220016,47258.242185998824
exp3,10,7,56268.0,6.86865234375,1738.53125,1.697784423828125,21612.140289289528,54795.16865710026,66883.80962421883,69905.96986599849
