exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,1,24,Group2,0.033,7.0,0.0,0.0,7.0,0.0,952.9113,0.0,1,0.03125,0.0
exp1,1,10,Group1,0.1216,50.0,48.0,0.96,2.0,0.0,986.0967999999999,0.0,2,0.0625,0.0
exp1,1,2,Group1,0.0878,840.0,832.0,0.9904761904761905,8.0,0.0,976.0444,0.0,3,0.09375,0.0
exp1,1,6,Group1,0.1453,840.0,0.0,0.0,840.0,0.0,982.6872999999999,0.0,4,0.125,0.0
exp1,1,7,Group1,0.0567,50.0,48.0,0.96,2.0,0.0,947.6707999999999,0.0,5,0.15625,0.0
exp1,1,30,Group2,0.0099,7.0,0.0,0.0,7.0,0.0,932.4984,0.0,6,0.1875,0.0
exp1,1,4,Group1,0.1931,243.0,240.0,0.9876543209876543,3.0,0.0,1025.3272,0.0,7,0.21875,0.0
exp1,1,17,Group2,0.2092,6.0,0.0,0.0,6.0,0.0,1032.0906,0.0,8,0.25,0.0
exp1,1,3,Group1,0.2175,243.0,0.0,0.0,243.0,0.0,1038.5506,0.0,9,0.28125,0.0
exp1,1,11,Group1,0.153,50.0,48.0,0.96,2.0,0.0,1008.1569,0.0,10,0.3125,0.0
exp1,1,8,Group1,0.2353,50.0,48.0,0.96,2.0,0.0,1082.8133000000003,0.0,11,0.34375,0.0
exp1,1,27,Group2,0.1059,7.0,0.0,0.0,7.0,0.0,970.4798,0.0,12,0.375,0.0
exp1,1,1,Group1,0.0249,636.0,0.0,0.0,636.0,0.0,942.2089,0.0,13,0.40625,0.0
exp1,1,23,Group2,0.1293,6.0,0.0,0.0,6.0,0.0,1010.5149,0.0,14,0.4375,0.0
exp1,1,12,Group1,0.0174,50.0,48.0,0.96,2.0,0.0,938.1483000000001,0.0,15,0.46875,0.0
exp1,1,14,Group1,0.0408,50.0,48.0,0.96,2.0,0.0,964.6097,0.0,16,0.5,0.0
exp1,1,26,Group2,0.1768,7.0,0.0,0.0,7.0,0.0,1035.6742000000002,0.0,17,0.53125,0.0
exp1,1,18,Group2,0.2565,8.0,0.0,0.0,8.0,0.0,1116.5958999999998,0.0,18,0.5625,0.0
exp1,1,25,Group2,0.0802,7.0,0.0,0.0,7.0,0.0,961.9835,0.0,19,0.59375,0.0
exp1,1,28,Group2,0.185,15.0,0.0,0.0,15.0,0.0,1019.5215999999998,0.0,20,0.625,0.0
exp1,1,19,Group2,0.2447,6.0,0.0,0.0,6.0,0.0,1114.5866,0.0,21,0.65625,0.0
exp1,1,32,Group2,0.0984,7.0,0.0,0.0,7.0,0.0,994.8661999999999,0.0,22,0.6875,0.0
exp1,1,21,Group2,0.1687,8.0,0.0,0.0,8.0,0.0,999.2180000000001,0.0,23,0.71875,0.0
exp1,1,22,Group2,0.2266,7.0,0.0,0.0,7.0,0.0,1060.201,0.0,24,0.75,0.0
exp1,1,31,Group2,0.0645,7.0,0.0,0.0,7.0,0.0,958.6115000000001,0.0,25,0.78125,0.0
exp1,1,15,Group1,0.1373,49.0,48.0,0.9795918367346939,1.0,0.0,974.8844999999999,0.0,26,0.8125,0.0
exp1,1,16,Group1,0.0723,47.0,0.0,0.0,47.0,0.0,962.9864,0.0,27,0.84375,0.0
exp1,1,13,Group1,0.0489,50.0,48.0,0.96,2.0,0.0,971.733,0.0,28,0.875,0.0
exp1,1,29,Group2,0.2013,6.0,0.0,0.0,6.0,0.0,1031.8936,0.0,29,0.90625,0.0
exp1,1,20,Group2,0.1138,12.0,0.0,0.0,12.0,0.0,990.5573999999999,0.0,30,0.9375,0.0
exp1,1,5,Group1,0.1608,69.0,0.0,0.0,69.0,0.0,998.8052,0.0,31,0.96875,0.0
exp1,1,9,Group1,0.0473,50.0,0.0,0.0,50.0,0.0,763.7918,0.0,32,1.0,0.0
exp1,2,4,Group1,0.2161,739.0,240.0,0.32476319350473615,499.0,483.0,3156.9305,0.0,1,0.03125,0.0
exp1,2,30,Group2,0.0091,208.0,0.0,0.0,208.0,202.0,106.36440000000002,0.0,2,0.0625,0.0
exp1,2,7,Group1,0.0257,269.0,48.0,0.17843866171003717,221.0,129.0,3102.8165999999997,0.0,3,0.09375,0.0
exp1,2,6,Group1,0.1021,962.0,832.0,0.8648648648648649,130.0,930.0,3118.2392999999997,0.0,4,0.125,0.0
exp1,2,1,Group1,0.1149,1020.0,624.0,0.611764705882353,396.0,974.0,3112.4971,0.0,5,0.15625,0.0
exp1,2,18,Group2,0.0063,663.0,0.0,0.0,663.0,658.0,664.7081,0.0,6,0.1875,0.0
exp1,2,17,Group2,0.0637,251.0,0.0,0.0,251.0,246.0,3106.1023999999998,0.0,7,0.21875,0.0
exp1,2,11,Group1,0.0253,449.0,48.0,0.10690423162583519,401.0,309.0,685.114,0.0,8,0.25,0.0
exp1,2,9,Group1,0.0317,243.0,48.0,0.19753086419753085,195.0,103.0,91.63710000000002,0.0,9,0.28125,0.0
exp1,2,10,Group1,0.0385,356.0,48.0,0.1348314606741573,308.0,216.0,3099.4595999999997,0.0,10,0.3125,0.0
exp1,2,31,Group2,0.2997,1039.0,0.0,0.0,1039.0,1033.0,3202.9170000000004,0.0,11,0.34375,0.0
exp1,2,27,Group2,0.1278,308.0,0.0,0.0,308.0,302.0,3118.5492999999997,0.0,12,0.375,0.0
exp1,2,22,Group2,0.2297,1040.0,0.0,0.0,1040.0,1033.0,3155.5101999999997,0.0,13,0.40625,0.0
exp1,2,8,Group1,0.1894,441.0,48.0,0.10884353741496598,393.0,301.0,3143.4309999999996,0.0,14,0.4375,0.0
exp1,2,3,Group1,0.2849,797.0,240.0,0.30112923462986196,557.0,541.0,3168.594,0.0,15,0.46875,0.0
exp1,2,20,Group2,0.1761,52.0,0.0,0.0,52.0,47.0,3128.6380999999997,0.0,16,0.5,0.0
exp1,2,25,Group2,0.2026,694.0,0.0,0.0,694.0,688.0,3146.9408,0.0,17,0.53125,0.0
exp1,2,12,Group1,0.0133,555.0,48.0,0.08648648648648649,507.0,415.0,200.3344,0.0,18,0.5625,0.0
exp1,2,19,Group2,0.2438,1035.0,0.0,0.0,1035.0,1030.0,3161.1582,0.0,19,0.59375,0.0
exp1,2,28,Group2,0.0122,1045.0,0.0,0.0,1045.0,1040.0,680.5038,0.0,20,0.625,0.0
exp1,2,15,Group1,0.0128,1078.0,48.0,0.04452690166975881,1030.0,938.0,3085.3497,0.0,21,0.65625,0.0
exp1,2,24,Group2,0.1411,1037.0,0.0,0.0,1037.0,1032.0,3127.5714999999996,0.0,22,0.6875,0.0
exp1,2,21,Group2,0.3358,1039.0,0.0,0.0,1039.0,1034.0,3183.4773999999998,0.0,23,0.71875,0.0
exp1,2,16,Group1,0.0766,1124.0,32.0,0.028469750889679714,1092.0,1072.0,3110.637,0.0,24,0.75,0.0
exp1,2,14,Group1,0.0181,646.0,48.0,0.07430340557275542,598.0,506.0,651.9643,0.0,25,0.78125,0.0
exp1,2,5,Group1,0.2574,334.0,64.0,0.19161676646706588,270.0,86.0,3154.4888999999994,0.0,26,0.8125,0.0
exp1,2,13,Group1,0.1562,1216.0,48.0,0.039473684210526314,1168.0,1076.0,3129.2027,0.0,27,0.84375,0.0
exp1,2,23,Group2,0.0513,468.0,0.0,0.0,468.0,462.0,3112.1938,0.0,28,0.875,0.0
exp1,2,32,Group2,0.0341,777.0,0.0,0.0,777.0,771.0,677.0694000000001,0.0,29,0.90625,0.0
exp1,2,29,Group2,0.3161,817.0,0.0,0.0,817.0,810.0,3193.6728,0.0,30,0.9375,0.0
exp1,2,2,Group1,0.0893,954.0,832.0,0.8721174004192872,122.0,897.0,3136.8073999999997,0.0,31,0.96875,0.0
exp1,2,26,Group2,0.2709,489.0,0.0,0.0,489.0,483.0,3174.3277000000003,0.0,32,1.0,0.0
exp1,3,15,Group1,0.1481,2131.0,1072.0,0.5030502111684655,1059.0,1867.0,5978.6868,0.0,1,0.037037037037037035,0.0
