scope,count,mean_prefill_ms,mean_computation_tokens,mean_resident_kv_mib,mean_prefill_residual_ms,mean_prefill_cost_per_token,corr_computation_prefill,corr_kv_prefill,corr_kv_residual
all,672,8923.5403,696.8661,72.1057,8807.3959,61.699321,0.421825,0.710725,0.706516
turn=1,96,992.0850,63.5625,0.0000,981.4912,224.453356,-0.107115,0.000000,0.000000
turn=2,96,2471.4753,589.0312,19.3818,2373.3034,7.752615,0.105817,0.234495,0.196609
turn=3,96,5191.6954,826.4375,43.8154,5053.9558,16.449613,0.417802,0.455966,0.436403
turn=4,96,8533.8516,811.7188,69.3906,8398.5652,24.821118,0.382523,0.317023,0.299719
turn=5,96,11632.9843,861.7500,97.8184,11489.3593,33.703129,0.261248,0.146856,0.136120
turn=6,96,14809.4705,870.5938,123.6406,14664.3716,45.411719,0.043369,0.095488,0.084916
turn=7,96,18833.2199,854.9688,150.6934,18690.7251,79.303698,0.154138,0.060528,0.053843
turn=8,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000
turn=9,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000
turn=10,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000
focus_turn=5,96,11632.9843,861.7500,97.8184,11489.3593,33.703129,0.261248,0.146856,0.136120
focus_turn=6,96,14809.4705,870.5938,123.6406,14664.3716,45.411719,0.043369,0.095488,0.084916
focus_turn=7,96,18833.2199,854.9688,150.6934,18690.7251,79.303698,0.154138,0.060528,0.053843
kv_bin=Low KV,225,3002.9412,219.8933,9.2163,2966.2923,126.753064,-0.003645,0.337057,0.329974
kv_bin=Mid KV,225,8758.6251,817.1067,60.1321,8622.4406,42.998212,-0.261510,0.462186,0.458727
kv_bin=High KV,222,15091.2913,1058.4189,147.9806,14914.8882,14.720300,-0.082186,0.349706,0.348727

kv_bin_cutoff_mib,q1=30.3125,q2=96.6562
