blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,16,1911.0000,0.233276,213.1561
lt100,exp1,2,16,8661.0000,1.057251,1495.0220
lt100,exp1,3,16,9830.0000,1.199951,2922.6132
lt100,exp1,4,16,10947.0000,1.336304,3906.8839
lt100,exp1,5,16,13235.0000,1.615601,7396.3249
lt100,exp1,6,16,13996.0000,1.708496,7965.1095
lt100,exp1,7,16,13847.0000,1.690308,10854.7451
lt100,exp1,8,16,16150.0000,1.971436,10511.8769
lt100,exp1,9,16,13241.0000,1.616333,14656.5022
lt100,exp1,10,16,11570.0000,1.412354,13050.7283
lt100,exp2,1,16,1911.0000,0.233276,213.1561
lt100,exp2,2,16,8661.0000,1.057251,1495.0220
lt100,exp2,3,16,9830.0000,1.199951,2922.6132
lt100,exp2,4,16,10947.0000,1.336304,3906.8839
lt100,exp2,5,16,13235.0000,1.615601,7396.3249
lt100,exp2,6,16,13996.0000,1.708496,7965.1095
lt100,exp2,7,16,13847.0000,1.690308,10854.7451
lt100,exp2,8,16,16150.0000,1.971436,10511.8769
lt100,exp2,9,16,13241.0000,1.616333,14656.5022
lt100,exp2,10,16,11570.0000,1.412354,13050.7283
lt100,exp3,1,16,1911.0000,0.233276,213.1561
lt100,exp3,2,16,8661.0000,1.057251,1495.0220
lt100,exp3,3,16,9830.0000,1.199951,2922.6132
lt100,exp3,4,16,10947.0000,1.336304,3906.8839
lt100,exp3,5,16,13235.0000,1.615601,7396.3249
lt100,exp3,6,16,13996.0000,1.708496,7965.1095
lt100,exp3,7,16,13847.0000,1.690308,10854.7451
lt100,exp3,8,16,16150.0000,1.971436,10511.8769
lt100,exp3,9,16,13241.0000,1.616333,14656.5022
lt100,exp3,10,16,11570.0000,1.412354,13050.7283
