exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,computation_tokens,prefill_ms,first_token_ts,queued_ts,scheduled_ts,batch_size_filtered,batch_total_computation_tokens,batch_total_input_tokens,batch_estimated_prefill_rounds_ratio,batch_first_token_spread_ms,time_from_batch_first_token_ms
exp1,1,24,Group2,0.033,7.0,0.0,7.0,952.9113,132010.9553443,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,190.60519998311065
exp1,1,10,Group1,0.1216,50.0,48.0,2.0,986.0967999999999,132010.9872184,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,222.4792999913916
exp1,1,2,Group1,0.0878,840.0,832.0,8.0,976.0444,132010.97633220002,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,211.59310001530685
exp1,1,6,Group1,0.1453,840.0,0.0,840.0,982.6872999999999,132010.9834326,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,218.69350000633858
exp1,1,7,Group1,0.0567,50.0,48.0,2.0,947.6707999999999,132010.9484275,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,183.68839999311604
exp1,1,30,Group2,0.0099,7.0,0.0,7.0,932.4984,132010.9355083,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,170.76919999090023
exp1,1,4,Group1,0.1931,243.0,240.0,3.0,1025.3272,132011.0259203,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,261.18119998136535
exp1,1,17,Group2,0.2092,6.0,0.0,6.0,1032.0906,132011.03399979998,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,269.26069997716695
exp1,1,3,Group1,0.2175,243.0,0.0,243.0,1038.5506,132011.0390681,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,274.32900000712834
exp1,1,11,Group1,0.153,50.0,48.0,2.0,1008.1569,132011.0094099,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,244.6707999915816
exp1,1,8,Group1,0.2353,50.0,48.0,2.0,1082.8133000000003,132011.0838486,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,319.10950000747107
exp1,1,27,Group2,0.1059,7.0,0.0,7.0,970.4798,132010.97328570002,0.0,0.0,32,2034.0,3490.0,0.248291015625,353.9133000012953,208.54660001350567
