tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group1,243.0,0.0,240.0,113.5288
16,Group2,7.0,0.0,0.0,105.3906
16,Group2,7.0,0.0,0.0,106.8383
16,Group1,840.0,0.0,832.0,364.8334
16,Group2,8.0,0.0,0.0,359.3567
16,Group2,6.0,0.0,0.0,118.2983
16,Group1,69.0,0.0,0.0,100.5145
16,Group1,50.0,0.0,0.0,100.4673
16,Group2,6.0,0.0,0.0,369.4546
16,Group1,243.0,0.0,0.0,92.2226
16,Group2,6.0,0.0,0.0,354.6009
16,Group1,50.0,0.0,48.0,366.5008
16,Group2,8.0,0.0,0.0,64.3469
16,Group1,840.0,0.0,0.0,356.1506
16,Group2,12.0,0.0,0.0,96.9773
16,Group1,636.0,0.0,0.0,341.7155
16,Group2,464.0,0.0,0.0,1693.7949
16,Group1,965.0,0.9163,832.0,1650.3693
16,Group1,874.0,0.753623,624.0,1698.7347
16,Group2,50.0,0.0,0.0,252.2307
16,Group2,433.0,0.0,0.0,1699.03
16,Group2,161.0,0.0,0.0,1694.7246
16,Group2,526.0,0.0,0.0,1674.9272
16,Group1,1216.0,0.04461,48.0,1687.3824
16,Group2,387.0,0.0,0.0,1663.1451
16,Group1,1525.0,0.189125,240.0,1664.6797
16,Group1,708.0,0.084507,48.0,220.9699
16,Group2,724.0,0.0,0.0,1685.1878
16,Group2,164.0,0.0,0.0,1657.6441
16,Group1,1525.0,0.189125,240.0,1648.3051
16,Group1,1029.0,0.834504,832.0,1677.4447
16,Group1,838.0,0.108475,64.0,1653.6315
16,Group1,2506.0,0.542373,1216.0,3317.345
16,Group2,1191.0,0.134907,160.0,3345.0604
16,Group2,538.0,0.72045,384.0,3340.3399
16,Group2,671.0,0.649624,432.0,3287.0191
16,Group2,84.0,0.607595,48.0,160.7944
16,Group1,1005.0,0.986639,960.0,3310.9232
16,Group1,1056.0,0.890722,864.0,3336.3151
16,Group2,1557.0,0.329897,512.0,3328.1298
16,Group2,1757.0,0.411429,720.0,3324.2569
16,Group1,2818.0,0.595845,1520.0,3288.4346
16,Group1,1240.0,0.721311,704.0,3326.4911
16,Group2,463.0,0.350109,160.0,3320.6628
16,Group1,985.0,0.968568,832.0,123.9373
16,Group1,1166.0,0.989372,1024.0,3320.0677
16,Group1,2818.0,0.595845,1520.0,3299.7715
