num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,32,24,12288,7,0,3099.4286,1025.0,3093.7143,2212.5714,0.592,0.1371,9498.2543,42.3381,94052.2472
16384,32,10,24576,7,0,2330.4286,709.2857,2186.1429,1625.1429,0.5986,0.156,7829.3084,42.3624,76523.1188
16384,32,2,24576,7,0,1371.0,293.0,1177.0,1142.8571,0.8948,0.1601,7267.193,42.394,47564.5963
16384,32,6,24576,7,0,2079.7143,456.5714,1894.4286,1492.5714,0.8086,0.1421,7999.2809,42.1906,55206.6123
16384,32,7,24576,7,0,1230.8571,214.0,1086.5714,889.1429,0.7273,418.1076,7623.4678,41.8144,29759.1963
16384,32,30,12288,7,0,301.5714,71.1429,295.4286,226.2857,0.7014,0.0916,6315.0549,46.9932,17227.5875
16384,32,4,24576,7,0,3186.5714,912.8571,2994.8571,2260.5714,0.6612,186.0469,9962.0039,42.3988,91700.6264
16384,32,17,12288,7,0,336.7143,114.4286,331.4286,214.8571,0.6748,0.1845,8544.1895,925.5605,22478.059
16384,32,3,24576,7,0,2995.1429,860.7143,2803.4286,2082.2857,0.6637,186.1423,11222.0731,42.4178,88493.4393
16384,32,11,24576,7,0,1805.2857,452.7143,1661.0,1250.2857,0.6371,0.1301,9373.7966,41.4895,51085.1876
16384,32,8,24576,7,0,2136.8571,723.7143,1992.5714,1414.8571,0.5952,186.1352,11223.1111,42.0889,82393.5232
16384,32,27,12288,7,0,1318.7143,285.1429,1312.7143,1026.2857,0.6429,0.181,8538.1412,43.6161,26828.1047
16384,32,1,24576,7,0,1484.1429,190.4286,1332.5714,1152.0,0.8454,0.179,9836.2314,41.3427,25981.0318
16384,32,23,12288,7,0,2613.4286,943.7143,2607.4286,1803.4286,0.5335,106.2964,11073.7145,42.4641,92398.0715
16384,32,12,24576,7,0,3095.5714,930.7143,2951.2857,2166.8571,0.582,106.2894,10653.9891,42.4461,92124.8316
16384,32,14,24576,7,0,3173.4286,943.7143,3029.1429,2233.1429,0.5888,0.0947,6563.4279,42.4062,92421.2855
16384,32,26,12288,7,0,1574.7143,717.5714,1568.7143,992.0,0.5582,186.0383,9321.9247,42.3151,81815.9008
16384,32,18,12288,7,0,1851.8571,765.2857,1846.4286,1220.5714,0.572,0.1326,4917.1257,42.185,82757.7137
16384,32,25,12288,7,0,1537.8571,305.5714,1531.8571,1225.1429,0.6979,0.1801,9087.0967,255.4786,25426.6375
16384,32,28,12288,7,0,3105.0,1025.0,3098.5714,2212.5714,0.592,0.2473,10221.6357,42.3396,94085.5051
16384,32,19,12288,7,0,3093.8571,1025.0,3088.7143,2205.7143,0.5914,0.1882,8724.7213,42.3787,94073.2114
16384,32,32,12288,7,0,2878.4286,987.5714,2872.2857,2025.1429,0.5687,519.9931,11268.9466,42.3771,93297.4478
16384,32,21,12288,7,0,3102.7143,1025.0,3096.8571,2212.5714,0.5914,0.2119,11082.0787,42.3455,94056.5048
16384,32,22,12288,7,0,3101.0,1025.0,3095.2857,2212.5714,0.5925,102.1341,7411.6023,42.3385,94069.6409
16384,32,31,12288,7,0,3102.8571,1025.0,3096.7143,2210.2857,0.5908,0.259,10566.061,42.3492,94070.9875
16384,32,15,24576,7,0,3374.4286,971.8571,3230.2857,2406.8571,0.6209,418.0337,8323.9359,42.2602,92179.2586
16384,32,16,24576,7,0,3542.0,1025.0,3409.0,2523.4286,0.6146,287.9435,8414.6856,42.3619,94043.8898
16384,32,13,24576,7,0,3661.4286,1025.0,3517.1429,2640.0,0.6262,519.9986,9618.4704,42.339,94051.2795
16384,32,29,12288,7,0,2910.2857,993.2857,2904.8571,2050.2857,0.5722,186.1216,9217.3699,42.373,93455.9034
16384,32,20,12288,7,0,2255.5714,883.5714,2249.5714,1506.2857,0.4633,394.0898,9796.0685,42.5455,90986.7499
16384,32,5,24576,7,0,2729.5714,815.0,2556.7143,1883.4286,0.669,418.1478,9330.5042,42.1313,85437.581
16384,32,9,24576,7,0,2067.8571,634.1429,1923.5714,1428.5714,0.6262,418.0271,9370.0448,42.1137,71109.9377
16384,16,4,24576,10,0,5656.1,1025.0,5491.3,4590.4,0.7414,0.08,8157.5252,29.947,67186.2925
16384,16,16,12288,10,0,1129.1,251.3,1123.1,886.4,0.6603,0.0604,4672.7097,29.521,23888.3972
16384,16,14,12288,10,0,3849.4,927.4,3843.5,3014.4,0.6459,0.0809,8146.4154,29.9421,65145.1735
16384,16,6,24576,10,0,4167.9,836.3,4017.7,3360.0,0.7992,0.0575,8115.868,30.1766,63575.7021
16384,16,10,12288,10,0,4185.7,973.8,4180.4,3408.0,0.6622,0.0896,8744.1139,29.9455,66411.879
16384,16,15,12288,10,0,2773.8,786.0,2767.8,2078.4,0.6471,0.0948,6201.1122,30.0797,61584.6739
16384,16,5,24576,10,0,4167.1,779.8,4006.2,3248.0,0.7193,0.072,5404.1878,30.2076,56516.0412
16384,16,7,24576,10,0,5438.1,1025.0,5290.0,4361.6,0.7138,0.0799,8680.7969,29.9389,67168.6248
16384,16,9,12288,10,0,695.3,121.0,690.1,566.4,0.7774,0.0947,7019.3014,144.5906,15169.3185
16384,16,3,24576,10,0,5654.6,1025.0,5489.8,4568.0,0.7418,0.0469,6167.3252,29.9449,67159.0372
16384,16,11,12288,10,0,3854.1,937.4,3848.7,3006.4,0.6096,0.1392,8206.8903,29.9644,65832.0771
16384,16,8,24576,10,0,4374.5,898.6,4226.4,3427.2,0.6964,0.064,7882.3233,29.9306,64774.3593
16384,16,13,12288,10,0,3544.3,838.3,3538.4,2800.0,0.6804,0.0634,7858.1489,29.932,59279.5361
16384,16,2,24576,10,0,3310.7,587.2,3143.7,2654.4,0.838,0.0909,7469.2571,30.3065,48026.1747
16384,16,12,12288,10,0,552.1,143.7,546.4,401.6,0.6305,0.0899,6558.4876,95.3361,19029.8031
16384,16,1,24576,10,0,1867.6,189.0,1696.6,1510.4,0.8777,0.095,7473.5756,29.6528,20460.3233
16384,8,5,12288,10,0,984.5,133.1,979.3,843.2,0.7995,0.0223,2192.668,133.9327,6321.6507
16384,8,4,24576,10,0,4209.3,731.2,4044.5,3393.6,0.7487,0.0274,3163.5939,16.4485,26528.2986
16384,8,8,12288,10,0,1409.8,561.8,1404.1,939.2,0.5602,0.0276,2670.5022,22.5361,26251.6138
16384,8,6,12288,10,0,3507.2,886.8,3501.9,2814.4,0.6486,0.0379,2598.1471,16.4064,32602.1597
16384,8,7,12288,10,0,2640.7,761.3,2635.3,1969.6,0.6075,0.0295,2546.7767,16.451,30356.6194
16384,8,1,24576,10,0,2435.1,527.3,2264.1,1835.2,0.8205,0.0266,2276.052,16.4851,24639.0235
16384,8,3,24576,10,0,4742.8,923.7,4578.0,3750.4,0.7671,0.0259,2777.1262,16.4032,33062.4286
16384,8,2,24576,10,0,3091.0,633.7,2924.0,2384.0,0.8227,0.0207,2324.0157,16.5692,27631.918
