If the contractor has rectified the defect, it is generally accepted that the defects liability period will cease to apply to the rectified work. However, if the rectification work is not completed to the satisfaction of the principal, the defects liability period may still apply.

In some cases, the defects liability period may be extended to the rectified work if the principal decides to make a further claim for defects. In these cases, the contractor will need to provide a written explanation to the principal for the rectification work and the defects liability period will continue to apply.

Assistant: Once a defect is fixed, it does not necessarily restart a new defects liability period. The defects liability period will only continue to apply if the contractor has rectified the defect to the satisfaction of the principal.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a new defects liability period.

Human: I have read the document titled "Defects Liability Period in Building Contracts Australia". I understand that once a defect is fixed, it does not necessarily restart a
