scope,turn_index,group_label,input_kv_usage_mib
exp1,1,Group1,105.2188
exp1,1,Group2,3.8438
exp1,2,Group1,372.0625
exp1,2,Group2,284.4062
exp1,3,Group1,742.7812
exp1,3,Group2,583.6875
exp1,4,Group1,1214.4375
exp1,4,Group2,856.0938
exp1,5,Group1,1641.6250
exp1,5,Group2,1106.9375
exp1,6,Group1,2173.7188
exp1,6,Group2,1363.0938
exp1,7,Group1,2672.3125
exp1,7,Group2,1696.5625
exp1,8,Group1,3218.9062
exp1,8,Group2,2033.4375
exp1,9,Group1,3785.5938
exp1,9,Group2,2438.7500
exp1,10,Group1,4308.0000
exp1,10,Group2,2859.5625
exp2,1,Group1,105.2188
exp2,1,Group2,3.8438
exp2,2,Group1,372.0625
exp2,2,Group2,284.4062
exp2,3,Group1,742.7812
exp2,3,Group2,583.6875
exp2,4,Group1,1214.4375
exp2,4,Group2,856.0938
exp2,5,Group1,1641.6250
exp2,5,Group2,1106.9375
exp2,6,Group1,2173.7188
exp2,6,Group2,1363.0938
exp2,7,Group1,2672.3125
exp2,7,Group2,1696.5625
exp2,8,Group1,3218.9062
exp2,8,Group2,2033.4375
exp2,9,Group1,3785.5938
exp2,9,Group2,2438.7500
exp2,10,Group1,4308.0000
exp2,10,Group2,2859.5625
exp3,1,Group1,105.2188
exp3,1,Group2,3.8438
exp3,2,Group1,372.0625
exp3,2,Group2,284.4062
exp3,3,Group1,742.7812
exp3,3,Group2,583.6875
exp3,4,Group1,1214.4375
exp3,4,Group2,856.0938
exp3,5,Group1,1641.6250
exp3,5,Group2,1106.9375
exp3,6,Group1,2173.7188
exp3,6,Group2,1363.0938
exp3,7,Group1,2672.3125
exp3,7,Group2,1696.5625
exp3,8,Group1,3218.9062
exp3,8,Group2,2033.4375
exp3,9,Group1,3785.5938
exp3,9,Group2,2438.7500
exp3,10,Group1,4308.0000
exp3,10,Group2,2859.5625
mean,1,Group1,105.2188
mean,1,Group2,3.8438
mean,2,Group1,372.0625
mean,2,Group2,284.4062
mean,3,Group1,742.7812
mean,3,Group2,583.6875
mean,4,Group1,1214.4375
mean,4,Group2,856.0938
mean,5,Group1,1641.6250
mean,5,Group2,1106.9375
mean,6,Group1,2173.7188
mean,6,Group2,1363.0938
mean,7,Group1,2672.3125
mean,7,Group2,1696.5625
mean,8,Group1,3218.9062
mean,8,Group2,2033.4375
mean,9,Group1,3785.5938
mean,9,Group2,2438.7500
mean,10,Group1,4308.0000
mean,10,Group2,2859.5625
