exp_label,turn_index,tenant_id,group_label,input_tokens,prefix_hit_tokens,prefix_hit_rate,kv_history_tokens,resident_kv_mib,computation_tokens,prefill_ms,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_pressure_ratio,estimated_prefill_rounds_ratio,joint_compute_x_pressure,joint_compute_x_rounds,compute_over_hit_ratio,context_plus_compute
exp1,1,31,Group2,53.0,48.0,0.9056603773584906,0.0,0.0,5.0,319.7977,3620.0,0.0,0.0,0.44189453125,0.0,2.20947265625,0.10416666666666667,5.0
exp1,1,5,Group1,69.0,0.0,0.0,0.0,0.0,69.0,607.936,3620.0,0.0,0.0,0.44189453125,0.0,30.49072265625,69.0,69.0
exp1,1,29,Group2,53.0,48.0,0.9056603773584906,0.0,0.0,5.0,574.1042000000001,3620.0,0.0,0.0,0.44189453125,0.0,2.20947265625,0.10416666666666667,5.0
exp1,1,19,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,615.8734000000001,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,12,Group1,50.0,48.0,0.96,0.0,0.0,2.0,111.87049999999999,3620.0,0.0,0.0,0.44189453125,0.0,0.8837890625,0.041666666666666664,2.0
exp1,1,6,Group1,840.0,0.0,0.0,0.0,0.0,840.0,637.6427000000001,3620.0,0.0,0.0,0.44189453125,0.0,371.19140625,840.0,840.0
exp1,1,2,Group1,840.0,832.0,0.9904761904761905,0.0,0.0,8.0,630.3446999999999,3620.0,0.0,0.0,0.44189453125,0.0,3.53515625,0.009615384615384616,8.0
exp1,1,18,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,605.9558999999999,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,23,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,114.6907,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,1,Group1,636.0,0.0,0.0,0.0,0.0,636.0,577.9655,3620.0,0.0,0.0,0.44189453125,0.0,281.044921875,636.0,636.0
exp1,1,28,Group2,586.0,0.0,0.0,0.0,0.0,586.0,620.7151,3620.0,0.0,0.0,0.44189453125,0.0,258.9501953125,586.0,586.0
exp1,1,14,Group1,50.0,48.0,0.96,0.0,0.0,2.0,592.8988,3620.0,0.0,0.0,0.44189453125,0.0,0.8837890625,0.041666666666666664,2.0
exp1,1,20,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,315.4012,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,24,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,109.82409999999999,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,22,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,147.63590000000002,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,4,Group1,243.0,0.0,0.0,0.0,0.0,243.0,159.13439999999997,3620.0,0.0,0.0,0.44189453125,0.0,107.38037109375,243.0,243.0
exp1,1,17,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,603.6666,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,3,Group1,243.0,240.0,0.9876543209876543,0.0,0.0,3.0,578.8295999999999,3620.0,0.0,0.0,0.44189453125,0.0,1.32568359375,0.0125,3.0
exp1,1,11,Group1,50.0,48.0,0.96,0.0,0.0,2.0,149.71189999999999,3620.0,0.0,0.0,0.44189453125,0.0,0.8837890625,0.041666666666666664,2.0
exp1,1,9,Group1,50.0,48.0,0.96,0.0,0.0,2.0,116.16699999999999,3620.0,0.0,0.0,0.44189453125,0.0,0.8837890625,0.041666666666666664,2.0
exp1,1,21,Group2,47.0,32.0,0.6808510638297872,0.0,0.0,15.0,620.0343,3620.0,0.0,0.0,0.44189453125,0.0,6.62841796875,0.46875,15.0
exp1,1,7,Group1,50.0,48.0,0.96,0.0,0.0,2.0,310.05240000000003,3620.0,0.0,0.0,0.44189453125,0.0,0.8837890625,0.041666666666666664,2.0
