exp_label,turn_index,tenant_id,group_label,blocking_ms,input_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,kv_history_tokens,prefill_ms,first_token_ts,rank_in_batch,rank_frac,delay_from_earliest_first_token_ms
exp1,1,30,Group2,0.0336,7.0,0.0,0.0,7.0,0.0,111.03030000000001,132010.1140639,1,0.03125,0.0
exp1,1,6,Group1,0.2559,840.0,832.0,0.9904761904761905,8.0,0.0,391.05,132010.3919059,26,0.8125,277.84200001042336
exp1,1,5,Group1,0.2735,69.0,0.0,0.0,69.0,0.0,421.28409999999997,132010.4220576,31,0.96875,307.99370000022464
exp1,1,9,Group1,0.1093,50.0,48.0,0.96,2.0,0.0,416.04010000000005,132010.4170494,30,0.9375,302.98550002044067
exp1,1,32,Group2,0.0192,7.0,0.0,0.0,7.0,0.0,282.8313,132010.2860505,7,0.21875,171.98660000576638
exp1,1,29,Group2,0.2065,6.0,0.0,0.0,6.0,0.0,378.0806,132010.3811871,22,0.6875,267.1231999993324
exp1,1,2,Group1,0.0386,840.0,0.0,0.0,840.0,0.0,315.6369,132010.3158755,13,0.40625,201.81160001084208
exp1,1,13,Group1,0.03,50.0,48.0,0.96,2.0,0.0,272.7278,132010.2740578,4,0.125,159.9939000152517
exp1,1,10,Group1,0.1721,50.0,48.0,0.96,2.0,0.0,389.971,132010.3911431,25,0.78125,277.0791999937501
exp1,1,25,Group2,0.0317,7.0,0.0,0.0,7.0,0.0,367.21469999999994,132010.3697464,19,0.59375,255.68250002106652
exp1,1,16,Group1,0.1565,47.0,0.0,0.0,47.0,0.0,382.4334,132010.38418989998,24,0.75,270.1259999885224
exp1,1,24,Group2,0.0783,7.0,0.0,0.0,7.0,0.0,380.8961,132010.3833744,23,0.71875,269.31050000712276
exp1,1,12,Group1,0.1407,50.0,48.0,0.96,2.0,0.0,374.4475,132010.3757882,21,0.65625,261.7243000131566
exp1,1,18,Group2,0.239,8.0,0.0,0.0,8.0,0.0,429.47599999999994,132010.431515,32,1.0,317.4511000106577
exp1,1,17,Group2,0.047,6.0,0.0,0.0,6.0,0.0,333.729,132010.335476,14,0.4375,221.4121000142768
exp1,1,19,Group2,0.0158,6.0,0.0,0.0,6.0,0.0,371.7923,132010.3737081,20,0.625,259.6442000067327
exp1,1,7,Group1,0.2953,50.0,48.0,0.96,2.0,0.0,410.8252,132010.4118205,29,0.90625,297.75660001905635
exp1,1,4,Group1,0.0627,243.0,240.0,0.9876543209876543,3.0,0.0,366.7912,132010.36725389998,17,0.53125,253.18999998853542
