scope,count,mean_prefill_ms,mean_computation_tokens,mean_resident_kv_mib,mean_prefill_residual_ms,mean_prefill_cost_per_token,corr_computation_prefill,corr_kv_prefill,corr_kv_residual
all,960,13018.6328,704.7031,102.0734,12901.1823,73.721607,0.379021,0.702849,0.699796
turn=1,96,330.4480,63.5625,0.0000,319.8543,77.361254,-0.068142,0.000000,0.000000
turn=2,96,2350.1353,553.4688,18.2705,2257.8905,7.446197,0.000380,-0.184742,-0.228346
turn=3,96,4857.3792,676.9688,38.0205,4744.5510,24.223089,0.154885,0.048383,0.021742
turn=4,96,7675.8383,750.0312,61.6982,7550.8331,29.446503,0.036508,0.040487,0.014219
turn=5,96,10299.9381,684.5625,84.5947,10185.8443,53.818514,0.161704,0.027949,0.011430
turn=6,96,14683.6199,793.8125,108.0547,14551.3178,91.378217,-0.136286,0.001667,-0.012539
turn=7,96,15872.0845,836.3750,134.5352,15732.6887,58.149042,0.224713,0.309659,0.300672
turn=8,96,21698.2577,857.3438,160.5957,21555.3670,155.437331,0.135436,0.055804,0.046806
turn=9,96,25023.3890,945.8438,192.2783,24865.7484,96.793793,-0.011011,-0.063283,-0.068027
turn=10,96,27395.2379,885.0625,222.6865,27247.7275,143.162127,0.150303,0.152689,0.148323
focus_turn=5,96,10299.9381,684.5625,84.5947,10185.8443,53.818514,0.161704,0.027949,0.011430
focus_turn=6,96,14683.6199,793.8125,108.0547,14551.3178,91.378217,-0.136286,0.001667,-0.012539
focus_turn=7,96,15872.0845,836.3750,134.5352,15732.6887,58.149042,0.224713,0.309659,0.300672
kv_bin=Low KV,321,5458.6210,268.0654,14.0134,5413.9434,82.662887,-0.074815,0.478596,0.474093
kv_bin=Mid KV,321,11538.8390,760.2991,79.5590,11412.1225,73.128802,-0.261849,0.266725,0.263060
kv_bin=High KV,318,22143.7195,1089.3396,213.6910,21962.1629,65.294371,-0.012089,0.385575,0.385797

kv_bin_cutoff_mib,q1=38.8438,q2=131.6875
