exp_label,turn_index,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_group1_resident_kv_mib,batch_group2_resident_kv_mib,batch_estimated_prefill_rounds,mean_prefill_ms,mean_prefill_cost_per_token
exp1,1,2034.0,0.0,0.0,0.0,1,330.4480187500001,77.36125385318637
exp1,2,17711.0,584.65625,303.09375,281.5625,3,2350.1352625000004,7.44619660756111
exp1,3,21663.0,1216.65625,635.71875,580.9375,3,4857.379168750001,24.22308924463634
exp1,4,24001.0,1974.34375,1121.0,853.34375,3,7675.838334375,29.44650278173268
exp1,5,21906.0,2707.03125,1602.875,1104.15625,3,10299.938078125002,53.8185137926477
exp1,6,25402.0,3457.75,2097.40625,1360.34375,4,14683.619915625,91.37821735784127
exp1,7,26764.0,4305.125,2611.28125,1693.84375,4,15872.084484374998,58.14904229956103
exp1,8,27435.0,5139.0625,3108.53125,2030.53125,4,21698.257671875002,155.4373309247274
exp1,9,30267.0,6152.90625,3717.0,2435.90625,4,25023.389015624998,96.79379279071476
exp1,10,28322.0,7125.96875,4269.5,2856.46875,4,27395.237931250005,143.1621271261718
exp2,1,2034.0,0.0,0.0,0.0,1,330.4480187500001,77.36125385318637
exp2,2,17711.0,584.65625,303.09375,281.5625,3,2350.1352625000004,7.44619660756111
exp2,3,21663.0,1216.65625,635.71875,580.9375,3,4857.379168750001,24.22308924463634
exp2,4,24001.0,1974.34375,1121.0,853.34375,3,7675.838334375,29.44650278173268
exp2,5,21906.0,2707.03125,1602.875,1104.15625,3,10299.938078125002,53.8185137926477
exp2,6,25402.0,3457.75,2097.40625,1360.34375,4,14683.619915625,91.37821735784127
exp2,7,26764.0,4305.125,2611.28125,1693.84375,4,15872.084484374998,58.14904229956103
exp2,8,27435.0,5139.0625,3108.53125,2030.53125,4,21698.257671875002,155.4373309247274
exp2,9,30267.0,6152.90625,3717.0,2435.90625,4,25023.389015624998,96.79379279071476
exp2,10,28322.0,7125.96875,4269.5,2856.46875,4,27395.237931250005,143.1621271261718
exp3,1,2034.0,0.0,0.0,0.0,1,330.4480187500001,77.36125385318637
exp3,2,17711.0,584.65625,303.09375,281.5625,3,2350.1352625000004,7.44619660756111
exp3,3,21663.0,1216.65625,635.71875,580.9375,3,4857.379168750001,24.22308924463634
exp3,4,24001.0,1974.34375,1121.0,853.34375,3,7675.838334375,29.44650278173268
exp3,5,21906.0,2707.03125,1602.875,1104.15625,3,10299.938078125002,53.8185137926477
exp3,6,25402.0,3457.75,2097.40625,1360.34375,4,14683.619915625,91.37821735784127
exp3,7,26764.0,4305.125,2611.28125,1693.84375,4,15872.084484374998,58.14904229956103
exp3,8,27435.0,5139.0625,3108.53125,2030.53125,4,21698.257671875002,155.4373309247274
exp3,9,30267.0,6152.90625,3717.0,2435.90625,4,25023.389015624998,96.79379279071476
exp3,10,28322.0,7125.96875,4269.5,2856.46875,4,27395.237931250005,143.1621271261718
