scope,count,mean_prefill_ms,mean_prefill_cost_per_token,mean_prefill_residual_ms,corr_resident_kv_cost_per_token,corr_batch_kv_cost_per_token,corr_batch_compute_cost_per_token,corr_batch_kv_residual,corr_batch_compute_residual
all,960,28978.0780,21.709663,28366.8058,-0.255130,-0.285462,-0.271140,0.559018,0.492365
focus_turns_5_6_7,288,32857.5182,24.174023,32478.1987,-0.507131,-0.248214,-0.326825,0.197330,0.128023
turn=5,96,27481.4810,26.808022,27248.6772,-0.707812,-0.155858,-0.233776,-0.201493,-0.303727
turn=6,96,35826.6920,30.773361,35559.9299,-0.625927,0.066533,-0.112437,-0.025921,-0.032839
turn=7,96,35264.3815,14.940687,34625.9891,-0.166522,0.003977,-0.080960,0.046015,0.105514
pressure_bin=Low,96,380.2588,79.213642,361.4046,0.000000,0.000000,0.000000,0.000000,0.000000
pressure_bin=High,0,0.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000
pressure_bin=Extra,864,32155.6134,15.320332,31478.5170,-0.231753,-0.109950,-0.305009,0.491757,0.432260

batch_pressure_cutoff_mib,q1=512.0000,q2=1024.0000
