exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_total_resident_kv_mib,batch_kv_ratio_1024,batch_mean_prefill_ms,batch_p95_prefill_ms,batch_p99_prefill_ms,batch_max_prefill_ms
exp1,1,32,3620.0,0.44189453125,0.0,0.0,357.81208718935886,361.8876120017376,361.8876120017376,361.8876120017376
exp1,2,17,27940.0,3.41064453125,903.5,0.88232421875,5649.488044942058,8061.808992802977,11130.39949775848,11897.547123997356
exp1,3,19,27135.0,3.3123779296875,1656.5,1.61767578125,11506.960614952013,20759.68334240459,26404.004012488003,27815.084180008853
exp1,4,21,27810.0,3.394775390625,2678.0625,2.61529541015625,13025.618777911794,18155.8684160118,30746.438595210217,33894.0811400098
exp1,5,31,42583.0,5.1981201171875,5525.34375,5.395843505859375,22581.01428364546,31581.59274799982,35910.54304499703,37765.807457995834
exp1,6,25,35026.0,4.275634765625,5515.28125,5.386016845703125,38709.59037992114,49038.60314380436,63315.532612248164,67820.35291600914
exp1,7,16,35789.0,4.3687744140625,4904.96875,4.790008544921875,37084.20236681923,51745.15092900401,61211.38417140609,63577.94248200662
exp1,8,7,24047.0,2.9354248046875,1689.6875,1.65008544921875,15868.896080715265,34179.0118353936,40682.43451347166,42308.290182991186
exp1,9,10,40119.0,4.8973388671875,3199.28125,3.124298095703125,28562.884919007774,39582.017472104766,45722.997243220016,47258.242185998824
exp1,10,7,56268.0,6.86865234375,1738.53125,1.697784423828125,21612.140289289528,54795.16865710026,66883.80962421883,69905.96986599849
exp2,1,32,3620.0,0.44189453125,0.0,0.0,383.05107686937845,499.76794596295804,499.76794596295804,499.76794596295804
exp2,2,21,26265.0,3.2061767578125,801.65625,0.782867431640625,5437.90839663485,6057.069123024121,10188.279597414661,11221.082216012292
exp2,3,19,33310.0,4.066162109375,2069.4375,2.02093505859375,15411.420315130319,22034.06926902825,26795.58913778863,27985.96910497872
exp2,4,31,46222.0,5.642333984375,4280.28125,4.179962158203125,21718.924307420235,27683.23819799116,28112.50870259246,28296.481775993016
exp2,5,25,36966.0,4.512451171875,4839.96875,4.726531982421875,30599.215109781362,40613.355776213575,48924.43994939325,51546.23421898577
exp2,6,25,36745.0,4.4854736328125,5744.03125,5.609405517578125,26771.23244525632,37191.70970004052,49236.24838496089,53039.786917041056
exp2,7,9,18534.0,2.262451171875,1995.28125,1.948516845703125,19131.109404545794,30797.27802796987,37095.791131954174,38670.41940795025
exp2,8,12,41438.0,5.058349609375,3755.375,3.6673583984375,33764.642937656994,47695.27755084855,51223.57013097673,52105.64327600878
exp2,9,7,43735.0,5.3387451171875,2302.6875,2.24871826171875,20540.527654420915,42943.17296729421,50870.74994705615,52852.64419199666
exp2,10,6,46099.0,5.6273193359375,1989.5,1.94287109375,23898.091241998674,50054.89079175459,55913.894575156155,57378.64552100655
exp3,1,32,3620.0,0.44189453125,0.0,0.0,399.91326036761166,458.9599320315756,458.9599320315756,458.9599320315756
exp3,2,17,24848.0,3.033203125,821.25,0.802001953125,5208.500558941844,7349.151041405272,10149.856546716765,10850.032923044637
exp3,3,16,20453.0,2.4967041015625,1246.6875,1.21746826171875,8709.835578240018,12411.922372994013,18696.007205010388,20267.028413014486
exp3,4,16,21968.0,2.681640625,2035.0625,1.98736572265625,14878.22164591853,21578.55253496382,30898.44226616842,33228.41469896957
exp3,5,15,20131.0,2.4573974609375,2648.15625,2.586090087890625,18752.58256586967,26805.846263695254,37887.080040721914,40657.38848497858
exp3,6,23,33952.0,4.14453125,5290.15625,5.166168212890625,35520.426881980435,51338.605992280645,64486.001832155765,68192.61955399998
exp3,7,15,26977.0,3.2930908203125,3882.90625,3.791900634765625,26567.813978895236,36147.8883880365,42572.77403283282,44178.9954440319
exp3,8,7,25803.0,3.1497802734375,2024.59375,1.977142333984375,19619.674030308877,37633.41740803442,43887.53976883482,45451.07035903493
exp3,9,4,29488.0,3.599609375,1043.15625,1.018707275390625,21175.990328745684,42950.38657148834,44716.906008687794,45158.535867987666
exp3,10,9,50792.0,6.2001953125,2989.28125,2.919219970703125,28606.15604066859,54621.25183839816,64806.17819328326,67352.40978200454
