exp_label,turn_index,filtered_batch_size,delay_spread_ms,mean_prefill_ms,mean_computation_tokens,max_delta_gap_ms
exp1,1,32,362.61314299190417,357.81208718935886,113.125,362.61314299190417
exp1,2,17,11898.139694996644,5649.488044942058,1643.5294117647059,4794.672663992969
exp1,3,19,28200.199900005828,11506.960614952013,1428.157894736842,9931.733400997473
exp1,4,21,40039.98722300457,13025.618777911794,1324.2857142857142,15738.212723998004
exp1,5,31,54339.82482299325,22581.01428364546,1373.6451612903227,22300.404106004862
exp1,6,25,67879.39348300279,38709.59037992114,1401.04,25896.09717798885
exp1,7,16,63670.91749300016,37084.20236681923,2236.8125,29774.644631004776
exp1,8,7,42308.98453599366,15868.896080715265,3435.285714285714,27097.594491991913
exp1,9,10,47259.00546099001,28562.884919007774,4011.9,20915.099589008605
exp1,10,7,69936.21293899196,21612.140289289528,8038.285714285715,50398.8807949936
exp2,1,32,362.61314299190417,357.81208718935886,113.125,362.61314299190417
exp2,2,17,11898.139694996644,5649.488044942058,1643.5294117647059,4794.672663992969
exp2,3,19,28200.199900005828,11506.960614952013,1428.157894736842,9931.733400997473
exp2,4,21,40039.98722300457,13025.618777911794,1324.2857142857142,15738.212723998004
exp2,5,31,54339.82482299325,22581.01428364546,1373.6451612903227,22300.404106004862
exp2,6,25,67879.39348300279,38709.59037992114,1401.04,25896.09717798885
exp2,7,16,63670.91749300016,37084.20236681923,2236.8125,29774.644631004776
exp2,8,7,42308.98453599366,15868.896080715265,3435.285714285714,27097.594491991913
exp2,9,10,47259.00546099001,28562.884919007774,4011.9,20915.099589008605
exp2,10,7,69936.21293899196,21612.140289289528,8038.285714285715,50398.8807949936
exp3,1,32,362.61314299190417,357.81208718935886,113.125,362.61314299190417
exp3,2,17,11898.139694996644,5649.488044942058,1643.5294117647059,4794.672663992969
exp3,3,19,28200.199900005828,11506.960614952013,1428.157894736842,9931.733400997473
exp3,4,21,40039.98722300457,13025.618777911794,1324.2857142857142,15738.212723998004
exp3,5,31,54339.82482299325,22581.01428364546,1373.6451612903227,22300.404106004862
exp3,6,25,67879.39348300279,38709.59037992114,1401.04,25896.09717798885
exp3,7,16,63670.91749300016,37084.20236681923,2236.8125,29774.644631004776
exp3,8,7,42308.98453599366,15868.896080715265,3435.285714285714,27097.594491991913
exp3,9,10,47259.00546099001,28562.884919007774,4011.9,20915.099589008605
exp3,10,7,69936.21293899196,21612.140289289528,8038.285714285715,50398.8807949936
