exp_label,group_label,turn_index,filtered_batch_size,batch_total_input_tokens,batch_total_prefix_hit_tokens,batch_total_computation_tokens,batch_prefix_hit_rate,batch_mean_prefill_ms,batch_mean_prefill_per_input_token_ms,fit_prefill_from_compute_ms,fit_prefill_no_hit_ms,estimated_prefix_hit_gain_ms
exp1,Group1,1,16,3367.0,1456.0,1911.0,0.43243243243243246,341.348325,0.10138055390555391,6309.114230836387,7370.868538475463,7029.520213475463
exp1,Group2,1,16,123.0,0.0,123.0,0.0,319.5477125,2.5979488821138212,5005.256605796093,5005.256605796093,4685.708893296093
exp1,Group1,2,16,11906.0,3296.0,8610.0,0.2768352091382496,2421.1758125,0.203357619057618,11194.204963579636,13597.736692960403,11176.560880460403
exp1,Group2,2,16,9101.0,0.0,9101.0,0.0,2279.0947125,0.2504224494561037,11552.255351663967,11552.255351663967,9273.160639163967
exp1,Group1,3,16,23769.0,11792.0,11977.0,0.49610837645672934,5191.231462499999,0.21840344408683576,13649.511799995002,22248.55492889609,17057.32346639609
exp1,Group2,3,16,18678.0,8992.0,9686.0,0.48142199378948497,4523.526875,0.24218475613020662,11978.853064554667,18536.060986457534,14012.534111457535
exp1,Group1,4,13,30272.0,18000.0,12272.0,0.5946088794926004,7159.889492307692,0.23651854823955115,13864.633723589457,26990.717197149464,19830.827704841773
exp1,Group2,4,15,24293.0,16512.0,7781.0,0.6797019717614128,7492.468179999999,0.3084208693862429,10589.675896936234,22630.669803348614,15138.201623348614
exp1,Group1,5,15,49204.0,36544.0,12660.0,0.7427038452158361,9000.157426666667,0.18291515784624557,14147.573745130638,40796.44010389602,31796.282677229356
exp1,Group2,5,11,27258.0,20208.0,7050.0,0.7413603345806735,10692.702554545456,0.3922775902320587,10056.61106253777,24792.827442187805,14100.124887642349
exp1,Group1,6,16,69559.0,52416.0,17143.0,0.7535473482942538,14164.351762500002,0.2036307560847626,17416.697756906724,55639.852831913464,41475.50106941346
exp1,Group2,6,16,43619.0,35360.0,8259.0,0.8106559068295927,15202.888068749999,0.3485382074038836,10938.246335845215,36723.70809279421,21520.82002404421
