tenant_key,input_bin,hit_bin,input_label,hit_label,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,mean_prefix_hit_tokens,count
8,0,0,50-2549,0-0.25,1051.2412771428571,390.079,3634.42465,123.42857142857143,35
8,0,2,50-2549,0.5-0.75,4999.6019625,4294.625,10678.381405,1106.6666666666667,24
8,1,0,2549-4866,0-0.25,2350.719,1929.8887,3657.1353099999997,404.57142857142856,7
8,1,1,2549-4866,0.25-0.5,3057.130833333333,3612.2511,3633.38094,832.0,3
8,1,2,2549-4866,0.5-0.75,5962.583849999999,7391.0041,7447.2446,2544.0,6
8,1,3,2549-4866,0.75-1.0,13245.117999999997,13466.7325,26361.08668,3044.266666666667,45
8,2,2,4866-9813,0.5-0.75,8508.240088888888,10600.6388,10691.692454999999,4212.444444444444,18
8,2,3,4866-9813,0.75-1.0,17907.770833333336,23567.82175,30250.5645,5604.952380952381,42
8,3,3,9813-20159,0.75-1.0,22177.30350166666,23672.492250000003,30204.798985,13613.866666666667,60
16,0,0,47-2233,0-0.25,1660.6164430555561,367.2197,6702.863730000001,76.22222222222223,72
16,0,2,47-2233,0.5-0.75,12579.920610344832,14487.3478,20112.67306,923.0344827586207,29
16,1,0,2233-4849,0-0.25,5106.140533333333,6041.84835,6850.1324349999995,210.66666666666666,18
16,1,1,2233-4849,0.25-0.5,6630.140519999999,6829.8093,6890.13692,832.0,5
16,1,2,2233-4849,0.5-0.75,13216.374763157894,10848.7459,20067.03451,1851.7894736842106,19
16,1,3,2233-4849,0.75-1.0,23717.847154166673,25285.80695,43543.33919500001,2995.777777777778,72
16,2,2,4849-11183,0.5-0.75,14535.523222857142,18624.1636,21574.06064,4144.0,35
16,2,3,4849-11183,0.75-1.0,32849.914528947374,36135.2715,56107.530275,5812.8421052631575,76
16,3,3,11183-20160,0.75-1.0,40752.81039633027,42085.0573,56249.06858000001,13787.743119266055,109
8+16,0,0,47-2240,0-0.25,1467.1346915887855,385.1405,6600.49936,88.07476635514018,107
8+16,0,2,47-2240,0.5-0.75,10457.38825333333,10698.12345,20089.203715,1060.5333333333333,60
8+16,1,0,2240-4850,0-0.25,4309.599168,3657.8362,6843.906219999999,280.32,25
8+16,1,1,2240-4850,0.25-0.5,5290.2618875,6292.271650000001,6879.15596,832.0,8
8+16,1,2,2240-4850,0.5-0.75,9039.664174999998,10733.93715,14656.363415,2073.3333333333335,12
8+16,1,3,2240-4850,0.75-1.0,20468.153849586783,21754.847,42035.8159,3049.6528925619837,121
8+16,2,2,4850-11182,0.5-0.75,11824.866737288137,10662.8265,20287.487569999994,4002.169491525424,59
8+16,2,3,4850-11182,0.75-1.0,26980.60147807018,26378.2237,55854.632639999996,5797.0526315789475,114
8+16,3,3,11182-20160,0.75-1.0,34157.955877514796,32043.4437,56066.24768,13726.011834319526,169
