tenant_count,group_label,input_tokens,prefix_hit_rate,prefix_hit_tokens,ttft_ms
16,Group1,840.0,0.0,0.0,260.3098
16,Group1,50.0,0.0,48.0,285.7659
16,Group2,50.0,0.0,0.0,100.6689
16,Group1,636.0,0.0,0.0,365.7751
16,Group2,49.0,0.0,48.0,288.5926
16,Group2,47.0,0.0,0.0,362.7868
16,Group1,50.0,0.0,48.0,278.206
16,Group1,243.0,0.0,0.0,265.3414
16,Group2,50.0,0.0,48.0,353.3234
16,Group1,840.0,0.0,832.0,359.7642
16,Group2,50.0,0.0,48.0,277.7389
16,Group2,50.0,0.0,48.0,355.775
16,Group1,243.0,0.0,240.0,358.2442
16,Group2,50.0,0.0,48.0,283.2178
16,Group2,50.0,0.0,48.0,309.6841
16,Group1,69.0,0.0,0.0,313.4011
16,Group1,2240.0,0.022857,48.0,1855.5582
16,Group1,2367.0,0.030203,64.0,6822.2887
16,Group1,2239.0,0.022868,48.0,1831.0809
16,Group2,704.0,0.085106,48.0,217.3439
16,Group2,704.0,0.085106,48.0,6847.2392
16,Group1,2731.0,0.232402,624.0,6854.7895
16,Group1,2548.0,0.104712,240.0,6849.3106
16,Group1,2946.0,0.287989,832.0,6831.5718
16,Group1,2549.0,0.104666,240.0,6815.1931
16,Group1,2921.0,0.287989,832.0,6829.8093
16,Group2,704.0,0.085106,48.0,6817.1666
16,Group2,704.0,0.085106,48.0,1817.0063
16,Group2,704.0,0.085106,48.0,1850.9165
16,Group2,704.0,0.085106,48.0,1843.4655
16,Group2,613.0,0.057041,32.0,6826.219
16,Group2,703.0,0.085258,48.0,1830.3344
16,Group1,4865.0,0.553284,2544.0,10703.9386
16,Group1,5102.0,0.585798,2912.0,14614.1026
16,Group2,1482.0,0.577997,704.0,10744.4782
16,Group2,1482.0,0.577997,704.0,588.8384
16,Group1,4553.0,0.522266,2240.0,10674.4707
16,Group1,4553.0,0.518536,2224.0,10707.2544
16,Group1,4543.0,0.532488,2352.0,10760.6199
16,Group2,1482.0,0.577997,704.0,10749.0927
16,Group2,1482.0,0.577997,704.0,10722.9506
16,Group1,4866.0,0.553164,2544.0,10720.5328
16,Group2,1482.0,0.577997,704.0,383.3461
16,Group2,1482.0,0.577997,704.0,10759.4674
16,Group1,6926.0,0.703297,4864.0,18702.6026
16,Group1,6840.0,0.688172,4544.0,21539.2766
16,Group2,2230.0,0.738585,1472.0,18707.3918
16,Group2,2233.0,0.737475,1472.0,18664.7635
16,Group2,2233.0,0.737475,1472.0,2993.4639
16,Group1,6840.0,0.688172,4544.0,18720.4133
16,Group1,7272.0,0.710006,5024.0,18624.1636
16,Group1,7181.0,0.711509,5088.0,18678.3855
16,Group1,6952.0,0.703093,4864.0,18604.68
16,Group1,6951.0,0.689216,4544.0,2721.4878
16,Group1,6925.0,0.703398,4864.0,18675.9501
16,Group2,2233.0,0.737475,1472.0,18661.3289
16,Group2,2233.0,0.737475,1472.0,18627.5293
16,Group1,8974.0,0.768504,6832.0,25247.793
16,Group2,2831.0,0.80961,2224.0,25212.3675
16,Group2,2831.0,0.80961,2224.0,477.1256
16,Group1,8994.0,0.771836,6928.0,4013.5587
16,Group2,2709.0,0.794597,2000.0,25278.022
16,Group2,2830.0,0.809905,2224.0,25293.5919
16,Group1,9242.0,0.776514,7168.0,25208.8043
16,Group1,9349.0,0.779232,7264.0,25178.4853
16,Group1,8974.0,0.768504,6832.0,25273.7187
16,Group1,9047.0,0.77147,6944.0,27047.2185
16,Group1,8992.0,0.772008,6928.0,25171.582
16,Group1,9174.0,0.77147,6944.0,25303.1884
16,Group2,2828.0,0.810496,2224.0,25250.1144
16,Group2,2831.0,0.80961,2224.0,3999.8101
16,Group2,2831.0,0.80961,2224.0,3993.398
16,Group1,11311.0,0.814198,8992.0,27877.8061
16,Group2,3489.0,0.841854,2816.0,605.1121
16,Group2,3489.0,0.841854,2816.0,1015.671
16,Group1,11168.0,0.812772,8960.0,28018.6717
16,Group1,11474.0,0.819721,9344.0,27949.2812
16,Group1,11308.0,0.814419,8992.0,27956.5717
16,Group1,11197.0,0.814635,9040.0,27912.9567
16,Group1,11440.0,0.816821,9168.0,35427.2268
16,Group2,3489.0,0.841854,2816.0,28017.7498
16,Group2,3488.0,0.842105,2816.0,27920.7722
16,Group2,3489.0,0.841854,2816.0,27987.2019
16,Group1,11168.0,0.812772,8960.0,27990.8482
16,Group1,13309.0,0.844908,11168.0,42072.1786
16,Group1,13654.0,0.848332,11472.0,39322.1886
16,Group2,4094.0,0.871346,3488.0,5590.6863
16,Group2,4015.0,0.865197,3376.0,39326.5955
16,Group1,13510.0,0.848036,11440.0,39369.1134
16,Group1,13309.0,0.844908,11168.0,39408.048
16,Group1,13360.0,0.845474,11200.0,39278.5707
16,Group1,13594.0,0.846694,11344.0,5143.5993
16,Group2,4093.0,0.871564,3488.0,39285.3742
