estimated_prefill_fraction,tenant_count,turn_index,tenant_id,history_limit_tokens,ttft_ms,blocking_ms,estimated_prefill_ms,estimated_remaining_ttft_ms,input_tokens,prefix_hit_tokens,computation_tokens
0.5,32,1,11,24576,495.7351,0.1032,247.81595,247.81595,50.0,48.0,2.0
0.5,32,1,26,12288,530.82,0.2598,265.2801,265.2801,47.0,32.0,15.0
0.5,32,1,25,12288,605.3191,0.5258,302.39665,302.39665,47.0,0.0,47.0
0.5,32,1,30,12288,597.9926,0.4883,298.75215000000003,298.75215000000003,53.0,0.0,53.0
0.5,32,1,17,12288,484.7731,0.0346,242.36925,242.36925,47.0,32.0,15.0
0.5,32,1,29,12288,500.7302,0.2427,250.24375,250.24375,53.0,48.0,5.0
0.5,32,1,32,12288,472.2574,0.0517,236.10285000000002,236.10285000000002,53.0,48.0,5.0
0.5,32,1,24,12288,538.2552,0.3455,268.95484999999996,268.95484999999996,47.0,32.0,15.0
0.5,32,1,31,12288,570.4107,0.4345,284.98810000000003,284.98810000000003,53.0,48.0,5.0
0.5,32,1,18,12288,481.1525,0.0689,240.5418,240.5418,47.0,32.0,15.0
0.5,32,1,23,12288,609.9603,0.452,304.75415,304.75415,47.0,32.0,15.0
0.5,32,1,14,24576,543.077,0.3801,271.34845,271.34845,50.0,48.0,2.0
0.5,32,1,22,12288,516.6699,0.2938,258.18805,258.18805,47.0,32.0,15.0
0.5,32,1,10,24576,522.3069,0.2769,261.01500000000004,261.01500000000004,50.0,48.0,2.0
0.5,32,1,20,12288,506.6629,0.086,253.28844999999998,253.28844999999998,47.0,32.0,15.0
0.5,32,1,28,12288,530.6816,0.1892,265.2462,265.2462,586.0,0.0,586.0
0.5,32,1,7,24576,589.2284,0.4696,294.3794,294.3794,50.0,0.0,50.0
0.5,32,1,5,24576,492.7968,0.0177,246.38955,246.38955,69.0,0.0,69.0
0.5,32,1,6,24576,288.2751,0.0476,144.11375,144.11375,840.0,0.0,840.0
0.5,32,1,1,24576,623.088,0.5488,311.26959999999997,311.26959999999997,636.0,0.0,636.0
0.5,32,1,9,24576,571.6248,0.3989,285.61295,285.61295,50.0,48.0,2.0
0.5,32,1,2,24576,525.723,0.3282,262.69739999999996,262.69739999999996,840.0,832.0,8.0
0.5,32,1,4,24576,600.6014,0.5069,300.04725,300.04725,243.0,0.0,243.0
0.5,32,1,16,24576,510.7215,0.2082,255.25665,255.25665,47.0,32.0,15.0
0.5,32,1,12,24576,523.2861,0.3109,261.48760000000004,261.48760000000004,50.0,48.0,2.0
0.5,32,1,13,24576,501.8779,0.1373,250.87030000000001,250.87030000000001,50.0,48.0,2.0
0.5,32,1,8,24576,560.3142,0.4167,279.94875,279.94875,50.0,48.0,2.0
0.5,32,1,3,24576,496.5008,0.1718,248.1645,248.1645,243.0,240.0,3.0
0.5,32,1,15,24576,482.8664,0.1545,241.35595,241.35595,49.0,48.0,1.0
0.5,32,1,27,12288,486.2391,0.1203,243.0594,243.0594,905.0,0.0,905.0
0.5,32,1,21,12288,509.5016,0.2253,254.63815,254.63815,47.0,32.0,15.0
0.5,32,1,19,12288,554.4014,0.3625,277.01945,277.01945,47.0,32.0,15.0
0.5,32,2,14,24576,7875.8924,0.4239,3937.73425,3937.73425,2240.0,48.0,2192.0
0.5,32,2,28,12288,13118.4998,7103.2319,3007.63395,3007.63395,1685.0,576.0,1109.0
0.5,32,2,22,12288,12621.6651,2484.5744,5068.54535,5068.54535,613.0,48.0,565.0
0.5,32,2,26,12288,13112.4699,7103.2481,3004.6109,3004.6109,613.0,48.0,565.0
0.5,32,2,27,12288,3308.1617,0.0369,1654.0624,1654.0624,1736.0,896.0,840.0
0.5,32,2,25,12288,3272.1778,0.0148,1636.0815,1636.0815,613.0,48.0,565.0
0.5,32,2,30,12288,7872.0459,0.3619,3935.842,3935.842,811.0,48.0,763.0
0.5,32,2,21,12288,12632.268,2484.6234,5073.8223,5073.8223,613.0,48.0,565.0
0.5,32,2,17,12288,13108.5524,7103.2154,3002.6685,3002.6685,613.0,48.0,565.0
0.5,32,2,32,12288,12645.359,2484.5079,5080.42555,5080.42555,811.0,48.0,763.0
0.5,32,2,19,12288,13122.1502,2484.4429,5318.85365,5318.85365,613.0,48.0,565.0
