exp_label,tenant_count,turn_index,sum_p95_tbt_ms,mean_p95_tbt_ms,sum_input_tokens,sum_output_tokens,n
exp1,16,1,212.3581,13.27238125,3367.0,20495.0,16
exp1,16,2,340.0007,21.25004375,26081.0,20496.0,16
exp1,16,3,483.1656,30.19785,50018.0,20496.0,16
exp1,16,4,632.3001,39.51875625,73519.0,20496.0,16
exp1,16,5,769.3130999999998,48.08206874999999,95268.0,20496.0,16
exp1,16,6,913.2902999999998,57.080643749999986,118221.0,20496.0,16
exp1,16,7,1056.5412999999999,66.03383124999999,140684.0,20496.0,16
exp1,16,8,1206.5575,75.40984375,164723.0,20496.0,16
exp1,16,9,1348.6392000000003,84.28995000000002,187427.0,20496.0,16
exp1,16,10,1485.7567,92.85979375,209172.0,20496.0,16
exp1,32,1,661.8815999999998,20.683799999999994,5540.0,40990.0,32
exp1,32,2,1176.6551999999997,36.77047499999999,51168.0,40992.0,32
exp1,32,3,1775.2034000000008,55.475106250000024,98035.0,40992.0,32
exp1,32,4,2372.9734,74.15541875,144687.0,40991.0,32
exp1,32,5,2956.4559,92.389246875,189174.0,40992.0,32
exp1,32,6,3530.3213999999994,110.32254374999998,234929.0,40992.0,32
exp1,32,7,3691.6022000000003,115.36256875000001,279898.0,40992.0,32
exp1,32,8,3452.7059999999997,107.89706249999999,325871.0,40992.0,32
exp1,32,9,3729.0618999999997,116.53318437499999,372708.0,40992.0,32
exp1,32,10,3538.0759,110.564871875,417218.0,40992.0,32
exp1,8,1,78.70389999999999,9.837987499999999,2971.0,10247.0,8
exp1,8,2,111.71410000000002,13.964262500000002,14400.0,10242.0,8
exp1,8,3,149.08639999999997,18.635799999999996,26085.0,10248.0,8
exp1,8,4,185.49589999999998,23.186987499999997,37449.0,10248.0,8
exp1,8,5,220.3628,27.54535,48163.0,10248.0,8
exp1,8,6,257.5598,32.194975,59688.0,10248.0,8
exp1,8,7,294.71549999999996,36.839437499999995,71146.0,10248.0,8
exp1,8,8,334.44390000000004,41.805487500000005,83160.0,10248.0,8
exp1,8,9,370.5821,46.3227625,94299.0,10248.0,8
exp1,8,10,405.29200000000003,50.661500000000004,105026.0,10248.0,8
exp2,16,1,211.8267,13.23916875,3367.0,20496.0,16
exp2,16,2,339.63910000000004,21.227443750000003,26076.0,20496.0,16
exp2,16,3,482.5021,30.15638125,50013.0,20496.0,16
exp2,16,4,632.5904000000002,39.53690000000001,73516.0,20496.0,16
exp2,16,5,768.9209,48.05755625,95266.0,20496.0,16
exp2,16,6,912.8865000000001,57.055406250000004,118220.0,20496.0,16
exp2,16,7,1055.328,65.958,140686.0,20496.0,16
exp2,16,8,1207.2363,75.45226875,164727.0,20496.0,16
exp2,16,9,1347.9038,84.2439875,187430.0,20496.0,16
exp2,16,10,1487.7768,92.98605,209173.0,20496.0,16
exp2,32,1,661.1242,20.66013125,5540.0,40992.0,32
exp2,32,2,1176.9288,36.779025,51161.0,40992.0,32
exp2,32,3,1770.3444999999997,55.32326562499999,98026.0,40992.0,32
exp2,32,4,2374.7209000000003,74.21002812500001,144680.0,40992.0,32
exp2,32,5,2926.9692,91.4677875,189168.0,40992.0,32
exp2,32,6,3534.7704,110.461575,234926.0,40992.0,32
exp2,32,7,3710.0575,115.939296875,279894.0,40992.0,32
exp2,32,8,3766.5009999999997,117.70315624999999,325868.0,40992.0,32
exp2,32,9,3469.2167000000004,108.41302187500001,372710.0,40992.0,32
exp2,32,10,3339.709100000001,104.36590937500003,417222.0,40992.0,32
exp2,8,1,78.69229999999999,9.836537499999999,2971.0,10248.0,8
exp2,8,2,111.33230000000002,13.916537500000002,14401.0,10248.0,8
exp2,8,3,148.9723,18.6215375,26091.0,10248.0,8
exp2,8,4,184.95959999999997,23.119949999999996,37458.0,10248.0,8
exp2,8,5,219.3342,27.416775,48173.0,10248.0,8
exp2,8,6,256.2899,32.0362375,59699.0,10248.0,8
exp2,8,7,293.0714,36.633925,71157.0,10248.0,8
exp2,8,8,331.7374,41.467175,83170.0,10248.0,8
exp2,8,9,366.6273,45.8284125,94310.0,10248.0,8
exp2,8,10,400.9257,50.1157125,105039.0,10248.0,8
exp3,16,1,212.4409,13.27755625,3367.0,20490.0,16
exp3,16,2,340.59169999999995,21.286981249999997,26078.0,20496.0,16
exp3,16,3,484.7715000000001,30.298218750000007,50013.0,20496.0,16
exp3,16,4,632.5647,39.53529375,73516.0,20496.0,16
exp3,16,5,769.3175,48.08234375,95267.0,20496.0,16
exp3,16,6,913.6004,57.100025,118220.0,20496.0,16
exp3,16,7,1053.8363,65.86476875,140684.0,20496.0,16
exp3,16,8,1204.6254999999999,75.28909374999999,164726.0,20496.0,16
exp3,16,9,1346.1949,84.13718125,187432.0,20496.0,16
exp3,16,10,1485.5369999999998,92.84606249999999,209176.0,20496.0,16
exp3,32,1,660.6285,20.644640625,5540.0,40985.0,32
exp3,32,2,1180.5640999999996,36.89262812499999,51157.0,40991.0,32
exp3,32,3,1794.6099,56.081559375,98015.0,40992.0,32
exp3,32,4,2396.4789,74.889965625,144670.0,40992.0,32
exp3,32,5,2983.061200000001,93.22066250000003,189161.0,40992.0,32
exp3,32,6,3573.9799,111.686871875,234920.0,40992.0,32
exp3,32,7,3775.944,117.99825,279890.0,40992.0,32
exp3,32,8,3803.6707000000006,118.86470937500002,325858.0,40992.0,32
exp3,32,9,3713.062000000001,116.03318750000003,372699.0,40992.0,32
exp3,32,10,3657.2586,114.28933125,417203.0,40990.0,32
exp3,8,1,78.7043,9.8380375,2971.0,10248.0,8
exp3,8,2,111.441,13.930125,14401.0,10248.0,8
exp3,8,3,148.73160000000001,18.591450000000002,26092.0,10248.0,8
exp3,8,4,184.94490000000002,23.118112500000002,37458.0,10248.0,8
exp3,8,5,219.2829,27.4103625,48174.0,10248.0,8
exp3,8,6,255.9765,31.9970625,59701.0,10248.0,8
exp3,8,7,292.3063,36.5382875,71160.0,10248.0,8
exp3,8,8,331.5544,41.4443,83174.0,10248.0,8
exp3,8,9,366.60859999999997,45.826074999999996,94316.0,10248.0,8
exp3,8,10,400.78770000000003,50.098462500000004,105045.0,10248.0,8
