tenant_count,turn_index,mean_sum_p95_tbt_ms,min_sum_p95_tbt_ms,max_sum_p95_tbt_ms,p99_blocking_ms,p99_prefill_ms,p99_ttft_ms
32,1,661.2114333333333,660.6285,661.8815999999998,0.5269859466352499,499.76794596295804,632.42686
32,2,1178.0493666666664,1176.6551999999997,1180.5640999999996,7103.232745398418,11254.905461411543,13118.68232
32,3,1780.0526000000002,1770.3444999999997,1794.6099,10411.288067750866,27835.14624243253,28355.202995
32,4,2381.3910666666666,2372.9734,2396.4789,17718.638641601865,34354.70848423864,42748.298375000006
32,5,2955.4954333333335,2926.9692,2983.061200000001,20869.855102765723,50959.871492156526,54540.576850000005
32,6,3546.3572333333327,3530.3213999999994,3573.9799,27165.381508950595,67838.96624790868,73183.793345
32,7,3725.8678999999997,3691.6022000000003,3775.944,234828.0845215544,69287.83831175574,275123.98200499994
32,8,3674.292566666667,3452.7059999999997,3803.6707000000006,706930.2437342943,171276.91904525337,723255.7678899999
32,9,3637.113533333333,3469.2167000000004,3729.0618999999997,832390.5148711723,103732.09860821339,919203.1649399999
32,10,3511.6812000000004,3339.709100000001,3657.2586,923788.859065606,432176.0598646935,987701.73142
