exp_label,tenant_count,turn_index,sum_input_tokens,sum_output_tokens,sum_uncached_context_tokens,sum_p95_tbt_ms,mean_p95_tbt_ms,n
exp1,16,1,3367.0,20495.0,1911.0,212.3581,13.27238125,16
exp1,16,2,26081.0,20496.0,22785.0,340.0007,21.25004375,16
exp1,16,3,50018.0,20496.0,24018.0,483.1656,30.19785,16
exp1,16,4,73519.0,20496.0,23615.0,632.3001,39.51875625,16
exp1,16,5,95268.0,20496.0,21860.0,769.3130999999998,48.08206874999999,16
exp1,16,6,118221.0,20496.0,23117.0,913.2902999999998,57.080643749999986,16
exp1,16,7,140684.0,20496.0,22492.0,1056.5412999999999,66.03383124999999,16
exp1,16,8,164723.0,20496.0,24195.0,1206.5575,75.40984375,16
exp1,16,9,187427.0,20496.0,22691.0,1348.6392000000003,84.28995000000002,16
exp1,16,10,209172.0,20496.0,21780.0,1485.7567,92.85979375,16
exp1,32,1,5540.0,40990.0,3620.0,661.8815999999998,20.683799999999994,32
exp1,32,2,51168.0,40992.0,45728.0,1176.6551999999997,36.77047499999999,32
exp1,32,3,98035.0,40992.0,47059.0,1775.2034000000008,55.475106250000024,32
exp1,32,4,144687.0,40991.0,46847.0,2372.9734,74.15541875,32
exp1,32,5,189174.0,40992.0,44726.0,2956.4559,92.389246875,32
exp1,32,6,234929.0,40992.0,49441.0,3530.3213999999994,110.32254374999998,32
exp1,32,7,279898.0,40992.0,111626.0,3691.6022000000003,115.36256875000001,32
exp1,32,8,325871.0,40992.0,185231.0,3452.7059999999997,107.89706249999999,32
exp1,32,9,372708.0,40992.0,261572.0,3729.0618999999997,116.53318437499999,32
exp1,32,10,417218.0,40992.0,327634.0,3538.0759,110.564871875,32
exp1,8,1,2971.0,10247.0,1851.0,78.70389999999999,9.837987499999999,8
exp1,8,2,14400.0,10242.0,11472.0,111.71410000000002,13.964262500000002,8
exp1,8,3,26085.0,10248.0,11717.0,149.08639999999997,18.635799999999996,8
exp1,8,4,37449.0,10248.0,11401.0,185.49589999999998,23.186987499999997,8
exp1,8,5,48163.0,10248.0,10771.0,220.3628,27.54535,8
exp1,8,6,59688.0,10248.0,11608.0,257.5598,32.194975,8
exp1,8,7,71146.0,10248.0,11498.0,294.71549999999996,36.839437499999995,8
exp1,8,8,83160.0,10248.0,12072.0,334.44390000000004,41.805487500000005,8
exp1,8,9,94299.0,10248.0,11147.0,370.5821,46.3227625,8
exp1,8,10,105026.0,10248.0,10722.0,405.29200000000003,50.661500000000004,8
exp2,16,1,3367.0,20496.0,1911.0,211.8267,13.23916875,16
exp2,16,2,26076.0,20496.0,22780.0,339.63910000000004,21.227443750000003,16
exp2,16,3,50013.0,20496.0,24029.0,482.5021,30.15638125,16
exp2,16,4,73516.0,20496.0,23612.0,632.5904000000002,39.53690000000001,16
exp2,16,5,95266.0,20496.0,21858.0,768.9209,48.05755625,16
exp2,16,6,118220.0,20496.0,23100.0,912.8865000000001,57.055406250000004,16
exp2,16,7,140686.0,20496.0,22526.0,1055.328,65.958,16
exp2,16,8,164727.0,20496.0,24167.0,1207.2363,75.45226875,16
exp2,16,9,187430.0,20496.0,22214.0,1347.9038,84.2439875,16
exp2,16,10,209173.0,20496.0,21253.0,1487.7768,92.98605,16
exp2,32,1,5540.0,40992.0,3620.0,661.1242,20.66013125,32
exp2,32,2,51161.0,40992.0,45705.0,1176.9288,36.779025,32
exp2,32,3,98026.0,40992.0,47050.0,1770.3444999999997,55.32326562499999,32
exp2,32,4,144680.0,40992.0,46824.0,2374.7209000000003,74.21002812500001,32
exp2,32,5,189168.0,40992.0,44672.0,2926.9692,91.4677875,32
exp2,32,6,234926.0,40992.0,51006.0,3534.7704,110.461575,32
exp2,32,7,279894.0,40992.0,138646.0,3710.0575,115.939296875,32
exp2,32,8,325868.0,40992.0,230028.0,3766.5009999999997,117.70315624999999,32
exp2,32,9,372710.0,40992.0,260374.0,3469.2167000000004,108.41302187500001,32
exp2,32,10,417222.0,40992.0,361526.0,3339.709100000001,104.36590937500003,32
exp2,8,1,2971.0,10248.0,1851.0,78.69229999999999,9.836537499999999,8
exp2,8,2,14401.0,10248.0,11473.0,111.33230000000002,13.916537500000002,8
exp2,8,3,26091.0,10248.0,11755.0,148.9723,18.6215375,8
exp2,8,4,37458.0,10248.0,11410.0,184.95959999999997,23.119949999999996,8
exp2,8,5,48173.0,10248.0,10781.0,219.3342,27.416775,8
exp2,8,6,59699.0,10248.0,11587.0,256.2899,32.0362375,8
exp2,8,7,71157.0,10248.0,11493.0,293.0714,36.633925,8
exp2,8,8,83170.0,10248.0,12050.0,331.7374,41.467175,8
exp2,8,9,94310.0,10248.0,11142.0,366.6273,45.8284125,8
exp2,8,10,105039.0,10248.0,8703.0,400.9257,50.1157125,8
exp3,16,1,3367.0,20490.0,1911.0,212.4409,13.27755625,16
exp3,16,2,26078.0,20496.0,22766.0,340.59169999999995,21.286981249999997,16
