tenant_count,turn_index,mean_sum_input_tokens,mean_sum_output_tokens,mean_sum_uncached_context_tokens,mean_sum_p95_tbt_ms,min_sum_p95_tbt_ms,max_sum_p95_tbt_ms,mean_p95_tbt_ms,runs
16,1,3367.0,20493.666666666668,1911.0,212.20856666666668,211.8267,212.4409,13.263035416666668,3
16,2,26078.333333333332,20496.0,22777.0,340.07716666666664,339.63910000000004,340.59169999999995,21.254822916666665,3
16,3,50014.666666666664,20496.0,24014.666666666668,483.47973333333334,482.5021,484.7715000000001,30.217483333333334,3
16,4,73517.0,20496.0,23623.666666666668,632.4850666666667,632.3001,632.5904000000002,39.53031666666667,3
16,5,95267.0,20496.0,21869.666666666668,769.1838333333334,768.9209,769.3175,48.073989583333336,3
16,6,118220.33333333333,20496.0,23116.333333333332,913.2590666666665,912.8865000000001,913.6004,57.07869166666666,3
16,7,140684.66666666666,20496.0,22514.0,1055.2351999999998,1053.8363,1056.5412999999999,65.95219999999999,3
16,8,164725.33333333334,20496.0,24186.666666666668,1206.1397666666664,1204.6254999999999,1207.2363,75.38373541666665,3
16,9,187429.66666666666,20496.0,22549.666666666668,1347.5793,1346.1949,1348.6392000000003,84.22370625,3
16,10,209173.66666666666,20496.0,21611.0,1486.3568333333333,1485.5369999999998,1487.7768,92.89730208333333,3
32,1,5540.0,40989.0,3620.0,661.2114333333333,660.6285,661.8815999999998,20.662857291666665,3
32,2,51162.0,40991.666666666664,45716.666666666664,1178.0493666666664,1176.6551999999997,1180.5640999999996,36.814042708333325,3
32,3,98025.33333333333,40992.0,47049.333333333336,1780.0526000000002,1770.3444999999997,1794.6099,55.62664375000001,3
32,4,144679.0,40991.666666666664,46839.0,2381.3910666666666,2372.9734,2396.4789,74.41847083333333,3
32,5,189167.66666666666,40992.0,44698.333333333336,2955.4954333333335,2926.9692,2983.061200000001,92.35923229166667,3
32,6,234925.0,40992.0,51218.333333333336,3546.3572333333327,3530.3213999999994,3573.9799,110.82366354166665,3
32,7,279894.0,40992.0,122571.33333333333,3725.8678999999997,3691.6022000000003,3775.944,116.43337187499999,3
32,8,325865.6666666667,40992.0,202713.66666666666,3674.292566666667,3452.7059999999997,3803.6707000000006,114.82164270833334,3
32,9,372705.6666666667,40992.0,274113.6666666667,3637.113533333333,3469.2167000000004,3729.0618999999997,113.65979791666666,3
32,10,417214.3333333333,40991.333333333336,335102.3333333333,3511.6812000000004,3339.709100000001,3657.2586,109.74003750000001,3
8,1,2971.0,10247.666666666666,1851.0,78.70016666666665,78.69229999999999,78.7043,9.83752083333333,3
8,2,14400.666666666666,10246.0,11472.666666666666,111.49580000000002,111.33230000000002,111.71410000000002,13.936975000000002,3
8,3,26089.333333333332,10248.0,11732.0,148.93009999999998,148.73160000000001,149.08639999999997,18.616262499999998,3
8,4,37455.0,10248.0,11407.0,185.13346666666666,184.94490000000002,185.49589999999998,23.141683333333333,3
8,5,48170.0,10248.0,10783.333333333334,219.6599666666667,219.2829,220.3628,27.457495833333336,3
8,6,59696.0,10248.0,11594.666666666666,256.6087333333333,255.9765,257.5598,32.07609166666666,3
8,7,71154.33333333333,10248.0,11495.666666666666,293.3644,292.3063,294.71549999999996,36.67055,3
8,8,83168.0,10248.0,12064.0,332.57856666666663,331.5544,334.44390000000004,41.57232083333333,3
8,9,94308.33333333333,10248.0,11145.666666666666,367.9393333333333,366.60859999999997,370.5821,45.992416666666664,3
8,10,105036.66666666667,10248.0,10060.666666666666,402.3351333333333,400.78770000000003,405.29200000000003,50.291891666666665,3
