tenant_count,group,turn,mean_blocking_ms,mean_prefill_ms,mean_remaining_ttft_ms,mean_total_ttft_ms,sample_count
8,Group1,1,0.0410,267.8421,46.2849,314.1681,12
8,Group1,2,0.0393,2831.1235,154.1931,2985.3559,12
8,Group1,3,0.0338,4354.2927,900.1653,5254.4917,12
8,Group1,4,0.0198,6049.6127,1201.8407,7251.4732,12
8,Group1,5,0.0620,8542.5889,2338.6541,10881.3051,12
8,Group1,6,0.0522,10055.3983,2180.5240,12235.9745,12
8,Group1,7,0.0324,17422.1552,430.0897,17852.2773,12
8,Group1,8,0.0771,16718.9325,4636.2875,21355.2971,12
8,Group1,9,0.0289,26990.3285,709.1371,27699.4944,12
8,Group1,10,0.0832,29486.7375,661.3748,30148.1955,12
8,Group2,1,0.0374,335.5107,42.6666,378.2147,12
8,Group2,2,0.0426,2023.4481,113.7023,2137.1930,12
8,Group2,3,0.0164,4244.3456,45.5992,4289.9612,12
8,Group2,4,0.0292,6770.0248,1218.8561,7988.9100,12
8,Group2,5,0.0462,8628.9930,2346.2498,10975.2890,12
8,Group2,6,0.0594,13675.6964,4318.3119,17994.0676,12
8,Group2,7,0.0621,12282.3267,329.8299,12612.2187,12
8,Group2,8,0.0555,20235.8806,6137.9183,26373.8543,12
8,Group2,9,0.0132,14002.7384,364.6785,14367.4302,12
8,Group2,10,0.0427,22300.4260,481.6034,22782.0721,12
16,Group1,1,0.0279,274.6137,36.2094,310.8510,24
16,Group1,2,0.0867,5456.3344,129.7791,5586.2003,24
16,Group1,3,51.4772,11823.1839,293.0496,12167.7107,24
16,Group1,4,0.1413,14731.7123,2301.5163,17033.3699,24
16,Group1,5,0.0459,22488.1250,317.3726,22805.5436,24
16,Group1,6,51.1172,29294.3022,471.3142,29816.7337,24
16,Group1,7,0.1825,31007.6691,4411.5226,35419.3742,24
16,Group1,8,13.2080,41248.7334,721.0510,41982.9924,24
16,Group1,9,0.1289,40742.4570,5578.7667,46321.3526,24
16,Group1,10,9.2211,49348.1043,590.9516,49948.2771,24
16,Group2,1,0.0310,250.1720,41.2704,291.4734,24
16,Group2,2,0.0627,3421.1316,85.0171,3506.2114,24
16,Group2,3,51.4793,8842.6705,244.6367,9138.7865,24
16,Group2,4,113.9913,15386.3159,2278.0446,17778.3518,24
16,Group2,5,443.3355,16371.4781,253.5169,17068.3305,24
16,Group2,6,153.0350,23459.8244,354.2448,23967.1042,24
16,Group2,7,280.4686,32193.8283,4331.0441,36805.3409,24
16,Group2,8,13.1816,34967.5702,640.3730,35621.1248,24
16,Group2,9,479.5549,36939.7379,4735.1241,42154.4168,24
16,Group2,10,9.2308,41915.3763,563.7499,42488.3570,24
32,Group1,1,0.2798,353.7366,166.4851,520.5015,48
32,Group1,2,776.5624,7005.2094,564.6402,8346.4120,48
32,Group1,3,2487.1442,16786.7990,255.7608,19529.7041,48
32,Group1,4,1064.9162,22037.4556,4926.1380,28028.5099,48
32,Group1,5,580.1973,26939.5591,9333.0824,36852.8387,48
32,Group1,6,6492.4048,36944.0247,3553.0912,46989.5207,48
32,Group1,7,28241.0467,33561.0249,4688.9138,66490.9853,48
32,Group1,8,69578.8330,52549.5232,5294.9571,127423.3132,48
32,Group1,9,215104.7878,48778.5875,13589.2248,277472.6001,48
32,Group1,10,286720.0384,103238.1488,3392.5690,393350.7562,48
32,Group2,1,0.2613,361.8876,168.8403,530.9892,48
32,Group2,2,2418.9168,7085.4404,602.3863,10106.7436,48
32,Group2,3,1303.7215,12257.1681,170.0317,13730.9213,48
32,Group2,4,1591.2168,16031.8286,3448.8343,21071.8797,48
32,Group2,5,0.1166,18591.4329,2186.1933,20777.7428,48
32,Group2,6,4884.8778,41907.2699,3798.5610,50590.7087,48
32,Group2,7,41180.6142,35226.9933,4915.2856,81322.8931,48
32,Group2,8,205694.8890,27335.4131,4948.1427,237978.4447,48
32,Group2,9,52512.1525,38810.0466,11899.7323,103221.9314,48
32,Group2,10,254484.1945,39447.0852,3293.8773,297225.1571,48
