arrival_time_epoch_s,compressed_elapsed_ms,tenant_count,tenant_id,turn_index,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms
1778693706.298219,0.000,32,3,1,0.0116,578.8296,0.0000,578.8412
1778693706.298571,0.352,32,5,1,0.1381,607.9360,0.0000,608.0741
1778693706.298849,0.630,32,9,1,0.0417,116.1670,0.0000,116.2087
1778693706.301080,2.861,32,12,1,0.0197,111.8705,0.0000,111.8902
1778693706.302607,4.388,32,6,1,0.1973,637.6427,0.0000,637.8400
1778693706.305072,6.853,32,11,1,0.0072,149.7119,0.0000,149.7191
1778693706.307158,8.939,32,18,1,0.1054,605.9559,0.0000,606.0613
1778693706.308905,10.686,32,7,1,0.0194,310.0524,0.0000,310.0718
1778693706.310894,12.675,32,23,1,0.0261,114.6907,0.0000,114.7168
1778693706.312725,14.506,32,22,1,0.0334,147.6359,0.0000,147.6693
1778693706.314887,16.668,32,8,1,0.0268,126.1282,0.0000,126.1550
1778693706.317184,18.965,32,29,1,0.0220,574.1042,0.0000,574.1262
1778693706.317471,19.252,32,26,1,0.0537,586.0060,0.0000,586.0597
1778693706.319572,21.353,32,13,1,0.0847,586.4138,0.0000,586.4985
1778693706.321894,23.675,32,27,1,0.0131,307.8504,0.0000,307.8635
1778693706.322188,23.969,32,21,1,0.1711,620.0343,0.0000,620.2054
1778693706.323561,25.342,32,31,1,0.0264,319.7977,0.0000,319.8241
1778693706.325165,26.946,32,20,1,0.0069,315.4012,0.0000,315.4081
1778693706.325472,27.253,32,16,1,0.0521,133.4788,0.0000,133.5309
1778693706.327666,29.447,32,28,1,0.1492,620.7151,0.0000,620.8643
1778693706.329377,31.158,32,2,1,0.1600,630.3447,0.0000,630.5047
1778693706.333692,35.473,32,4,1,0.0133,159.1344,0.0000,159.1477
1778693706.336678,38.459,32,15,1,0.1826,628.7808,0.0000,628.9634
1778693706.338344,40.125,32,14,1,0.0431,592.8988,0.0000,592.9419
1778693706.340768,42.549,32,19,1,0.1277,615.8734,0.0000,616.0011
1778693706.342970,44.751,32,1,1,0.0325,577.9655,0.0000,577.9980
1778693706.343276,45.057,32,25,1,0.0743,581.5404,0.0000,581.6147
1778693706.343558,45.339,32,24,1,0.0118,109.8241,0.0000,109.8359
1778693706.345284,47.065,32,17,1,0.0642,603.6666,0.0000,603.7308
1778693706.350052,51.833,32,32,1,0.1156,594.9247,0.0000,595.0403
1778693706.350337,52.118,32,30,1,0.0355,324.7498,0.0000,324.7853
1778693706.351890,53.671,32,10,1,0.0950,599.0884,0.0000,599.1834
1778693789.815357,83517.138,32,31,2,0.0337,410.6727,0.0000,410.7064
1778693789.817272,83519.053,32,2,2,0.4694,3524.6715,0.0000,3525.1409
1778693789.819094,83520.875,32,28,2,0.1433,3437.2371,0.0000,3437.3804
1778693789.821480,83523.261,32,1,2,0.4521,3516.7670,0.0000,3517.2191
1778693789.823275,83525.056,32,23,2,0.5525,3531.6990,0.0000,3532.2515
1778693789.824968,83526.749,32,30,2,0.2617,3460.5050,0.0000,3460.7667
1778693789.827311,83529.092,32,20,2,0.5275,3523.3911,0.0000,3523.9186
1778693789.828910,83530.691,32,27,2,32.7287,4438.5257,0.0000,4471.2544
1778693789.830229,83532.010,32,4,2,0.2947,3466.3192,0.0000,3466.6139
1778693789.830540,83532.321,32,12,2,32.6940,4435.6679,0.0000,4468.3619
1778693789.832115,83533.896,32,17,2,0.2119,3445.1584,0.0000,3445.3703
1778693789.833359,83535.140,32,11,2,0.2781,3455.3794,0.0000,3455.6575
1778693789.834746,83536.527,32,3,2,0.3632,3493.9684,0.0000,3494.3316
1778693789.836549,83538.330,32,29,2,32.7877,4455.9526,0.0000,4488.7403
1778693789.836853,83538.634,32,18,2,0.1599,3445.0718,0.0000,3445.2317
1778693789.839062,83540.843,32,22,2,0.4174,3521.8257,0.0000,3522.2431
1778693789.840326,83542.107,32,25,2,0.1265,4485.0738,0.0000,4485.2003
1778693789.842427,83544.208,32,24,2,0.4347,3511.2055,0.0000,3511.6402
1778693789.843987,83545.768,32,16,2,0.4000,3483.6691,0.0000,3484.0691
1778693789.845755,83547.536,32,5,2,0.3284,3478.9688,0.0000,3479.2972
1778693789.848274,83550.055,32,13,2,0.4871,3498.4929,0.0000,3498.9800
1778693789.849980,83551.761,32,15,2,32.7542,4459.9985,0.0000,4492.7527
1778693789.851444,83553.225,32,14,2,0.2284,3449.3048,0.0000,3449.5332
1778693789.852597,83554.378,32,9,2,0.3811,3498.4292,0.0000,3498.8103
1778693789.854932,83556.713,32,6,2,0.2450,3464.9626,0.0000,3465.2076
1778693789.857281,83559.062,32,10,2,32.7710,4444.6402,0.0000,4477.4112
1778693789.861147,83562.928,32,21,2,0.5062,3524.7010,0.0000,3525.2072
1778693789.861724,83563.505,32,32,2,0.1934,3454.0492,0.0000,3454.2426
1778693789.862298,83564.079,32,8,2,0.1767,3440.8332,0.0000,3441.0099
1778693789.864902,83566.683,32,7,2,0.3114,3457.1149,0.0000,3457.4263
1778693789.869187,83570.968,32,19,2,0.3458,3484.6887,0.0000,3485.0345
1778693789.876305,83578.086,32,26,2,32.7108,4430.2590,0.0000,4462.9698
1778693907.187687,200889.468,32,27,3,0.2825,5988.9062,0.0000,5989.1887
1778693907.189906,200891.687,32,23,3,0.4048,6037.5405,0.0000,6037.9453
1778693907.191745,200893.526,32,15,3,0.2970,6015.5302,0.0000,6015.8272
1778693907.193998,200895.779,32,18,3,0.0558,204.5300,0.0000,204.5858
1778693907.195777,200897.558,32,12,3,0.3136,5991.7411,0.0000,5992.0547
1778693907.197334,200899.115,32,8,3,0.3567,6032.9660,0.0000,6033.3227
1778693907.197697,200899.478,32,26,3,0.2530,5975.3631,0.0000,5975.6161
1778693907.199023,200900.804,32,17,3,0.3877,6025.2040,0.0000,6025.5917
1778693907.199432,200901.213,32,11,3,0.0098,552.6058,0.0000,552.6156
1778693907.205150,200906.931,32,16,3,0.1881,5932.2238,0.0000,5932.4119
1778693907.206376,200908.157,32,7,3,358.8905,9138.4889,0.0000,9497.3794
1778693907.208107,200909.888,32,2,3,0.2678,5977.7535,0.0000,5978.0213
1778693907.210079,200911.860,32,28,3,358.8628,9137.8897,0.0000,9496.7525
1778693907.211485,200913.266,32,21,3,0.1590,5920.7169,0.0000,5920.8759
1778693907.212852,200914.633,32,3,3,0.2024,5937.0392,0.0000,5937.2416
1778693907.215403,200917.184,32,14,3,358.8488,9133.6688,0.0000,9492.5176
