exp_label,turn_index,tenant_id,group_label,input_tokens,output_tokens,kv_history_tokens,prefix_hit_tokens,prefix_hit_rate,computation_tokens,resident_kv_mib,request_kv_mib,blocking_ms,prefill_ms,remaining_ttft_ms,ttft_ms,decode_ms
exp1,1,30,Group2,7.0,1025.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0336,111.03030000000001,0.0,111.0639,0.0
exp1,1,6,Group1,840.0,76.0,0.0,832.0,0.9904761904761905,8.0,0.0,26.25,0.2559,391.05,0.0,391.3059,0.0
exp1,1,5,Group1,69.0,54.0,0.0,0.0,0.0,69.0,0.0,2.15625,0.2735,421.28409999999997,0.0,421.5576,0.0
exp1,1,9,Group1,50.0,75.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.1093,416.04010000000005,0.0,416.1494,0.0
exp1,1,32,Group2,7.0,203.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0192,282.8313,0.0,282.8505,0.0
exp1,1,29,Group2,6.0,168.0,0.0,0.0,0.0,6.0,0.0,0.1875,0.2065,378.0806,0.0,378.2871,0.0
exp1,1,2,Group1,840.0,124.0,0.0,0.0,0.0,840.0,0.0,26.25,0.0386,315.6369,0.0,315.6755,0.0
exp1,1,13,Group1,50.0,233.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.03,272.7278,0.0,272.7578,0.0
exp1,1,10,Group1,50.0,200.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.1721,389.971,0.0,390.1431,0.0
exp1,1,25,Group2,7.0,232.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0317,367.21469999999994,5.684341886080802e-14,367.2464,0.0
exp1,1,16,Group1,47.0,274.0,0.0,0.0,0.0,47.0,0.0,1.46875,0.1565,382.4334,0.0,382.5899,0.0
exp1,1,24,Group2,7.0,228.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0783,380.8961,0.0,380.9744,0.0
exp1,1,12,Group1,50.0,259.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.1407,374.4475,0.0,374.5882,0.0
exp1,1,18,Group2,8.0,291.0,0.0,0.0,0.0,8.0,0.0,0.25,0.239,429.47599999999994,5.684341886080802e-14,429.715,0.0
exp1,1,17,Group2,6.0,426.0,0.0,0.0,0.0,6.0,0.0,0.1875,0.047,333.729,0.0,333.776,0.0
exp1,1,19,Group2,6.0,342.0,0.0,0.0,0.0,6.0,0.0,0.1875,0.0158,371.7923,0.0,371.8081,0.0
exp1,1,7,Group1,50.0,496.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.2953,410.8252,0.0,411.1205,0.0
exp1,1,4,Group1,243.0,469.0,0.0,240.0,0.9876543209876543,3.0,0.0,7.59375,0.0627,366.7912,0.0,366.8539,0.0
exp1,1,15,Group1,49.0,494.0,0.0,48.0,0.9795918367346939,1.0,0.0,1.53125,0.0938,359.7189,0.0,359.8127,0.0
exp1,1,26,Group2,7.0,597.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0069,288.03110000000004,0.0,288.038,0.0
exp1,1,31,Group2,7.0,1024.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.032,310.4676,0.0,310.4996,0.0
exp1,1,21,Group2,8.0,1025.0,0.0,0.0,0.0,8.0,0.0,0.25,0.125,364.7505,0.0,364.8755,0.0
exp1,1,3,Group1,243.0,1025.0,0.0,0.0,0.0,243.0,0.0,7.59375,0.0174,118.41329999999999,1.4210854715202004e-14,118.4307,0.0
exp1,1,23,Group2,6.0,1025.0,0.0,0.0,0.0,6.0,0.0,0.1875,0.0141,280.75870000000003,0.0,280.7728,0.0
exp1,1,14,Group1,50.0,1025.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.0661,297.9578,0.0,298.0239,0.0
exp1,1,1,Group1,636.0,881.0,0.0,0.0,0.0,636.0,0.0,19.875,0.0471,369.3528,0.0,369.3999,0.0
exp1,1,11,Group1,50.0,601.0,0.0,0.0,0.0,50.0,0.0,1.5625,0.0257,293.92609999999996,5.684341886080802e-14,293.9518,0.0
exp1,1,27,Group2,7.0,712.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.1899,399.91459999999995,0.0,400.1045,0.0
exp1,1,22,Group2,7.0,526.0,0.0,0.0,0.0,7.0,0.0,0.21875,0.0086,132.5917,0.0,132.6003,0.0
exp1,1,28,Group2,15.0,1025.0,0.0,0.0,0.0,15.0,0.0,0.46875,0.2228,390.0694,0.0,390.2922,0.0
exp1,1,20,Group2,12.0,34.0,0.0,0.0,0.0,12.0,0.0,0.375,0.0461,291.1295,0.0,291.1756,0.0
exp1,1,8,Group1,50.0,43.0,0.0,48.0,0.96,2.0,0.0,1.5625,0.0133,280.9971,0.0,281.0104,0.0
exp1,2,14,Group1,1216.0,1025.0,1076.0,48.0,0.039473684210526314,1168.0,33.625,38.0,0.0981,3068.3167,0.0,3068.4148,0.0
exp1,2,2,Group1,1021.0,130.0,964.0,832.0,0.8148873653281097,189.0,30.125,31.90625,0.0329,1074.7439000000004,0.0,1074.7768,0.0
exp1,2,24,Group2,240.0,84.0,235.0,0.0,0.0,240.0,7.34375,7.5,0.1468,3053.6431000000002,0.0,3053.7899,0.0
exp1,2,10,Group1,390.0,242.0,250.0,48.0,0.12307692307692308,342.0,7.8125,12.1875,0.033,3039.5424000000003,0.0,3039.5754,0.0
exp1,2,8,Group1,233.0,458.0,93.0,48.0,0.20600858369098712,185.0,2.90625,7.28125,0.0064,1103.1627,0.0,1103.1691,0.0
exp1,2,4,Group1,968.0,435.0,712.0,240.0,0.24793388429752067,728.0,22.25,30.25,0.0126,1063.7443,0.0,1063.7569,0.0
exp1,2,5,Group1,371.0,296.0,123.0,64.0,0.1725067385444744,307.0,3.84375,11.59375,0.2989,3090.3767,4.547473508864641e-13,3090.6756,0.0
exp1,2,9,Group1,265.0,758.0,125.0,48.0,0.1811320754716981,217.0,3.90625,8.28125,0.353,3095.0454999999997,0.0,3095.3985,0.0
exp1,2,19,Group2,353.0,527.0,348.0,0.0,0.0,353.0,10.875,11.03125,0.0817,3047.2359,0.0,3047.3176,0.0
exp1,2,26,Group2,610.0,571.0,604.0,0.0,0.0,610.0,18.875,19.0625,0.0137,525.8601,0.0,525.8738,0.0
exp1,2,13,Group1,423.0,770.0,283.0,48.0,0.11347517730496454,375.0,8.84375,13.21875,0.2483,3121.8779999999997,0.0,3122.1263,0.0
exp1,2,3,Group1,1525.0,1025.0,1269.0,240.0,0.15737704918032788,1285.0,39.65625,47.65625,0.0247,1067.9886000000001,0.0,1068.0133,0.0
exp1,2,22,Group2,541.0,1025.0,534.0,0.0,0.0,541.0,16.6875,16.90625,0.0186,1052.3586,0.0,1052.3772,0.0
exp1,2,27,Group2,725.0,898.0,719.0,0.0,0.0,725.0,22.46875,22.65625,0.0077,529.2571,0.0,529.2648,0.0
exp1,2,21,Group2,1039.0,1025.0,1034.0,0.0,0.0,1039.0,32.3125,32.46875,0.0168,3041.2706000000003,0.0,3041.2874,0.0
exp1,2,18,Group2,304.0,1025.0,299.0,0.0,0.0,304.0,9.34375,9.5,0.1799,3073.9433,0.0,3074.1232,0.0
exp1,2,11,Group1,791.0,1025.0,651.0,48.0,0.0606826801517067,743.0,20.34375,24.71875,0.1306,3058.245,0.0,3058.3756,0.0
exp1,2,28,Group2,1046.0,1025.0,1041.0,0.0,0.0,1046.0,32.53125,32.6875,0.0206,531.8739999999999,1.1368683772161603e-13,531.8946,0.0
exp1,2,32,Group2,216.0,1025.0,210.0,0.0,0.0,216.0,6.5625,6.75,0.282,3133.3809,0.0,3133.6629,0.0
exp1,2,31,Group2,1036.0,1025.0,1030.0,0.0,0.0,1036.0,32.1875,32.375,0.1141,3070.2902000000004,0.0,3070.4043,0.0
exp1,2,30,Group2,1038.0,1025.0,1032.0,0.0,0.0,1038.0,32.25,32.4375,0.1632,3060.8241000000003,0.0,3060.9873,0.0
exp1,2,15,Group1,683.0,1025.0,543.0,48.0,0.07027818448023426,635.0,16.96875,21.34375,0.2653,3110.0301,0.0,3110.2954,0.0
exp1,2,7,Group1,686.0,1025.0,546.0,48.0,0.06997084548104957,638.0,17.0625,21.4375,0.3339,3078.2475999999997,0.0,3078.5815,0.0
exp1,2,6,Group1,948.0,6.0,916.0,832.0,0.8776371308016878,116.0,28.625,29.625,0.0313,565.0699,0.0,565.1012,0.0
exp1,2,17,Group2,437.0,25.0,432.0,0.0,0.0,437.0,13.5,13.65625,0.316,3084.3446999999996,4.547473508864641e-13,3084.6607,0.0
exp1,2,23,Group2,1038.0,35.0,1032.0,0.0,0.0,1038.0,32.25,32.4375,0.2314,3071.7720999999997,0.0,3072.0035,0.0
exp1,2,29,Group2,182.0,31.0,175.0,0.0,0.0,182.0,5.46875,5.6875,0.0486,76.0608,0.0,76.1094,0.0
exp1,2,20,Group2,51.0,31.0,46.0,0.0,0.0,51.0,1.4375,1.59375,0.0656,3048.3412000000003,0.0,3048.4068,0.0
exp1,2,12,Group1,449.0,71.0,309.0,48.0,0.10690423162583519,401.0,9.65625,14.03125,0.3776,3096.6875999999997,4.547473508864641e-13,3097.0652,0.0
exp1,2,1,Group1,1563.0,70.0,1517.0,624.0,0.39923224568138194,939.0,47.40625,48.84375,0.1987,3062.8841,0.0,3063.0828,0.0
exp1,2,25,Group2,245.0,108.0,239.0,0.0,0.0,245.0,7.46875,7.65625,0.2149,3065.0586999999996,4.547473508864641e-13,3065.2736,0.0
exp1,2,16,Group1,374.0,74.0,322.0,32.0,0.0855614973262032,342.0,10.0625,11.6875,0.0493,3042.8498999999997,0.0,3042.8992,0.0
exp1,3,30,Group2,2070.0,1025.0,2064.0,1024.0,0.49468599033816424,1046.0,64.5,64.6875,0.0459,6583.6817,0.0,6583.7276,0.0
exp1,3,6,Group1,1085.0,206.0,954.0,944.0,0.8700460829493087,141.0,29.8125,33.90625,0.061,6578.538500000001,0.0,6578.5995,0.0
exp1,3,29,Group2,218.0,328.0,213.0,176.0,0.8073394495412844,42.0,6.65625,6.8125,0.0582,2082.8624000000004,0.0,2082.9206,0.0
exp1,3,32,Group2,1248.0,289.0,1242.0,208.0,0.16666666666666666,1040.0,38.8125,39.0,0.2178,6612.750800000001,0.0,6612.9686,0.0
exp1,3,16,Group1,590.0,231.0,448.0,368.0,0.6237288135593221,222.0,14.0,18.4375,0.167,6592.0994,0.0,6592.2664,0.0
exp1,3,4,Group1,1670.0,437.0,1403.0,960.0,0.5748502994011976,710.0,43.84375,52.1875,0.0914,6591.426800000001,0.0,6591.5182,0.0
exp1,3,27,Group2,1628.0,424.0,1623.0,720.0,0.44226044226044225,908.0,50.71875,50.875,0.0157,6573.7483,0.0,6573.764,0.0
exp1,3,9,Group1,1287.0,677.0,1023.0,256.0,0.1989121989121989,1031.0,31.96875,40.21875,0.2329,6612.942899999999,9.094947017729282e-13,6613.1758,0.0
exp1,3,8,Group1,955.0,1025.0,691.0,224.0,0.23455497382198953,731.0,21.59375,29.84375,0.1362,6597.0288,0.0,6597.165,0.0
exp1,3,22,Group2,1573.0,874.0,1567.0,528.0,0.3356643356643357,1045.0,48.96875,49.15625,0.1853,6608.9681,0.0,6609.1534,0.0
exp1,3,10,Group1,896.0,369.0,632.0,384.0,0.42857142857142855,512.0,19.75,28.0,0.1621,2098.265,0.0,2098.4271,0.0
exp1,3,31,Group2,2067.0,1025.0,2061.0,1024.0,0.4954039671020803,1043.0,64.40625,64.59375,0.1515,6599.017399999999,9.094947017729282e-13,6599.1689,0.0
exp1,3,2,Group1,1183.0,1025.0,1151.0,1008.0,0.8520710059171598,175.0,35.96875,36.96875,0.0126,2059.2001000000005,0.0,2059.2127,0.0
exp1,3,21,Group2,2072.0,1025.0,2065.0,1024.0,0.4942084942084942,1048.0,64.53125,64.75,0.0831,2080.3479,0.0,2080.431,0.0
exp1,3,13,Group1,1457.0,1025.0,1193.0,416.0,0.2855181880576527,1041.0,37.28125,45.53125,0.279,6626.9125,0.0,6627.1915,0.0
exp1,3,18,Group2,1335.0,1025.0,1330.0,304.0,0.22771535580524344,1031.0,41.5625,41.71875,0.0308,434.9949,0.0,435.0257,0.0
exp1,3,14,Group1,2505.0,1025.0,2241.0,1216.0,0.48542914171656687,1289.0,70.03125,78.28125,0.0759,6585.3993,0.0,6585.4752,0.0
exp1,3,3,Group1,2817.0,1025.0,2550.0,1520.0,0.5395811146609869,1297.0,79.6875,88.03125,0.2639,6617.617,0.0,6617.8809,0.0
exp1,3,12,Group1,784.0,914.0,520.0,448.0,0.5714285714285714,336.0,16.25,24.5,0.3126,6638.4513,0.0,6638.7639,0.0
exp1,3,15,Group1,1973.0,1025.0,1709.0,672.0,0.34059807399898634,1301.0,53.40625,61.65625,0.0958,2086.0774,0.0,2086.1732,0.0
exp1,3,11,Group1,2080.0,1025.0,1816.0,784.0,0.3769230769230769,1296.0,56.75,65.0,0.071,2076.4044999999996,4.547473508864641e-13,2076.4755,0.0
exp1,3,7,Group1,1976.0,975.0,1712.0,672.0,0.340080971659919,1304.0,53.5,61.75,0.1062,6588.3737,0.0,6588.4799,0.0
exp1,3,5,Group1,792.0,1025.0,667.0,368.0,0.46464646464646464,424.0,20.84375,24.75,0.3344,6640.9277,0.0,6641.2621,0.0
exp1,3,28,Group2,2075.0,1025.0,2070.0,1040.0,0.5012048192771085,1035.0,64.6875,64.84375,0.295,6630.648699999999,9.094947017729282e-13,6630.9437,0.0
exp1,3,19,Group2,885.0,1025.0,880.0,352.0,0.3977401129943503,533.0,27.5,27.65625,0.1228,2110.6178,0.0,2110.7406,0.0
exp1,3,26,Group2,1186.0,57.0,1181.0,608.0,0.5126475548060708,578.0,36.90625,37.0625,0.0455,2066.4011,0.0,2066.4466,0.0
exp1,3,24,Group2,330.0,184.0,324.0,240.0,0.7272727272727273,90.0,10.125,10.3125,0.1211,6599.849099999999,0.0,6599.9702,0.0
exp1,3,23,Group2,1079.0,91.0,1073.0,1024.0,0.9490268767377201,55.0,33.53125,33.71875,0.1371,2107.2001,0.0,2107.3372,0.0
exp1,3,20,Group2,87.0,26.0,82.0,48.0,0.5517241379310345,39.0,2.5625,2.71875,0.0307,6579.469300000001,0.0,6579.5,0.0
exp1,3,25,Group2,358.0,150.0,353.0,240.0,0.6703910614525139,118.0,11.03125,11.1875,0.1087,2090.9487999999997,0.0,2091.0575,0.0
exp1,3,17,Group2,467.0,52.0,462.0,432.0,0.9250535331905781,35.0,14.4375,14.59375,0.2486,6614.9236,0.0,6615.1722,0.0
exp1,3,1,Group1,1719.0,85.0,1633.0,1552.0,0.9028504944735312,167.0,51.03125,53.71875,0.0319,2070.0385,0.0,2070.0704,0.0
exp1,4,15,Group1,3236.0,1025.0,2999.0,1968.0,0.6081582200247219,1268.0,93.71875,101.125,602.233,10040.2742,0.0,10642.5072,0.0
exp1,4,19,Group2,1915.0,1025.0,1910.0,880.0,0.4595300261096606,1035.0,59.6875,59.84375,0.2021,7948.212500000001,0.0,7948.4146,0.0
exp1,4,25,Group2,514.0,223.0,508.0,352.0,0.6848249027237354,162.0,15.875,16.0625,0.4022,8004.054800000001,0.0,8004.457,0.0
exp1,4,10,Group1,1502.0,300.0,1265.0,896.0,0.596537949400799,606.0,39.53125,46.9375,602.2488,10049.440599999998,1.8189894035458565e-12,10651.6894,0.0
exp1,4,1,Group1,1838.0,208.0,1804.0,1712.0,0.9314472252448314,126.0,56.375,57.4375,0.1356,7931.204100000001,0.0,7931.3397,0.0
exp1,4,26,Group2,1249.0,189.0,1243.0,1184.0,0.9479583666933546,65.0,38.84375,39.03125,0.3673,7997.271800000001,0.0,7997.6391,0.0
exp1,4,4,Group1,2117.0,435.0,2107.0,1664.0,0.786017949929145,453.0,65.84375,66.15625,0.2343,7959.618200000001,0.0,7959.8525,0.0
exp1,4,9,Group1,2201.0,815.0,1964.0,1280.0,0.5815538391640164,921.0,61.375,68.78125,0.4962,8058.349099999999,9.094947017729282e-13,8058.8453,0.0
exp1,4,22,Group2,2453.0,479.0,2448.0,1568.0,0.6392172849571953,885.0,76.5,76.65625,0.4727,8032.773000000001,0.0,8033.2457,0.0
exp1,4,16,Group1,1042.0,234.0,822.0,576.0,0.5527831094049904,466.0,25.6875,32.5625,0.334,7990.8828,0.0,7991.2168,0.0
exp1,4,31,Group2,3098.0,1024.0,3092.0,2064.0,0.6662362814719174,1034.0,96.625,96.8125,0.0373,717.0935000000001,0.0,717.1308,0.0
exp1,4,5,Group1,2176.0,1025.0,1819.0,784.0,0.3602941176470588,1392.0,56.84375,68.0,0.2674,7971.3002,9.094947017729282e-13,7971.5676,0.0
exp1,4,14,Group1,3768.0,1025.0,3531.0,2496.0,0.6624203821656051,1272.0,110.34375,117.75,0.4537,8037.4277,0.0,8037.8814,0.0
exp1,4,6,Group1,1321.0,1025.0,1291.0,1072.0,0.8115064345193036,249.0,40.34375,41.28125,0.0073,1308.3214,0.0,1308.3287,0.0
exp1,4,7,Group1,3188.0,1025.0,2951.0,1968.0,0.617314930991217,1220.0,92.21875,99.625,0.2509,7963.504,0.0,7963.7549,0.0
exp1,4,3,Group1,3852.0,1025.0,3842.0,2816.0,0.731048805815161,1036.0,120.0625,120.375,602.2007,10031.685199999998,1.8189894035458565e-12,10633.8859,0.0
exp1,4,8,Group1,2218.0,1025.0,1981.0,944.0,0.42560865644724977,1274.0,61.90625,69.3125,0.3857,7996.1141,0.0,7996.4998,0.0
exp1,4,11,Group1,3343.0,1025.0,3106.0,2080.0,0.6221956326652707,1263.0,97.0625,104.46875,0.0802,10650.794600000001,0.0,10650.8748,0.0
exp1,4,28,Group2,3106.0,1025.0,3101.0,2064.0,0.6645202833226014,1042.0,96.90625,97.0625,0.1515,7933.5389000000005,0.0,7933.6904,0.0
exp1,4,18,Group2,2366.0,1025.0,2361.0,1328.0,0.5612848689771767,1038.0,73.78125,73.9375,0.4359,8013.068500000001,0.0,8013.5044,0.0
exp1,4,2,Group1,2405.0,1025.0,2209.0,1184.0,0.49230769230769234,1221.0,69.03125,75.15625,0.2841,7969.7773,0.0,7970.0614,0.0
exp1,4,21,Group2,3102.0,1025.0,3097.0,2064.0,0.6653771760154739,1038.0,96.78125,96.9375,602.2172,10039.8406,0.0,10642.0578,0.0
exp1,4,30,Group2,3102.0,1025.0,3096.0,2064.0,0.6653771760154739,1038.0,96.75,96.9375,0.2183,7955.9189,0.0,7956.1372,0.0
exp1,4,32,Group2,1543.0,76.0,1537.0,1248.0,0.8088139987038238,295.0,48.03125,48.21875,0.3008,7978.0193,0.0,7978.3201,0.0
exp1,4,17,Group2,525.0,13.0,519.0,464.0,0.8838095238095238,61.0,16.21875,16.40625,0.3173,7989.1009,0.0,7989.4182,0.0
exp1,4,24,Group2,519.0,129.0,514.0,320.0,0.6165703275529865,199.0,16.0625,16.21875,0.1677,7942.1795,0.0,7942.3472,0.0
exp1,4,12,Group1,1935.0,179.0,1698.0,784.0,0.40516795865633076,1151.0,53.0625,60.46875,0.096,7926.499,9.094947017729282e-13,7926.595,0.0
exp1,4,23,Group2,1176.0,147.0,1170.0,1072.0,0.9115646258503401,104.0,36.5625,36.75,0.1121,7926.745100000001,0.0,7926.8572,0.0
exp1,4,27,Group2,2058.0,426.0,2052.0,1616.0,0.7852283770651117,442.0,64.125,64.3125,0.184,7944.414400000001,0.0,7944.5984,0.0
exp1,4,20,Group2,118.0,92.0,113.0,80.0,0.6779661016949152,38.0,3.53125,3.6875,0.4187,8006.7015,0.0,8007.1202,0.0
exp1,4,13,Group1,2720.0,1025.0,2483.0,1456.0,0.5352941176470588,1264.0,77.59375,85.0,0.0173,1314.7708999999998,2.2737367544323206e-13,1314.7882,0.0
exp1,4,29,Group2,551.0,11.0,546.0,208.0,0.37749546279491836,343.0,17.0625,17.21875,0.3506,7997.9301000000005,0.0,7998.2807,0.0
exp1,5,9,Group1,3100.0,1025.0,3016.0,2192.0,0.7070967741935484,908.0,94.25,96.875,0.4732,11674.3843,0.0,11674.8575,0.0
exp1,5,4,Group1,2570.0,739.0,2552.0,2112.0,0.8217898832684825,458.0,79.75,80.3125,0.03,1544.5282,0.0,1544.5582,0.0
