turn_index,group,group_label,sample_count,mean_blocking_ms,p95_blocking_ms,p99_blocking_ms,mean_prefill_ms,p95_prefill_ms,p99_prefill_ms,mean_ttft_ms,mean_input_tokens,mean_output_tokens,mean_kv_history_tokens,mean_prefix_hit_tokens,mean_prefix_hit_rate,mean_total_resident_kv_gib_per_exp,mean_total_request_kv_gib_per_exp
1,2048,Group2,48,0.17598958333333328,0.44587499999999997,0.508175,368.4284100260508,499.76794596295804,499.76794596295804,482.95081250000015,135.8125,512.9791666666666,0.0,27.0,0.5527900441589724,0.0,0.066314697265625
1,8192,Group1,48,0.17102708333333327,0.45108499999999996,0.529107,392.08920625818183,499.76794596295804,499.76794596295804,502.0143166666666,210.4375,2048.8333333333335,0.0,93.0,0.6474108382517706,0.0,0.102752685546875
2,2048,Group2,48,1287.3379208333336,6883.025814999999,7103.240486,7014.493406716308,9749.224277448955,11046.689048317494,8968.312041666668,799.5416666666666,512.9791666666666,649.625,133.0,0.11574310546868448,0.31719970703125,0.3904012044270833
2,8192,Group1,48,1014.4698020833334,2484.567285,6278.243509000001,6762.6354314403825,9947.222989399595,11342.266555050011,8383.322379166668,2398.0833333333335,2049.0,2260.1458333333335,207.33333333333334,0.07674930462692428,1.1035868326822917,1.1709391276041667
3,2048,Group2,48,3241.159014583334,10411.262755,10411.295886,13156.705886567579,19883.577103028074,21339.109281019773,16591.187656250004,1464.5,513.0,1313.5208333333333,793.0,0.5223164494999547,0.6413675944010416,0.715087890625
3,8192,Group1,48,2348.2023020833335,10195.028279999999,10411.211735,16876.70764005573,25560.26618976756,27911.351478245342,19473.09855833333,4662.083333333333,2049.0,4447.895833333333,2393.0,0.5120565275421228,2.1718241373697915,2.2764078776041665
4,2048,Group2,48,2125.917783333333,17695.57649,17939.648577,18462.882476873954,31460.37068699661,32750.237227093607,23634.770268750002,2143.7291666666665,512.9791666666666,1979.0,1460.0,0.6745403794693673,0.96630859375,1.0467427571614583
4,8192,Group1,48,1826.4530249999998,12517.63494999998,17695.584363,23177.6947476028,32609.599294779036,37042.02523544402,28547.594787500013,6898.708333333333,2049.0,6711.770833333333,4655.0,0.6745079224105844,3.2772318522135415,3.3685099283854165
5,2048,Group2,48,3072.6339083333332,20305.07438,20869.863475,26106.92484845701,40578.4131649998,40640.79886867665,31770.41511249999,2796.9583333333335,513.0,2657.5416666666665,2138.0,0.7622885952352713,1.2976277669270833,1.3657023111979167
5,8192,Group1,48,2433.54334375,20672.156495,20869.829563,28856.03718521088,40578.4131649998,51256.13897518604,36263.95058541666,9026.020833333334,2049.0,8948.458333333334,6891.333333333333,0.7634288039735226,4.369364420572917,4.407236735026042
6,2048,Group2,48,4850.224704166666,25190.47913,25895.759139,34877.55212215022,51286.84528497979,52215.90434997226,43473.30520416666,3454.2291666666665,513.0,3310.8125,2465.6666666666665,0.7111964670623919,1.616607666015625,1.6866353352864583
6,8192,Group1,48,5280.463660416666,25895.76637,39353.35974200003,36775.83197296493,51324.22801803041,68017.65423414428,47267.17402083334,11228.583333333334,2049.0,11075.895833333334,9016.0,0.8029325011365,5.408152262369792,5.482706705729167
7,2048,Group2,48,27900.84038958333,74820.58662,231826.601547,32232.817712083186,47708.88087700587,54404.94745797581,63129.523552083345,4092.9583333333335,513.0,3968.0416666666665,1026.3333333333333,0.24974341019022503,1.9375203450520833,1.9985148111979167
7,8192,Group1,48,33288.24212083333,167636.5502049998,233061.67126099998,38295.94519725803,54015.01289460284,124102.8382773508,75450.98444791666,13400.416666666666,2049.0,13278.291666666666,8806.333333333334,0.6572438784544968,6.483540852864583,6.543172200520833
8,2048,Group2,48,120043.00092291669,706357.098315,706357.130775,33281.37255512502,59051.001407851436,64398.664588328684,157267.96956250005,4695.6875,513.0,4606.770833333333,121.66666666666667,0.026320111235255694,2.2493998209635415,2.292816162109375
8,8192,Group1,48,104772.76001250003,323445.335265,700458.4317390001,46290.43383414561,69681.99437264848,186916.65126845083,155141.41018749998,15670.916666666666,2049.0,15450.104166666666,7575.333333333333,0.4833474575136442,7.543996175130208,7.651814778645833
9,2048,Group2,48,127995.78027916669,774170.883785,838865.5155420001,37281.855493180956,67567.30581964948,72463.34611209415,171856.6745375,5436.125,513.0,5209.583333333333,422.6666666666667,0.07789470453059098,2.5437418619791665,2.65435791015625
9,8192,Group1,48,217787.23055833337,787093.471195,829392.537739,52601.55015662501,84358.66639168742,156541.03249541612,277742.73401874996,17857.979166666668,2049.0,17720.729166666668,5739.333333333333,0.32105963671686155,8.652699788411459,8.719716389973959
10,2048,Group2,48,277872.68237708346,902670.323465,916279.453235,36619.6874207914,72752.51950296297,83409.85794567736,317604.2136166667,6090.9375,512.9583333333334,5949.958333333333,149.0,0.024427695872407423,2.9052530924479165,2.974090576171875
10,8192,Group1,48,296854.5259104167,889398.6759949999,918319.216278,90129.91400748464,225897.333355512,436901.6124186029,390309.7173083333,19984.958333333332,2049.0,19907.895833333332,4983.0,0.2491989554219477,9.720652262369791,9.758280436197916
