turn_index,sample_count,mean_blocking_ms,p95_blocking_ms,p99_blocking_ms,mean_prefill_ms,p95_prefill_ms,p99_prefill_ms,mean_remaining_ttft_ms,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_input_tokens,mean_output_tokens,mean_kv_history_tokens,mean_computation_tokens,prefix_hit_rate,total_input_tokens,total_kv_history_tokens,mean_total_resident_kv_gib_per_exp,mean_total_request_kv_gib_per_exp,resident_blocks_required,request_blocks_required,kv_block_capacity,kv_token_capacity,kv_gib_capacity
1,96,0.09732812499999997,0.2735,0.2953,330.44801875,421.28409999999997,429.47599999999994,5.773159728050814e-15,330.5453468749998,421.5576,429.715,109.0625,475.375,0.0,63.5625,0.4171919770773639,10470.0,0.0,0.0,0.10650634765625,0.0,654.375,2048,32768,1.0
2,96,0.13800624999999997,0.353,0.37759999999999994,2350.1352624999995,3121.8779999999997,3133.3809,6.039613253960852e-14,2350.2732687499997,3122.1263,3133.6629,656.46875,560.0,584.65625,553.46875,0.1569000809254058,63021.0,56127.0,0.570953369140625,0.641082763671875,3507.9375,3938.8125,2048,32768,1.0
3,96,0.13536562500000002,0.3126,0.3344,4857.3791687500025,6638.4513,6640.9277,9.947598300641403e-14,4857.514534375,6638.7639,6641.2621,1326.46875,647.46875,1216.65625,676.96875,0.4896459113718284,127341.0,116799.0,1.188140869140625,1.295379638671875,7299.9375,7958.8125,2048,32768,1.0
4,96,75.50252812500004,602.233,602.2488,7675.838334375002,10049.440599999998,10650.794600000001,2.0605739337042905e-13,7751.340862499998,10650.8748,10651.6894,2070.53125,636.09375,1974.34375,750.03125,0.6377590292346469,198771.0,189537.0,1.928070068359375,2.022003173828125,11846.0625,12423.1875,2048,32768,1.0
5,96,93.35335312500003,496.8784,496.8943,10299.938078124997,12848.6894,13344.4666,4.192202140984591e-13,10393.291431250003,13344.5844,13345.5837,2748.5625,708.65625,2707.03125,684.5625,0.7509379903131183,263862.0,259875.0,2.643585205078125,2.68414306640625,16242.1875,16491.375,2048,32768,1.0
6,96,16.649262499999995,43.9369,43.9547,14683.619915624999,18860.2956,18920.240200000004,3.410605131648481e-13,14700.269178124998,18904.2503,18920.4523,3536.8125,767.78125,3457.75,793.8125,0.775557087066391,339534.0,331944.0,3.376708984375,3.45391845703125,20746.5,21220.875,2048,32768,1.0
7,96,252.89730312499998,1155.0876,1155.1037,15872.084484375002,22446.9211,23586.8283,3.979039320256561e-13,16124.981787499999,23586.9608,23601.9762,4368.875,769.71875,4305.125,836.375,0.8085605562072616,419412.0,413292.0,4.2042236328125,4.2664794921875,25830.75,26213.25,2048,32768,1.0
8,96,90.8959875,290.2324,290.249,21698.257671875,28736.5387,29023.3291,5.684341886080801e-13,21789.153659375,29023.5095,29026.7877,5252.34375,899.90625,5139.0625,857.34375,0.8367692994199019,504225.0,493350.0,5.01861572265625,5.129241943359375,30834.375,31514.0625,2048,32768,1.0
9,96,609.4874062499999,1772.5096,1772.5259,25023.389015625,33554.8421,35323.038,4.547473508864641e-13,25632.87642187499,35323.2356,35327.368,6224.34375,901.0,6152.90625,945.84375,0.8480412091636167,597537.0,590679.0,6.008697509765625,6.078460693359375,36917.4375,37346.0625,2048,32768,1.0
10,96,246.72531562500004,876.5552,876.572,27395.237931249998,37682.02909999999,38562.48559999999,1.1368683772161603e-12,27641.96324687499,38558.6011,38562.650200000004,7167.5625,893.96875,7125.96875,885.0625,0.8765183421839712,688086.0,684093.0,6.958953857421875,6.99957275390625,42755.8125,43005.375,2048,32768,1.0
