num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,32,11,24576,30,0,10045.6333,2049.0,9897.5333,4947.7333,0.5052,68622.0718,102933.106,83.8808,475836.6363
16384,32,26,12288,30,0,3019.3667,513.0,2871.6667,684.8,0.3341,56196.3544,82514.5606,85.3783,218445.3203
16384,32,25,12288,30,0,3018.5,513.0,2870.8,835.7333,0.3672,68010.492,93164.6192,84.0116,229941.371
16384,32,30,12288,30,0,3115.0333,513.0,2971.0333,818.1333,0.3632,87760.216,115321.6838,84.4428,243095.5404
16384,32,17,12288,30,0,3019.0333,512.9333,2871.3333,836.8,0.3671,61258.3433,86190.3082,84.8882,220833.2708
16384,32,29,12288,30,0,3115.0,513.0,2971.0,1076.8,0.4277,55714.7492,78915.508,83.8896,224163.8964
16384,32,32,12288,30,0,3114.3667,512.9667,2970.3667,660.2667,0.3158,74816.2423,100681.6798,84.0212,237581.199
16384,32,24,12288,30,0,3019.0333,513.0,2871.3333,1045.8667,0.4187,90902.6121,118978.9049,82.3131,247919.3827
16384,32,31,12288,30,0,3114.5,513.0,2970.5,780.2667,0.3548,31152.1546,58390.5116,87.6543,204058.6211
16384,32,18,12288,30,0,3019.0333,512.9667,2871.3333,907.2,0.3974,44557.9112,72091.4755,86.3608,215091.9647
16384,32,23,12288,30,0,3018.8667,513.0,2871.1667,728.5333,0.3361,41538.7359,65930.1582,86.1986,216362.67
16384,32,14,24576,30,0,10045.8667,2049.0,9897.7667,4574.4,0.4908,84164.874,131320.726,82.8996,487593.3445
16384,32,22,12288,30,0,3019.6,513.0,2871.9,818.1333,0.3667,29440.1968,57790.253,87.644,202807.7435
16384,32,10,24576,30,0,10045.9333,2049.0,9897.8333,5021.3333,0.506,73132.0819,108095.084,84.3916,482376.4302
16384,32,20,12288,30,0,3018.1333,513.0,2870.7333,683.7333,0.3321,34564.944,64893.8978,87.6332,205563.6526
16384,32,28,12288,30,0,3497.9,513.0,3353.0,1044.2667,0.422,40772.9251,64229.5314,86.9792,204762.6184
16384,32,7,24576,30,0,10045.9333,2049.0,9897.8333,5400.5333,0.5301,29385.0044,69413.6802,85.7004,462829.9675
16384,32,5,24576,30,0,10172.5667,2049.0,10011.6667,4564.2667,0.4761,73860.8239,110284.8042,83.8817,478705.183
16384,32,6,24576,30,0,10372.0,2049.0,10221.8,5635.7333,0.5743,35169.0432,71536.4743,86.0904,469778.1149
16384,32,1,24576,30,0,10287.5,2049.0,10116.5,4110.9333,0.4519,125687.3418,157980.242,81.3204,485434.9625
16384,32,9,24576,30,0,10044.7667,2049.0,9896.6667,4947.2,0.505,69189.4199,104466.9426,82.3116,473041.5718
16384,32,2,24576,30,0,10442.5,2049.0,10275.5,4864.0,0.5238,125033.4614,156929.4598,79.3667,497979.8911
16384,32,4,24576,30,0,10262.2,2049.0,10097.4,6043.2,0.5663,29600.622,63321.1022,86.2249,460261.6857
16384,32,16,24576,30,0,9930.9,2049.0,9783.2,5044.2667,0.5152,79176.1472,112842.5687,82.9778,478859.4526
16384,32,12,24576,30,0,10046.2333,2048.9667,9898.1333,5042.6667,0.5016,82229.8394,133011.6785,80.995,482911.7972
16384,32,13,24576,30,0,10045.8,2049.0,9897.7,4632.5333,0.4779,65628.5181,103414.6152,83.9997,472210.2632
16384,32,8,24576,30,0,10046.1667,2049.0,9898.0667,5139.7333,0.5231,45220.5322,82958.4916,85.2743,467141.589
