scope,turn_index,group_label,input_kv_usage_mib
exp1,1,Group1,105.2188
exp1,1,Group2,3.8438
exp1,2,Group1,371.5312
exp1,2,Group2,331.9062
exp1,3,Group1,826.5000
exp1,3,Group2,594.0000
exp1,4,Group1,1350.0312
exp1,4,Group2,856.7812
exp1,5,Group1,1785.8750
exp1,5,Group2,1102.0000
exp1,6,Group1,2290.7188
exp1,6,Group2,1396.4062
exp1,7,Group1,2815.5625
exp1,7,Group2,1742.7812
exp1,8,Group1,3394.1875
exp1,8,Group2,2105.0312
exp1,9,Group1,3901.0938
exp1,9,Group2,2528.2188
exp1,10,Group1,4437.0938
exp1,10,Group2,2991.4062
exp2,1,Group1,105.2188
exp2,1,Group2,3.8438
exp2,2,Group1,371.5312
exp2,2,Group2,331.9062
exp2,3,Group1,826.5000
exp2,3,Group2,594.0000
exp2,4,Group1,1350.0312
exp2,4,Group2,856.7812
exp2,5,Group1,1785.8750
exp2,5,Group2,1102.0000
exp2,6,Group1,2290.7188
exp2,6,Group2,1396.4062
exp2,7,Group1,2815.5625
exp2,7,Group2,1742.7812
exp2,8,Group1,3394.1875
exp2,8,Group2,2105.0312
exp2,9,Group1,3901.0938
exp2,9,Group2,2528.2188
exp2,10,Group1,4437.0938
exp2,10,Group2,2991.4062
exp3,1,Group1,105.2188
exp3,1,Group2,3.8438
exp3,2,Group1,371.5312
exp3,2,Group2,331.9062
exp3,3,Group1,826.5000
exp3,3,Group2,594.0000
exp3,4,Group1,1350.0312
exp3,4,Group2,856.7812
exp3,5,Group1,1785.8750
exp3,5,Group2,1102.0000
exp3,6,Group1,2290.7188
exp3,6,Group2,1396.4062
exp3,7,Group1,2815.5625
exp3,7,Group2,1742.7812
exp3,8,Group1,3394.1875
exp3,8,Group2,2105.0312
exp3,9,Group1,3901.0938
exp3,9,Group2,2528.2188
exp3,10,Group1,4437.0938
exp3,10,Group2,2991.4062
mean,1,Group1,105.2188
mean,1,Group2,3.8438
mean,2,Group1,371.5312
mean,2,Group2,331.9062
mean,3,Group1,826.5000
mean,3,Group2,594.0000
mean,4,Group1,1350.0312
mean,4,Group2,856.7812
mean,5,Group1,1785.8750
mean,5,Group2,1102.0000
mean,6,Group1,2290.7188
mean,6,Group2,1396.4062
mean,7,Group1,2815.5625
mean,7,Group2,1742.7812
mean,8,Group1,3394.1875
mean,8,Group2,2105.0312
mean,9,Group1,3901.0938
mean,9,Group2,2528.2188
mean,10,Group1,4437.0938
mean,10,Group2,2991.4062
