exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp1,1,fastest,28,Group2,1,0.0,48.428999999999995,15.0,0.0,0.0
exp1,1,fastest,8,Group1,2,6.415000039851293,56.83559999999999,50.0,0.0,0.0
exp1,1,fastest,11,Group1,3,28.57140000560321,78.7004,2.0,0.0,0.96
exp1,1,fastest,17,Group2,4,37.96720001264475,87.4966,6.0,0.0,0.0
exp1,1,slowest,24,Group2,29,289.90640002302825,338.6618,7.0,0.0,0.0
exp1,1,slowest,20,Group2,30,293.4359000355471,342.6272,12.0,0.0,0.0
exp1,1,slowest,4,Group1,31,308.73889999929816,359.4759,3.0,0.0,0.9876543209876543
exp1,1,slowest,19,Group2,32,329.70270002260804,378.89239999999995,6.0,0.0,0.0
exp1,2,fastest,3,Group1,1,0.0,169.6952,421.0,405.0,0.3630862329803328
exp1,2,fastest,30,Group2,2,1746.9943999894895,1913.9870999999998,699.0,693.0,0.0
exp1,2,fastest,1,Group1,3,1750.6729000015184,1920.5855000000001,384.0,962.0,0.6190476190476191
exp1,2,fastest,24,Group2,4,1752.8059000032954,1920.3399,1038.0,1033.0,0.0
exp1,2,slowest,27,Group2,29,3126.861099997768,3294.0982,1039.0,1033.0,0.0
exp1,2,slowest,28,Group2,30,3135.4901999875437,3302.6353,1046.0,1041.0,0.0
exp1,2,slowest,10,Group1,31,3135.579899972072,3304.564,403.0,311.0,0.10643015521064302
exp1,2,slowest,8,Group1,32,3139.6802999952342,3308.8376,459.0,367.0,0.09467455621301775
exp1,3,fastest,1,Group1,1,0.0,315.8085,410.0,1332.0,0.7108603667136812
exp1,3,fastest,30,Group2,2,4666.897399991285,4979.665,30.0,712.0,0.958217270194986
exp1,3,fastest,11,Group1,3,4667.588999989675,4982.2386,1294.0,1318.0,0.1820480404551201
exp1,3,fastest,4,Group1,4,4676.767799974186,4992.1011,1298.0,2551.0,0.5393896380411639
exp1,3,slowest,20,Group2,29,6887.833899992984,7166.047199999999,60.0,87.0,0.34782608695652173
exp1,3,slowest,26,Group2,30,6888.213300000643,7165.8106,47.0,986.0,0.9525731584258325
exp1,3,slowest,10,Group1,31,6889.693399978569,7168.8577000000005,1293.0,1477.0,0.257323377369328
exp1,3,slowest,18,Group2,32,6900.169899978209,7214.153999999999,1045.0,2064.0,0.49492508458192364
exp1,4,fastest,29,Group2,1,0.0,109.60000000000001,97.0,1500.0,0.935548172757475
exp1,4,fastest,22,Group2,2,36.76109999651089,147.0792,95.0,250.0,0.6274509803921569
exp1,4,fastest,18,Group2,3,2043.4534999949392,2154.1695,1035.0,3094.0,0.6660212971926428
exp1,4,fastest,21,Group2,4,2063.312300015241,2173.7019999999998,1034.0,1845.0,0.4410810810810811
exp1,4,slowest,16,Group1,28,10982.518799981335,11093.114800000001,368.0,612.0,0.5576923076923077
exp1,4,slowest,14,Group1,29,10987.295700004324,11098.0458,1270.0,2025.0,0.4385499557913351
exp1,4,slowest,15,Group1,30,10994.048700027633,11104.7248,1274.0,2765.0,0.5756162558294471
exp1,4,slowest,8,Group1,31,11724.310800025705,11835.999000000002,1267.0,2822.0,0.585812356979405
exp1,5,fastest,22,Group2,1,0.0,122.0105,75.0,326.0,0.7734138972809668
exp1,5,fastest,8,Group1,2,2175.696300022537,2299.1353,1113.0,4085.0,0.7330295034780523
exp1,5,fastest,16,Group1,3,2184.514099993976,2307.1463999999996,245.0,885.0,0.7725162488393686
exp1,5,fastest,1,Group1,4,2200.5686000047717,2324.6863000000003,256.0,2690.0,0.9064327485380117
exp1,5,slowest,30,Group2,29,13584.928600001149,13705.8058,17.0,747.0,0.9774236387782205
exp1,5,slowest,10,Group1,30,13591.238499997417,13714.0947,1122.0,4030.0,0.7272727272727273
exp1,5,slowest,24,Group2,31,13594.48309999425,13715.9152,629.0,2862.0,0.7807598466364587
exp1,5,slowest,21,Group2,32,13756.64630002575,13878.776,1041.0,2876.0,0.6386671294689344
exp1,6,fastest,1,Group1,1,0.0,339.3003,283.0,2919.0,0.906260351109639
exp1,6,fastest,29,Group2,2,440.1820999919437,776.7043,1038.0,2681.0,0.6135517498138496
