exp_label,turn_index,group_label,input_tokens,prefix_hit_tokens,computation_tokens,blocking_ms,prefill_ms,kv_history_tokens,resident_kv_mib,prefill_baseline_ms,prefill_residual_ms,prefill_cost_per_token,kv_bin
exp1,1,Group2,7.0,0.0,7.0,0.033,952.9113,0.0,0.0,1.1666666666666665,951.7446333333334,136.13018571428572,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.1216,986.0967999999999,0.0,0.0,0.3333333333333333,985.7634666666665,493.04839999999996,Low KV
exp1,1,Group1,840.0,832.0,8.0,0.0878,976.0444,0.0,0.0,1.3333333333333333,974.7110666666666,122.00555,Low KV
exp1,1,Group1,840.0,0.0,840.0,0.1453,982.6872999999999,0.0,0.0,140.0,842.6872999999999,1.1698658333333332,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.0567,947.6707999999999,0.0,0.0,0.3333333333333333,947.3374666666665,473.83539999999994,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.0099,932.4984,0.0,0.0,1.1666666666666665,931.3317333333333,133.21405714285714,Low KV
exp1,1,Group1,243.0,240.0,3.0,0.1931,1025.3272,0.0,0.0,0.5,1024.8272,341.77573333333333,Low KV
exp1,1,Group2,6.0,0.0,6.0,0.2092,1032.0906,0.0,0.0,1.0,1031.0906,172.0151,Low KV
exp1,1,Group1,243.0,0.0,243.0,0.2175,1038.5506,0.0,0.0,40.5,998.0506,4.273870781893004,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.153,1008.1569,0.0,0.0,0.3333333333333333,1007.8235666666666,504.07845,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.2353,1082.8133000000003,0.0,0.0,0.3333333333333333,1082.479966666667,541.4066500000001,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.1059,970.4798,0.0,0.0,1.1666666666666665,969.3131333333333,138.6399714285714,Low KV
exp1,1,Group1,636.0,0.0,636.0,0.0249,942.2089,0.0,0.0,106.0,836.2089,1.4814605345911949,Low KV
exp1,1,Group2,6.0,0.0,6.0,0.1293,1010.5149,0.0,0.0,1.0,1009.5149,168.41915,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.0174,938.1483000000001,0.0,0.0,0.3333333333333333,937.8149666666667,469.07415000000003,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.0408,964.6097,0.0,0.0,0.3333333333333333,964.2763666666666,482.30485,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.1768,1035.6742000000002,0.0,0.0,1.1666666666666665,1034.5075333333334,147.95345714285716,Low KV
exp1,1,Group2,8.0,0.0,8.0,0.2565,1116.5958999999998,0.0,0.0,1.3333333333333333,1115.2625666666665,139.57448749999998,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.0802,961.9835,0.0,0.0,1.1666666666666665,960.8168333333334,137.42621428571428,Low KV
exp1,1,Group2,15.0,0.0,15.0,0.185,1019.5215999999998,0.0,0.0,2.5,1017.0215999999998,67.96810666666666,Low KV
exp1,1,Group2,6.0,0.0,6.0,0.2447,1114.5866,0.0,0.0,1.0,1113.5866,185.76443333333336,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.0984,994.8661999999999,0.0,0.0,1.1666666666666665,993.6995333333333,142.12374285714284,Low KV
exp1,1,Group2,8.0,0.0,8.0,0.1687,999.2180000000001,0.0,0.0,1.3333333333333333,997.8846666666667,124.90225000000001,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.2266,1060.201,0.0,0.0,1.1666666666666665,1059.0343333333333,151.45728571428572,Low KV
exp1,1,Group2,7.0,0.0,7.0,0.0645,958.6115000000001,0.0,0.0,1.1666666666666665,957.4448333333335,136.9445,Low KV
exp1,1,Group1,49.0,48.0,1.0,0.1373,974.8844999999999,0.0,0.0,0.16666666666666666,974.7178333333333,974.8844999999999,Low KV
exp1,1,Group1,47.0,0.0,47.0,0.0723,962.9864,0.0,0.0,7.833333333333333,955.1530666666666,20.489072340425533,Low KV
exp1,1,Group1,50.0,48.0,2.0,0.0489,971.733,0.0,0.0,0.3333333333333333,971.3996666666666,485.8665,Low KV
exp1,1,Group2,6.0,0.0,6.0,0.2013,1031.8936,0.0,0.0,1.0,1030.8936,171.98226666666667,Low KV
exp1,1,Group2,12.0,0.0,12.0,0.1138,990.5573999999999,0.0,0.0,2.0,988.5573999999999,82.54645,Low KV
exp1,1,Group1,69.0,0.0,69.0,0.1608,998.8052,0.0,0.0,11.5,987.3052,14.47543768115942,Low KV
exp1,1,Group1,50.0,0.0,50.0,0.0473,763.7918,0.0,0.0,8.333333333333332,755.4584666666666,15.275836,Low KV
exp1,2,Group1,739.0,240.0,499.0,0.2161,3156.9305,483.0,15.09375,83.16666666666666,3073.7638333333334,6.3265140280561125,Low KV
exp1,2,Group2,208.0,0.0,208.0,0.0091,106.36440000000002,202.0,6.3125,34.666666666666664,71.69773333333336,0.5113673076923078,Low KV
exp1,2,Group1,269.0,48.0,221.0,0.0257,3102.8165999999997,129.0,4.03125,36.83333333333333,3065.983266666666,14.039894117647057,Low KV
exp1,2,Group1,962.0,832.0,130.0,0.1021,3118.2392999999997,930.0,29.0625,21.666666666666664,3096.572633333333,23.986456153846152,Low KV
exp1,2,Group1,1020.0,624.0,396.0,0.1149,3112.4971,974.0,30.4375,66.0,3046.4971,7.859841161616162,Mid KV
exp1,2,Group2,663.0,0.0,663.0,0.0063,664.7081,658.0,20.5625,110.5,554.2081,1.0025763197586726,Low KV
exp1,2,Group2,251.0,0.0,251.0,0.0637,3106.1023999999998,246.0,7.6875,41.83333333333333,3064.2690666666663,12.374909960159362,Low KV
exp1,2,Group1,449.0,48.0,401.0,0.0253,685.114,309.0,9.65625,66.83333333333333,618.2806666666667,1.7085137157107233,Low KV
exp1,2,Group1,243.0,48.0,195.0,0.0317,91.63710000000002,103.0,3.21875,32.5,59.13710000000002,0.46993384615384626,Low KV
exp1,2,Group1,356.0,48.0,308.0,0.0385,3099.4595999999997,216.0,6.75,51.33333333333333,3048.126266666666,10.063180519480518,Low KV
exp1,2,Group2,1039.0,0.0,1039.0,0.2997,3202.9170000000004,1033.0,32.28125,173.16666666666666,3029.750333333334,3.0826920115495673,Mid KV
exp1,2,Group2,308.0,0.0,308.0,0.1278,3118.5492999999997,302.0,9.4375,51.33333333333333,3067.215966666666,10.125160064935065,Low KV
exp1,2,Group2,1040.0,0.0,1040.0,0.2297,3155.5101999999997,1033.0,32.28125,173.33333333333331,2982.1768666666662,3.034144423076923,Mid KV
exp1,2,Group1,441.0,48.0,393.0,0.1894,3143.4309999999996,301.0,9.40625,65.5,3077.9309999999996,7.9985521628498715,Low KV
exp1,2,Group1,797.0,240.0,557.0,0.2849,3168.594,541.0,16.90625,92.83333333333333,3075.7606666666666,5.688678635547577,Low KV
exp1,2,Group2,52.0,0.0,52.0,0.1761,3128.6380999999997,47.0,1.46875,8.666666666666666,3119.971433333333,60.1661173076923,Low KV
exp1,2,Group2,694.0,0.0,694.0,0.2026,3146.9408,688.0,21.5,115.66666666666666,3031.2741333333333,4.534496829971181,Low KV
exp1,2,Group1,555.0,48.0,507.0,0.0133,200.3344,415.0,12.96875,84.5,115.83439999999999,0.3951368836291913,Low KV
exp1,2,Group2,1035.0,0.0,1035.0,0.2438,3161.1582,1030.0,32.1875,172.5,2988.6582,3.0542591304347826,Mid KV
exp1,2,Group2,1045.0,0.0,1045.0,0.0122,680.5038,1040.0,32.5,174.16666666666666,506.3371333333333,0.6511998086124402,Mid KV
exp1,2,Group1,1078.0,48.0,1030.0,0.0128,3085.3497,938.0,29.3125,171.66666666666666,2913.6830333333337,2.995485145631068,Low KV
exp1,2,Group2,1037.0,0.0,1037.0,0.1411,3127.5714999999996,1032.0,32.25,172.83333333333331,2954.738166666666,3.0159802314368367,Mid KV
exp1,2,Group2,1039.0,0.0,1039.0,0.3358,3183.4773999999998,1034.0,32.3125,173.16666666666666,3010.3107333333332,3.0639820981713184,Mid KV
exp1,2,Group1,1124.0,32.0,1092.0,0.0766,3110.637,1072.0,33.5,182.0,2928.637,2.8485686813186817,Mid KV
exp1,2,Group1,646.0,48.0,598.0,0.0181,651.9643,506.0,15.8125,99.66666666666666,552.2976333333334,1.090241304347826,Low KV
exp1,2,Group1,334.0,64.0,270.0,0.2574,3154.4888999999994,86.0,2.6875,45.0,3109.4888999999994,11.683292222222219,Low KV
