blocking_slice,exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_mean_prefill_ms
lt100,exp1,1,8,1754.0000,0.214111,384.9457
lt100,exp1,2,8,2721.0000,0.332153,408.5546
lt100,exp1,3,8,4142.0000,0.505615,622.5186
lt100,exp1,4,8,4294.0000,0.524170,1518.5110
lt100,exp1,5,8,4125.0000,0.503540,1459.3537
lt100,exp1,6,8,5059.0000,0.617554,2332.5145
lt100,exp1,7,8,7409.0000,0.904419,3403.6961
lt100,exp1,8,8,7795.0000,0.951538,3635.9071
lt100,exp1,9,8,7160.0000,0.874023,6023.4140
lt100,exp1,10,8,6449.0000,0.787231,5896.4144
lt100,exp2,1,8,1754.0000,0.214111,384.9457
lt100,exp2,2,8,2721.0000,0.332153,408.5546
lt100,exp2,3,8,4142.0000,0.505615,622.5186
lt100,exp2,4,8,4294.0000,0.524170,1518.5110
lt100,exp2,5,8,4125.0000,0.503540,1459.3537
lt100,exp2,6,8,5059.0000,0.617554,2332.5145
lt100,exp2,7,8,7409.0000,0.904419,3403.6961
lt100,exp2,8,8,7795.0000,0.951538,3635.9071
lt100,exp2,9,8,7160.0000,0.874023,6023.4140
lt100,exp2,10,8,6449.0000,0.787231,5896.4144
lt100,exp3,1,8,1754.0000,0.214111,384.9457
lt100,exp3,2,8,2721.0000,0.332153,408.5546
lt100,exp3,3,8,4142.0000,0.505615,622.5186
lt100,exp3,4,8,4294.0000,0.524170,1518.5110
lt100,exp3,5,8,4125.0000,0.503540,1459.3537
lt100,exp3,6,8,5059.0000,0.617554,2332.5145
lt100,exp3,7,8,7409.0000,0.904419,3403.6961
lt100,exp3,8,8,7795.0000,0.951538,3635.9071
lt100,exp3,9,8,7160.0000,0.874023,6023.4140
lt100,exp3,10,8,6449.0000,0.787231,5896.4144
