exp_label,turn_index,batch_total_computation_tokens,batch_total_resident_kv_mib,batch_group1_resident_kv_mib,batch_group2_resident_kv_mib,batch_estimated_prefill_rounds,mean_prefill_ms,mean_prefill_cost_per_token
exp1,1,2034.0,0.0,0.0,0.0,1,992.0849875,224.45335577990988
exp1,2,18849.0,620.21875,280.5,339.71875,3,2471.475265624999,7.752615309478128
exp1,3,26446.0,1402.09375,664.15625,737.9375,4,5191.695375,16.449612801649803
exp1,4,25975.0,2220.5,1109.625,1110.875,4,8533.851615625003,24.821117553149076
exp1,5,27576.0,3130.1875,1626.96875,1503.21875,4,11632.984343749999,33.70312896650775
exp1,6,27859.0,3956.5,2057.09375,1899.40625,4,14809.470531250003,45.41171907095321
exp1,7,27359.0,4822.1875,2518.53125,2303.65625,4,18833.21993125,79.30369833984652
exp2,1,2034.0,0.0,0.0,0.0,1,992.0849875,224.45335577990988
exp2,2,18849.0,620.21875,280.5,339.71875,3,2471.475265624999,7.752615309478128
exp2,3,26446.0,1402.09375,664.15625,737.9375,4,5191.695375,16.449612801649803
exp2,4,25975.0,2220.5,1109.625,1110.875,4,8533.851615625003,24.821117553149076
exp2,5,27576.0,3130.1875,1626.96875,1503.21875,4,11632.984343749999,33.70312896650775
exp2,6,27859.0,3956.5,2057.09375,1899.40625,4,14809.470531250003,45.41171907095321
exp2,7,27359.0,4822.1875,2518.53125,2303.65625,4,18833.21993125,79.30369833984652
exp3,1,2034.0,0.0,0.0,0.0,1,992.0849875,224.45335577990988
exp3,2,18849.0,620.21875,280.5,339.71875,3,2471.475265624999,7.752615309478128
exp3,3,26446.0,1402.09375,664.15625,737.9375,4,5191.695375,16.449612801649803
exp3,4,25975.0,2220.5,1109.625,1110.875,4,8533.851615625003,24.821117553149076
exp3,5,27576.0,3130.1875,1626.96875,1503.21875,4,11632.984343749999,33.70312896650775
exp3,6,27859.0,3956.5,2057.09375,1899.40625,4,14809.470531250003,45.41171907095321
exp3,7,27359.0,4822.1875,2518.53125,2303.65625,4,18833.21993125,79.30369833984652
