exp_label,turn_index,filtered_batch_size,batch_total_computation_tokens,batch_compute_ratio_8192,batch_total_resident_kv_mib,batch_kv_ratio_1024,batch_mean_prefill_ms,batch_p95_prefill_ms,batch_p99_prefill_ms,batch_max_prefill_ms
exp1,1,32,2034.0,0.248291015625,0.0,0.0,992.0849875,1097.1112850000002,1115.9730169999998,1116.5958999999998
exp1,2,32,18849.0,2.3009033203125,620.21875,0.605682373046875,2471.475265624999,3188.06533,3200.0512980000003,3202.9170000000004
exp1,3,27,20877.0,2.5484619140625,1110.28125,1.084259033203125,4776.343692592593,6045.45557,7611.811095999997,8161.531800000001
exp1,4,29,22621.0,2.7613525390625,1985.9375,1.93939208984375,8230.14765172414,12189.9441,12215.601827999999,12224.9818
exp1,5,25,20005.0,2.4420166015625,2377.34375,2.321624755859375,10501.456304,12470.055479999999,15916.602519999991,17004.7462
exp1,6,26,22276.0,2.71923828125,3119.96875,3.046844482421875,13807.749596153844,16765.6699,20761.79415,22093.4856
exp1,7,32,27359.0,3.3397216796875,4822.1875,4.70916748046875,18833.21993125,26171.165784999997,26185.663731,26188.1344
exp2,1,32,2034.0,0.248291015625,0.0,0.0,992.0849875,1097.1112850000002,1115.9730169999998,1116.5958999999998
exp2,2,32,18849.0,2.3009033203125,620.21875,0.605682373046875,2471.475265624999,3188.06533,3200.0512980000003,3202.9170000000004
exp2,3,27,20877.0,2.5484619140625,1110.28125,1.084259033203125,4776.343692592593,6045.45557,7611.811095999997,8161.531800000001
exp2,4,29,22621.0,2.7613525390625,1985.9375,1.93939208984375,8230.14765172414,12189.9441,12215.601827999999,12224.9818
exp2,5,25,20005.0,2.4420166015625,2377.34375,2.321624755859375,10501.456304,12470.055479999999,15916.602519999991,17004.7462
exp2,6,26,22276.0,2.71923828125,3119.96875,3.046844482421875,13807.749596153844,16765.6699,20761.79415,22093.4856
exp2,7,32,27359.0,3.3397216796875,4822.1875,4.70916748046875,18833.21993125,26171.165784999997,26185.663731,26188.1344
exp3,1,32,2034.0,0.248291015625,0.0,0.0,992.0849875,1097.1112850000002,1115.9730169999998,1116.5958999999998
exp3,2,32,18849.0,2.3009033203125,620.21875,0.605682373046875,2471.475265624999,3188.06533,3200.0512980000003,3202.9170000000004
exp3,3,27,20877.0,2.5484619140625,1110.28125,1.084259033203125,4776.343692592593,6045.45557,7611.811095999997,8161.531800000001
exp3,4,29,22621.0,2.7613525390625,1985.9375,1.93939208984375,8230.14765172414,12189.9441,12215.601827999999,12224.9818
exp3,5,25,20005.0,2.4420166015625,2377.34375,2.321624755859375,10501.456304,12470.055479999999,15916.602519999991,17004.7462
exp3,6,26,22276.0,2.71923828125,3119.96875,3.046844482421875,13807.749596153844,16765.6699,20761.79415,22093.4856
exp3,7,32,27359.0,3.3397216796875,4822.1875,4.70916748046875,18833.21993125,26171.165784999997,26185.663731,26188.1344
