exp_label,turn_index,filtered_batch_size,delay_spread_ms,mean_prefill_ms,mean_computation_tokens,max_delta_gap_ms
exp1,1,32,329.70270002260804,262.56160312500003,63.5625,101.59790000761859
exp1,2,32,3139.6802999952342,2523.5767874999997,600.4375,1746.9943999894895
exp1,3,32,6900.169899978209,5543.978781250001,723.0,4666.897399991285
exp1,4,31,11724.310800025705,7963.529454838709,778.3225806451613,7480.946399999084
exp1,5,32,13756.64630002575,10789.50164375,686.375,10465.523600025335
exp1,6,24,19837.112000008347,13730.387975,820.25,13257.616100017913
exp1,7,22,24496.471100021154,15597.655550000001,871.1818181818181,15314.134299987927
exp1,8,32,31043.17700001411,24237.527587500004,915.71875,18157.33250003541
exp1,9,32,32006.774300010875,24613.241103124998,871.3125,18406.04520001216
exp1,10,20,38427.24869999802,23816.350045,948.45,21583.890700014308
exp2,1,32,329.70270002260804,262.56160312500003,63.5625,101.59790000761859
exp2,2,32,3139.6802999952342,2523.5767874999997,600.4375,1746.9943999894895
exp2,3,32,6900.169899978209,5543.978781250001,723.0,4666.897399991285
exp2,4,31,11724.310800025705,7963.529454838709,778.3225806451613,7480.946399999084
exp2,5,32,13756.64630002575,10789.50164375,686.375,10465.523600025335
exp2,6,24,19837.112000008347,13730.387975,820.25,13257.616100017913
exp2,7,22,24496.471100021154,15597.655550000001,871.1818181818181,15314.134299987927
exp2,8,32,31043.17700001411,24237.527587500004,915.71875,18157.33250003541
exp2,9,32,32006.774300010875,24613.241103124998,871.3125,18406.04520001216
exp2,10,20,38427.24869999802,23816.350045,948.45,21583.890700014308
exp3,1,32,329.70270002260804,262.56160312500003,63.5625,101.59790000761859
exp3,2,32,3139.6802999952342,2523.5767874999997,600.4375,1746.9943999894895
exp3,3,32,6900.169899978209,5543.978781250001,723.0,4666.897399991285
exp3,4,31,11724.310800025705,7963.529454838709,778.3225806451613,7480.946399999084
exp3,5,32,13756.64630002575,10789.50164375,686.375,10465.523600025335
exp3,6,24,19837.112000008347,13730.387975,820.25,13257.616100017913
exp3,7,22,24496.471100021154,15597.655550000001,871.1818181818181,15314.134299987927
exp3,8,32,31043.17700001411,24237.527587500004,915.71875,18157.33250003541
exp3,9,32,32006.774300010875,24613.241103124998,871.3125,18406.04520001216
exp3,10,20,38427.24869999802,23816.350045,948.45,21583.890700014308
