exp_label,turn_index,tenant_id,group_label,prefill_ms,computation_tokens,first_token_ts,rank_in_batch,delay_from_earliest_first_token_ms,delta_from_prev_delay_ms
exp1,1,4,Group1,359.4759,3.0,132010.35997569998,31,308.73889999929816,15.302999963751063
exp1,1,6,Group1,216.88060000000002,8.0,132010.2174913,8,166.25450001447462,101.59790000761859
exp1,1,5,Group1,115.3791,69.0,132010.11589339998,7,64.65660000685602,17.114899994339794
exp1,1,2,Group1,237.6056,840.0,132010.2378432,9,186.60640003508888,20.351900020614266
exp1,1,9,Group1,320.2385,2.0,132010.32122910002,20,269.99230004730634,3.486000030534342
exp1,1,16,Group1,300.8535999999999,47.0,132010.30246009998,13,251.223300001584,3.212399984477088
exp1,1,10,Group1,325.9438999999999,2.0,132010.3270544,22,275.8176000206731,3.2097999937832355
exp1,1,31,Group2,309.4608,7.0,132010.3126152,16,261.3784000277519,7.440899993525818
exp1,1,32,Group2,314.5149,7.0,132010.3177431,19,266.506300016772,0.6083999760448933
exp1,1,15,Group1,291.43489999999997,1.0,132010.29294410002,11,241.70730003970675,41.79000001749955
exp1,1,1,Group1,305.0547,636.0,132010.3051743,15,253.9375000342261,1.455600024200976
exp1,1,8,Group1,56.83559999999999,50.0,132010.05765180002,2,6.415000039851293,6.415000039851293
exp1,1,11,Group1,78.7004,2.0,132010.07980819998,3,28.57140000560321,22.156399965751916
exp1,1,14,Group1,331.02000000000004,2.0,132010.33255750002,24,281.32070004357956,2.927400026237592
exp1,1,3,Group1,334.67990000000003,243.0,132010.3351086,27,283.87180002755485,1.4362999936565757
exp1,1,21,Group2,314.9714,8.0,132010.31713470002,18,265.8979000407271,3.433500009123236
exp1,1,30,Group2,95.75489999999999,7.0,132010.0987785,6,47.54170001251623,5.315899994457141
exp1,1,25,Group2,327.01030000000003,7.0,132010.3296301,23,278.39330001734197,2.5756999966688454
exp1,1,29,Group2,90.52380000000001,6.0,132010.0934626,5,42.22580001805909,4.258600005414337
exp1,1,19,Group2,378.89239999999995,6.0,132010.3809395,32,329.70270002260804,20.963800023309886
exp1,1,13,Group1,249.8311,2.0,132010.2511541,10,199.9173000222072,13.310899987118319
exp1,1,23,Group2,321.47220000000004,6.0,132010.3238446,21,272.6078000268899,2.6154999795835465
exp1,1,7,Group1,298.51130000000006,2.0,132010.2992477,12,248.0109000171069,6.303599977400154
exp1,1,26,Group2,311.0828,7.0,132010.3137012,17,262.4644000316039,1.0860000038519502
exp1,1,28,Group2,48.428999999999995,15.0,132010.05123679998,1,0.0,0.0
exp1,1,27,Group2,330.9595,7.0,132010.3336723,26,282.4355000338983,0.7186000293586403
exp1,1,24,Group2,338.6618,7.0,132010.3411432,29,289.90640002302825,4.593999998178333
exp1,1,18,Group2,334.5925,8.0,132010.3365492,28,285.3124000248499,1.4405999972950667
exp1,1,17,Group2,87.4966,6.0,132010.089204,4,37.96720001264475,9.395800007041544
exp1,1,12,Group1,302.4913,2.0,132010.3037187,14,252.48190001002513,1.2586000084411353
exp1,1,20,Group2,342.6272,12.0,132010.3446727,30,293.4359000355471,3.529500012518838
exp1,1,22,Group2,330.5848,7.0,132010.33295369998,25,281.71690000453964,0.39619996096007526
exp1,2,2,Group1,3269.9500000000003,143.0,132023.27019,22,3100.160000001779,3.743000008398667
exp1,2,25,Group2,3275.6868000000004,996.0,132023.2782447,24,3108.214699983364,4.783799988217652
exp1,2,22,Group2,3281.4789,86.0,132023.2837079,26,3113.6778999934904,1.3139999937266111
exp1,2,19,Group2,1961.759,700.0,132021.9638963,11,1793.8662999949884,0.8414000039920211
exp1,2,12,Group1,1932.6944,1167.0,132021.9339707,6,1763.9406999805942,9.736699983477592
exp1,2,14,Group1,1947.5848,494.0,132021.9491625,8,1779.1324999998324,2.607800008263439
exp1,2,21,Group2,3293.5546,417.0,132023.2957066,28,3125.676600000588,10.825400007888675
exp1,2,23,Group2,3259.45,1038.0,132023.2617676,20,3091.7375999852084,1.9924000080209225
exp1,2,6,Group1,3259.1633,129.0,132023.2597752,19,3089.7451999771874,1.6493999864906073
exp1,2,1,Group1,1920.5855000000001,384.0,132021.9207029,3,1750.6729000015184,3.6785000120289624
exp1,2,32,Group2,3279.1154,326.0,132023.2823939,25,3112.363899999764,4.1492000163998455
exp1,2,11,Group1,1923.0184000000002,244.0,132021.924234,5,1754.2039999971166,1.3980999938212335
exp1,2,24,Group2,1920.3399,1038.0,132021.9228359,4,1752.8059000032954,2.1330000017769635
exp1,2,4,Group1,1976.7318,1285.0,132021.97738899998,12,1807.3589999694377,13.492699974449351
exp1,2,29,Group2,3270.5263,384.0,132023.2734609,23,3103.4308999951463,3.270899993367493
exp1,2,13,Group1,1945.1195,1168.0,132021.9465547,7,1776.524699991569,12.584000010974705
exp1,2,17,Group2,3264.7234999999996,593.0,132023.266447,21,3096.41699999338,4.679400008171797
exp1,2,10,Group1,3304.564,403.0,132023.30560989998,31,3135.579899972072,0.08969998452812433
exp1,2,18,Group2,1951.4475,1039.0,132021.9534448,9,1783.4147999819834,4.282299982151017
exp1,2,7,Group1,3284.1176,1168.0,132023.2848812,27,3114.8511999926995,1.1732999992091209
exp1,2,9,Group1,2002.5672000000002,242.0,132022.00379120003,15,1833.7612000177614,1.8607000238262117
exp1,2,3,Group1,169.6952,421.0,132020.17003,1,0.0,0.0
exp1,2,8,Group1,3308.8376,459.0,132023.3097103,32,3139.6802999952342,4.100400023162365
exp1,2,15,Group1,2007.2550999999996,402.0,132022.00881200001,16,1838.7820000061765,5.020799988415092
exp1,2,28,Group2,3302.6353,1046.0,132023.3055202,30,3135.4901999875437,8.629099989775568
exp1,2,27,Group2,3294.0982,1039.0,132023.2968911,29,3126.861099997768,1.1844999971799552
exp1,2,31,Group2,1959.7375000000002,228.0,132021.9630549,10,1793.0248999909963,9.610100009012967
exp1,2,5,Group1,1994.6505,259.0,132021.99530799998,13,1825.2779999747872,17.919000005349517
exp1,2,30,Group2,1913.9870999999998,699.0,132021.9170244,2,1746.9943999894895,1746.9943999894895
exp1,2,20,Group2,3256.1198,45.0,132023.2581258,18,3088.095799990697,1232.0173000043724
exp1,2,26,Group2,2023.2307999999998,947.0,132022.0261085,17,1856.0784999863245,17.296499980147928
exp1,2,16,Group1,2000.0317,225.0,132022.0019305,14,1831.9004999939352,6.622500019147992
exp1,3,13,Group1,7142.8914,1145.0,132037.1798437,23,6863.88999997871,2083.783799986122
exp1,3,30,Group2,4979.665,30.0,132034.9828511,2,4666.897399991285,4666.897399991285
exp1,3,26,Group2,7165.8106,47.0,132037.20416700002,30,6888.213300000643,0.3794000076595694
exp1,3,25,Group2,7151.3613000000005,36.0,132037.1895301,24,6873.576399986632,9.686400007922202
exp1,3,29,Group2,5053.1502,1031.0,132035.0565448,20,4740.59109998052,13.742399984039366
exp1,3,19,Group2,5093.621899999999,127.0,132035.0960599,22,4780.106199992588,8.724500017706305
exp1,3,16,Group1,5002.3083,215.0,132035.0041452,7,4688.191499968525,3.812599985394627
exp1,3,22,Group2,7157.2057,86.0,132037.19512989998,26,6879.176199960057,1.2792999623343349
exp1,3,32,Group2,5035.7877,418.0,132035.0393085,18,4723.354799993103,1.5473999956157058
exp1,3,20,Group2,7166.047199999999,60.0,132037.2037876,29,6887.833899992984,5.141600006027147
exp1,3,24,Group2,5026.956700000001,669.0,132035.0297989,15,4713.845199992647,2.693900023587048
exp1,3,17,Group2,5006.8821,1032.0,132035.0088856,9,4692.93189997552,4.209499980788678
exp1,3,23,Group2,7160.1435,395.0,132037.1981516,27,6882.197899976745,3.0217000166885555
exp1,3,7,Group1,7162.173,1290.0,132037.198646,28,6882.692299986957,0.49440001021139324
exp1,3,12,Group1,5019.7116,573.0,132035.02128369999,13,4705.329999967944,1.5821999695617706
exp1,3,28,Group2,5084.0216,1036.0,132035.0873354,21,4771.3816999748815,30.7905999943614
exp1,3,1,Group1,315.8085,410.0,132030.31595370002,1,0.0,0.0
exp1,3,18,Group2,7214.153999999999,1045.0,132037.2161236,32,6900.169899978209,10.47649999964051
exp1,3,2,Group1,4997.2885,1072.0,132034.9977419,5,4681.7881999886595,5.020400014473125
exp1,3,8,Group1,4999.245999999999,1301.0,132035.0003326,6,4684.37889998313,2.590699994470924
exp1,3,10,Group1,7168.8577000000005,1293.0,132037.2056471,31,6889.693399978569,1.4800999779254198
exp1,3,3,Group1,5010.097099999999,1298.0,132035.01073510002,10,4694.781400001375,1.8495000258553773
exp1,3,15,Group1,5030.0345,1291.0,132035.0319431,16,4715.989399992395,2.144199999747798
exp1,3,4,Group1,4992.1011,1298.0,132034.9927215,4,4676.767799974186,9.178799984510988
exp1,3,21,Group2,5040.2255000000005,403.0,132035.0428024,19,4726.848699996481,3.493900003377348
exp1,3,9,Group1,5003.505799999999,1292.0,132035.0046761,8,4688.722399994731,0.5309000262059271
exp1,3,14,Group1,5017.9103,471.0,132035.01970150002,12,4703.747799998382,6.478200026322156
exp1,3,31,Group2,5034.2017,1036.0,132035.03776110001,17,4721.807399997488,5.818000005092472
exp1,3,6,Group1,5026.0798,255.0,132035.027105,14,4711.15129996906,5.8213000011164695
exp1,3,11,Group1,4982.2386,1294.0,132034.9835427,3,4667.588999989675,0.6915999983903021
exp1,3,27,Group2,7155.465700000001,1045.0,132037.19385060002,25,6877.896899997722,4.320500011090189
exp1,3,5,Group1,5012.368399999999,142.0,132035.0132233,11,4697.26959997206,2.4881999706849456
exp1,4,27,Group2,2174.5199,1037.0,132042.1772421,5,2064.7144000104163,1.4020999951753765
exp1,4,22,Group2,147.0792,95.0,132040.1492888,2,36.76109999651089,36.76109999651089
exp1,4,25,Group2,11058.302,58.0,132051.0610466,23,10948.518899996998,2.6781999913509935
exp1,4,19,Group2,3496.5077,83.0,132043.4984436,8,3385.9158999985084,1306.1168999993242
exp1,4,29,Group2,109.60000000000001,97.0,132040.1125277,1,0.0,0.0
exp1,4,32,Group2,11068.311099999999,392.0,132051.0718065,26,10959.278800000902,4.288299998734146
exp1,4,1,Group1,10998.3673,1070.0,132050.9985236,12,10885.995899996487,7480.946399999084
exp1,4,6,Group1,11004.606,1071.0,132051.0053132,14,10892.785500007449,2.495500026270747
exp1,4,26,Group2,3514.9053999999996,46.0,132043.5175772,11,3405.0494999974035,5.213900003582239
exp1,4,17,Group2,11012.4476,1040.0,132051.0143055,17,10901.777799997944,5.263599974568933
exp1,4,14,Group1,11098.0458,1270.0,132051.0998234,29,10987.295700004324,4.776900022989139
exp1,4,12,Group1,11005.539299999999,495.0,132051.0068637,15,10894.335999997566,1.5504999901168048
exp1,4,31,Group2,11047.701,1044.0,132051.0509926,20,10938.46490001306,26.434200000949204
exp1,4,10,Group1,2191.2476,1276.0,132042.1923267,7,2079.798999999184,1.5712999738752842
exp1,4,28,Group2,11064.4399,1042.0,132051.0675182,25,10954.990500002168,3.0445999873336405
exp1,4,24,Group2,11055.757199999998,549.0,132051.0583684,22,10945.840700005647,3.4567000111564994
exp1,4,7,Group1,3500.1097000000004,1273.0,132043.5008287,9,3388.3009999990463,2.385100000537932
exp1,4,13,Group1,11023.1686,1272.0,132051.0245584,19,10912.03070001211,3.945400007069111
exp1,4,15,Group1,11104.7248,1274.0,132051.10657640002,30,10994.048700027633,6.753000023309141
exp1,4,8,Group1,11835.999000000002,1267.0,132051.83683850002,31,11724.310800025705,730.2620999980718
exp1,4,11,Group1,3511.2117,1277.0,132043.5123633,10,3399.8355999938212,11.534599994774908
exp1,4,2,Group1,11064.0124,1222.0,132051.0644736,24,10951.945900014834,3.42700001783669
exp1,4,18,Group2,2154.1695,1035.0,132042.1559812,3,2043.4534999949392,2006.6923999984283
exp1,4,4,Group1,11002.3447,1038.0,132051.00281769998,13,10890.289999981178,4.294099984690547
