exp_label,group_label,turn_index,filtered_batch_size,batch_total_input_tokens,batch_total_prefix_hit_tokens,batch_total_computation_tokens,batch_prefix_hit_rate,batch_mean_prefill_ms,batch_mean_prefill_per_input_token_ms,fit_prefill_from_compute_ms,fit_prefill_no_hit_ms,estimated_prefix_hit_gain_ms
exp1,Group1,3,2,4797.0,2336.0,2461.0,0.48697102355638944,7433.400949999999,1.5495936939754011,13211.752450507818,14936.663694131314,7503.262744131314
exp1,Group2,3,3,4964.0,1856.0,3108.0,0.37389202256244963,7435.3901333333315,1.4978626376578026,13689.49969991895,15059.977126359534,7624.586993026202
exp1,Group1,4,1,3108.0,1840.0,1268.0,0.592020592020592,11477.1068,3.6927628056628055,12330.836734051129,13689.49969991895,2212.39289991895
exp1,Group2,4,2,4646.0,2560.0,2086.0,0.5510116229014206,11465.9315,2.467914657770125,12934.85103083367,14825.164722475856,3359.2332224758557
exp1,Group1,5,4,15381.0,10928.0,4453.0,0.7104869644366426,15673.152425,1.018994371302256,14682.652791816894,22751.929363014475,7078.776938014475
exp1,Group2,5,3,9038.0,5920.0,3118.0,0.6550121708342553,15675.4939,1.7343985284354946,13696.883737776927,18068.23414969948,2392.740249699482
exp1,Group1,6,5,22662.0,18112.0,4550.0,0.7992233695172536,19150.99424,0.8450707898685024,14754.277959039275,28128.247327407742,8977.253087407742
exp1,Group2,6,1,4905.0,3872.0,1033.0,0.7893985728848114,19146.596299999997,3.9034854841997957,12157.311844388661,15016.411302997469,-4130.184997002529
exp2,Group1,3,2,4797.0,2336.0,2461.0,0.48697102355638944,7433.400949999999,1.5495936939754011,13211.752450507818,14936.663694131314,7503.262744131314
exp2,Group2,3,3,4964.0,1856.0,3108.0,0.37389202256244963,7435.3901333333315,1.4978626376578026,13689.49969991895,15059.977126359534,7624.586993026202
exp2,Group1,4,1,3108.0,1840.0,1268.0,0.592020592020592,11477.1068,3.6927628056628055,12330.836734051129,13689.49969991895,2212.39289991895
exp2,Group2,4,2,4646.0,2560.0,2086.0,0.5510116229014206,11465.9315,2.467914657770125,12934.85103083367,14825.164722475856,3359.2332224758557
exp2,Group1,5,4,15381.0,10928.0,4453.0,0.7104869644366426,15673.152425,1.018994371302256,14682.652791816894,22751.929363014475,7078.776938014475
exp2,Group2,5,3,9038.0,5920.0,3118.0,0.6550121708342553,15675.4939,1.7343985284354946,13696.883737776927,18068.23414969948,2392.740249699482
exp2,Group1,6,5,22662.0,18112.0,4550.0,0.7992233695172536,19150.99424,0.8450707898685024,14754.277959039275,28128.247327407742,8977.253087407742
exp2,Group2,6,1,4905.0,3872.0,1033.0,0.7893985728848114,19146.596299999997,3.9034854841997957,12157.311844388661,15016.411302997469,-4130.184997002529
exp3,Group1,3,2,4797.0,2336.0,2461.0,0.48697102355638944,7433.400949999999,1.5495936939754011,13211.752450507818,14936.663694131314,7503.262744131314
exp3,Group2,3,3,4964.0,1856.0,3108.0,0.37389202256244963,7435.3901333333315,1.4978626376578026,13689.49969991895,15059.977126359534,7624.586993026202
exp3,Group1,4,1,3108.0,1840.0,1268.0,0.592020592020592,11477.1068,3.6927628056628055,12330.836734051129,13689.49969991895,2212.39289991895
exp3,Group2,4,2,4646.0,2560.0,2086.0,0.5510116229014206,11465.9315,2.467914657770125,12934.85103083367,14825.164722475856,3359.2332224758557
exp3,Group1,5,4,15381.0,10928.0,4453.0,0.7104869644366426,15673.152425,1.018994371302256,14682.652791816894,22751.929363014475,7078.776938014475
exp3,Group2,5,3,9038.0,5920.0,3118.0,0.6550121708342553,15675.4939,1.7343985284354946,13696.883737776927,18068.23414969948,2392.740249699482
exp3,Group1,6,5,22662.0,18112.0,4550.0,0.7992233695172536,19150.99424,0.8450707898685024,14754.277959039275,28128.247327407742,8977.253087407742
exp3,Group2,6,1,4905.0,3872.0,1033.0,0.7893985728848114,19146.596299999997,3.9034854841997957,12157.311844388661,15016.411302997469,-4130.184997002529
