num_gpu_blocks_override,tenant_count,tenant_id,history_limit_tokens,successful_requests,failed_requests,avg_input_tokens,avg_output_tokens,avg_kv_history_tokens,avg_prefix_hit_tokens,avg_prefix_hit_rate,avg_blocking_time_ms,avg_ttft_ms,avg_p95_tbt_ms,avg_ttlt_ms
16384,32,4,24576,10,0,5656.6,1025.0,5491.8,4592.0,0.7415,5.9559,14182.7078,57.7663,130224.7143
16384,32,6,24576,10,0,4200.2,841.2,4050.0,3385.6,0.796,193.1606,15902.9694,57.9852,124891.3693
16384,32,5,24576,10,0,2063.3,526.8,1902.4,1475.2,0.8338,142.9371,16820.7216,127.1972,103041.9609
16384,32,2,24576,10,0,4981.9,930.3,4814.9,3980.8,0.7885,279.0194,17851.0261,57.8727,128076.3837
16384,32,9,24576,10,0,4604.2,932.5,4456.1,3625.6,0.6811,138.4004,10729.6231,57.8489,128172.9684
16384,32,16,24576,10,0,1453.6,227.4,1305.9,1102.4,0.7657,5.5876,12938.9366,55.9924,48911.8658
16384,32,10,24576,10,0,4749.9,948.6,4601.8,3755.2,0.6778,3.8083,13797.9512,57.809,128572.6962
16384,32,31,12288,10,0,3921.1,943.9,3915.0,3065.6,0.6179,5.9259,15439.9667,57.8317,128432.7617
16384,32,32,12288,10,0,2236.5,643.5,2230.4,1686.4,0.6362,0.2622,13573.8863,57.3862,103574.861
16384,32,15,24576,10,0,4748.4,948.6,4600.4,3753.6,0.6779,91.7393,14964.1334,57.7866,128529.2841
16384,32,1,24576,10,0,2957.3,514.3,2786.3,2368.0,0.821,182.0932,11322.608,57.1218,84821.6161
16384,32,8,24576,10,0,4799.8,954.1,4651.7,3792.0,0.6793,51.3769,14561.3783,57.8159,128645.0457
16384,32,11,24576,10,0,4607.1,932.7,4459.0,3627.2,0.6805,46.0181,12928.4142,57.93,128167.336
16384,32,14,24576,10,0,4165.4,874.5,4017.3,3241.6,0.6881,0.3002,12824.0901,57.8658,125816.8931
16384,32,3,24576,10,0,4130.8,752.1,3966.0,3312.0,0.7636,57.1086,15860.0941,57.9493,107137.4782
16384,32,21,12288,10,0,3585.5,899.9,3579.6,2777.6,0.6305,233.2984,13902.685,57.8135,126605.0987
16384,32,30,12288,10,0,1023.8,389.6,1017.7,729.6,0.7695,5.6345,14081.3328,268.252,79156.5537
16384,32,25,12288,10,0,2052.3,628.1,2046.3,1516.8,0.7347,185.6933,14635.7987,58.2847,105475.1173
16384,32,29,12288,10,0,2870.8,777.5,2864.8,2185.6,0.6571,0.1795,8676.4218,58.0773,117410.5876
16384,32,19,12288,10,0,1906.1,616.1,1900.7,1382.4,0.7032,319.2192,16241.8874,58.1165,105728.0507
16384,32,13,24576,10,0,5322.6,1010.6,5174.5,4265.6,0.7145,191.0403,16382.1233,57.7691,129669.4593
16384,32,23,12288,10,0,2296.9,565.2,2290.9,1819.2,0.7429,277.1875,15757.1011,57.7409,88183.6275
16384,32,7,24576,10,0,5438.1,1025.0,5290.0,4366.4,0.7138,9.4684,13769.882,57.7674,130212.9528
16384,32,26,12288,10,0,1616.4,335.2,1610.4,1280.0,0.7735,55.0026,14170.8017,465.7303,54468.7149
16384,32,28,12288,10,0,4652.3,1025.0,4646.3,3716.8,0.686,86.1078,11414.9031,57.7491,130194.0822
16384,32,27,12288,10,0,4648.3,1025.0,4642.3,3712.0,0.685,276.8946,15864.999,57.7858,130188.8038
16384,32,24,12288,10,0,3768.8,898.8,3762.8,3166.4,0.7225,91.8055,14996.9885,57.7223,123218.4579
16384,32,18,12288,10,0,4643.9,1025.0,4638.6,3708.8,0.6851,0.2323,10318.4525,57.7375,130200.7187
16384,32,17,12288,10,0,3811.1,908.4,3805.9,3300.8,0.7116,0.2161,11302.4543,57.9493,124229.4403
16384,32,12,24576,10,0,4209.8,854.9,4061.7,3305.6,0.7327,324.853,17210.402,57.7171,121385.1066
16384,32,20,12288,10,0,242.1,38.7,236.4,193.6,0.6819,185.6384,12215.0568,658.3923,22134.6614
16384,32,22,12288,10,0,411.7,138.3,405.8,302.4,0.6556,271.4929,13622.2391,106.4518,38826.0034
